Precinct,County,Registered Voters,Valencia M. Seay (I) (Dem)_Election Day Votes,Valencia M. Seay (I) (Dem)_Advanced Voting Votes,Valencia M. Seay (I) (Dem)_Absentee by Mail Votes,Valencia M. Seay (I) (Dem)_Provisional Votes,Valencia M. Seay (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Forest Park 1,Clayton,3566.0,415.0,518.0,384.0,11.0,1328.0,1328.0,37.2,1328.0
Forest Park 2,Clayton,2821.0,319.0,566.0,386.0,9.0,1280.0,1280.0,45.4,1280.0
Forest Park 3,Clayton,2845.0,275.0,478.0,362.0,19.0,1134.0,1134.0,39.9,1134.0
Forest Park 4,Clayton,1783.0,189.0,396.0,204.0,0.0,789.0,789.0,44.3,789.0
Forest Park 5,Clayton,3924.0,433.0,780.0,398.0,16.0,1627.0,1627.0,41.5,1627.0
Forest Park 6,Clayton,1463.0,133.0,357.0,152.0,3.0,645.0,645.0,44.1,645.0
Jonesboro 1,Clayton,3244.0,298.0,965.0,594.0,5.0,1862.0,1862.0,57.4,1862.0
Jonesboro 2,Clayton,4345.0,383.0,1269.0,744.0,7.0,2403.0,2403.0,55.3,2403.0
Jonesboro 4,Clayton,2574.0,229.0,545.0,274.0,4.0,1052.0,1052.0,40.9,1052.0
Jonesboro 9,Clayton,1759.0,153.0,331.0,192.0,4.0,680.0,680.0,38.7,680.0
Jonesboro 10,Clayton,3398.0,343.0,697.0,419.0,2.0,1461.0,1461.0,43.0,1461.0
Jonesboro 12,Clayton,3067.0,320.0,849.0,423.0,14.0,1606.0,1606.0,52.4,1606.0
Jonesboro 15,Clayton,2872.0,254.0,684.0,262.0,10.0,1210.0,1210.0,42.1,1210.0
Jonesboro 16,Clayton,2560.0,316.0,551.0,345.0,4.0,1216.0,1216.0,47.5,1216.0
Jonesboro 17,Clayton,3359.0,308.0,796.0,502.0,9.0,1615.0,1615.0,48.1,1615.0
Jonesboro 19,Clayton,3299.0,300.0,894.0,520.0,9.0,1723.0,1723.0,52.2,1723.0
Oak 1,Clayton,2635.0,333.0,738.0,287.0,3.0,1361.0,1361.0,51.7,1361.0
Oak 2,Clayton,1974.0,235.0,414.0,231.0,9.0,889.0,889.0,45.0,889.0
Oak 3,Clayton,2731.0,325.0,677.0,380.0,5.0,1387.0,1387.0,50.8,1387.0
Oak 4,Clayton,4233.0,447.0,1120.0,489.0,7.0,2063.0,2063.0,48.7,2063.0
Oak 5,Clayton,1795.0,177.0,393.0,83.0,5.0,658.0,658.0,36.7,658.0
Riverdale 1,Clayton,2330.0,184.0,852.0,433.0,8.0,1477.0,1477.0,63.4,1477.0
Riverdale 2,Clayton,3431.0,315.0,910.0,548.0,26.0,1799.0,1799.0,52.4,1799.0
Riverdale 3,Clayton,3650.0,342.0,1106.0,606.0,6.0,2060.0,2060.0,56.4,2060.0
Riverdale 4,Clayton,4362.0,442.0,986.0,646.0,9.0,2083.0,2083.0,47.8,2083.0
Riverdale 5,Clayton,2970.0,322.0,822.0,433.0,7.0,1584.0,1584.0,53.3,1584.0
Riverdale 6,Clayton,3661.0,371.0,680.0,402.0,10.0,1463.0,1463.0,40.0,1463.0
Riverdale 7,Clayton,3020.0,313.0,546.0,332.0,12.0,1203.0,1203.0,39.8,1203.0
Riverdale 8,Clayton,2895.0,254.0,910.0,619.0,5.0,1788.0,1788.0,61.8,1788.0
Riverdale 9,Clayton,2653.0,277.0,728.0,390.0,5.0,1400.0,1400.0,52.8,1400.0
Riverdale 10,Clayton,3176.0,334.0,682.0,286.0,6.0,1308.0,1308.0,41.2,1308.0
Riverdale 11,Clayton,1881.0,176.0,623.0,317.0,1.0,1117.0,1117.0,59.4,1117.0
Riverdale 12,Clayton,3065.0,306.0,914.0,528.0,4.0,1752.0,1752.0,57.2,1752.0
Blackrock,Fayette,2699.0,192.0,923.0,510.0,6.0,1631.0,1631.0,60.4,1631.0
Europe,Fayette,3310.0,214.0,1275.0,794.0,15.0,2298.0,2298.0,69.4,2298.0
Fayetteville East,Fayette,2147.0,141.0,635.0,324.0,3.0,1103.0,1103.0,51.4,1103.0
Fayetteville West,Fayette,2362.0,150.0,712.0,369.0,1.0,1232.0,1232.0,52.2,1232.0
Flint,Fayette,1732.0,139.0,558.0,260.0,0.0,957.0,957.0,55.3,957.0
Hopeful,Fayette,2309.0,210.0,672.0,392.0,1.0,1275.0,1275.0,55.2,1275.0
Morning Creek,Fayette,3059.0,193.0,924.0,572.0,1.0,1690.0,1690.0,55.2,1690.0
Sandy Creek,Fayette,4848.0,236.0,1782.0,624.0,5.0,2647.0,2647.0,54.6,2647.0
Kenwood,Fayette,1014.0,112.0,345.0,227.0,2.0,686.0,686.0,67.7,686.0
Banks,Fayette,1624.0,155.0,398.0,282.0,0.0,835.0,835.0,51.4,835.0
Oak Ridge,Fayette,2225.0,167.0,602.0,448.0,6.0,1223.0,1223.0,55.0,1223.0
Jeff Davis,Fayette,2876.0,167.0,894.0,444.0,5.0,1510.0,1510.0,52.5,1510.0
