Precinct,County,Registered Voters,Samuel C. Baker_Election Day Votes,Samuel C. Baker_Advanced Voting Votes,Samuel C. Baker_Absentee by Mail Votes,Samuel C. Baker_Provisional Votes,Samuel C. Baker_Choice Total,Total,Michael David Hayes (I)_Election Day Votes,Michael David Hayes (I)_Advanced Voting Votes,Michael David Hayes (I)_Absentee by Mail Votes,Michael David Hayes (I)_Provisional Votes,Michael David Hayes (I)_Choice Total,calc_participation
Ailey,Montgomery,431.0,76.0,157.0,42.0,0.0,275.0,275.0,,,,,,63.8
Alston,Montgomery,472.0,125.0,144.0,37.0,0.0,306.0,306.0,,,,,,64.8
Higgston,Montgomery,1340.0,276.0,449.0,118.0,0.0,843.0,843.0,,,,,,62.9
Kibbee,Montgomery,532.0,134.0,130.0,48.0,0.0,312.0,312.0,,,,,,58.6
Mount Vernon,Montgomery,1444.0,225.0,427.0,154.0,0.0,806.0,806.0,,,,,,55.8
Tarrytown,Montgomery,333.0,98.0,78.0,29.0,0.0,205.0,205.0,,,,,,61.6
Uvalda,Montgomery,911.0,213.0,200.0,86.0,0.0,499.0,499.0,,,,,,54.8
Alamo,Wheeler,0.0,,,,,,1070.0,270.0,638.0,162.0,0.0,1070.0,
Glenwood,Wheeler,0.0,,,,,,760.0,270.0,366.0,124.0,0.0,760.0,
