Precinct,County,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,calc_participation
Gray,Jones,0.0,274.0,1263.0,293.0,0.0,1830.0,1830.0,
Hawkins,Jones,0.0,365.0,809.0,340.0,0.0,1514.0,1514.0,
Ethridge,Jones,0.0,221.0,634.0,185.0,0.0,1040.0,1040.0,
Clinton,Jones,0.0,323.0,958.0,255.0,2.0,1538.0,1538.0,
Roberts,Jones,0.0,514.0,715.0,262.0,1.0,1492.0,1492.0,
Davidson,Jones,0.0,372.0,529.0,131.0,0.0,1032.0,1032.0,
Pope,Jones,0.0,362.0,600.0,166.0,1.0,1129.0,1129.0,
Barron,Jones,0.0,306.0,426.0,124.0,0.0,856.0,856.0,
Sanders,Jones,0.0,95.0,15.0,15.0,0.0,125.0,125.0,
Finney,Jones,0.0,620.0,828.0,276.0,1.0,1725.0,1725.0,
South Milledgeville,Baldwin,1259.0,90.0,260.0,107.0,0.0,457.0,457.0,36.3
City Hall Annex,Baldwin,957.0,77.0,161.0,76.0,0.0,314.0,314.0,32.8
Boddie,Baldwin,1381.0,121.0,213.0,74.0,0.0,408.0,408.0,29.5
Courthouse,Baldwin,506.0,42.0,111.0,36.0,0.0,189.0,189.0,37.4
Fire Dept,Baldwin,1481.0,102.0,338.0,117.0,0.0,557.0,557.0,37.6
North Milledgeville,Baldwin,2211.0,218.0,767.0,234.0,1.0,1220.0,1220.0,55.2
Meriweather,Baldwin,2832.0,330.0,1160.0,309.0,0.0,1799.0,1799.0,63.5
East Baldwin,Baldwin,3826.0,387.0,1416.0,374.0,0.0,2177.0,2177.0,56.9
Scottsboro,Baldwin,1101.0,164.0,297.0,85.0,1.0,547.0,547.0,49.7
North Baldwin,Baldwin,3515.0,362.0,1572.0,366.0,0.0,2300.0,2300.0,65.4
West Baldwin,Baldwin,1862.0,233.0,595.0,172.0,0.0,1000.0,1000.0,53.7
East Hardwick,Baldwin,1313.0,112.0,157.0,91.0,0.0,360.0,360.0,27.4
West Hardwick,Baldwin,2903.0,221.0,541.0,221.0,0.0,983.0,983.0,33.9
Coopers,Baldwin,1574.0,305.0,489.0,109.0,0.0,903.0,903.0,57.4
Bloodworth,Wilkinson,434.0,184.0,109.0,25.0,0.0,318.0,318.0,73.3
Griffin,Wilkinson,184.0,82.0,34.0,17.0,0.0,133.0,133.0,72.3
High Hill,Wilkinson,173.0,77.0,34.0,11.0,0.0,122.0,122.0,70.5
Irwinton,Wilkinson,875.0,101.0,268.0,60.0,1.0,430.0,430.0,49.1
Ivey,Wilkinson,960.0,309.0,212.0,47.0,2.0,570.0,570.0,59.4
Lord,Wilkinson,735.0,169.0,176.0,40.0,0.0,385.0,385.0,52.4
Midway,Wilkinson,938.0,90.0,182.0,67.0,3.0,342.0,342.0,36.5
Ramah,Wilkinson,1709.0,330.0,386.0,136.0,0.0,852.0,852.0,49.9
Turkey Creek,Wilkinson,462.0,159.0,86.0,27.0,0.0,272.0,272.0,58.9
101,Putnam,3264.0,245.0,1046.0,383.0,0.0,1674.0,1674.0,51.3
104,Putnam,3380.0,231.0,1053.0,430.0,0.0,1714.0,1714.0,50.7
105,Putnam,3734.0,447.0,1569.0,717.0,0.0,2733.0,2733.0,73.2
106,Putnam,1332.0,311.0,441.0,175.0,0.0,927.0,927.0,69.6
107,Putnam,4293.0,587.0,1593.0,710.0,0.0,2890.0,2890.0,67.3
Greensboro,Greene,3999.0,273.0,1344.0,412.0,2.0,2031.0,2031.0,50.8
