Precinct,County,Registered Voters,Miriam Paris (I) (Dem)_Election Day Votes,Miriam Paris (I) (Dem)_Advanced Voting Votes,Miriam Paris (I) (Dem)_Absentee by Mail Votes,Miriam Paris (I) (Dem)_Provisional Votes,Miriam Paris (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Godfrey 1,Bibb,6283.0,280.0,597.0,460.0,3.0,1340.0,1340.0,21.3,1340.0
Godfrey 3,Bibb,3292.0,392.0,724.0,459.0,3.0,1578.0,1578.0,47.9,1578.0
Godfrey 5,Bibb,4761.0,651.0,1130.0,659.0,1.0,2441.0,2441.0,51.3,2441.0
Hazzard 1,Bibb,3377.0,465.0,770.0,511.0,1.0,1747.0,1747.0,51.7,1747.0
Hazzard 3,Bibb,7068.0,672.0,1971.0,1112.0,6.0,3761.0,3761.0,53.2,3761.0
Rutland 1,Bibb,5704.0,742.0,1467.0,741.0,3.0,2953.0,2953.0,51.8,2953.0
Vineville 3,Bibb,3127.0,328.0,769.0,526.0,3.0,1626.0,1626.0,52.0,1626.0
Vineville 4,Bibb,4097.0,259.0,534.0,391.0,0.0,1184.0,1184.0,28.9,1184.0
Warrior 2,Bibb,3232.0,369.0,817.0,393.0,3.0,1582.0,1582.0,48.9,1582.0
