Precinct,County,Registered Voters,Brett Duvall_Election Day Votes,Brett Duvall_Advanced Voting Votes,Brett Duvall_Absentee by Mail Votes,Brett Duvall_Provisional Votes,Brett Duvall_Choice Total,Gerald Evans_Election Day Votes,Gerald Evans_Advanced Voting Votes,Gerald Evans_Absentee by Mail Votes,Gerald Evans_Provisional Votes,Gerald Evans_Choice Total,Shoumic Khan_Election Day Votes,Shoumic Khan_Advanced Voting Votes,Shoumic Khan_Absentee by Mail Votes,Shoumic Khan_Provisional Votes,Shoumic Khan_Choice Total,Julie Newman_Election Day Votes,Julie Newman_Advanced Voting Votes,Julie Newman_Absentee by Mail Votes,Julie Newman_Provisional Votes,Julie Newman_Choice Total,Tom Owens_Election Day Votes,Tom Owens_Advanced Voting Votes,Tom Owens_Absentee by Mail Votes,Tom Owens_Provisional Votes,Tom Owens_Choice Total,Charnette Cason Rios_Election Day Votes,Charnette Cason Rios_Advanced Voting Votes,Charnette Cason Rios_Absentee by Mail Votes,Charnette Cason Rios_Provisional Votes,Charnette Cason Rios_Choice Total,SM Abu Zahed_Election Day Votes,SM Abu Zahed_Advanced Voting Votes,SM Abu Zahed_Absentee by Mail Votes,SM Abu Zahed_Provisional Votes,SM Abu Zahed_Choice Total,Total,calc_participation
Doraville North,DeKalb,3065.0,45.0,99.0,102.0,1.0,247.0,69.0,165.0,99.0,0.0,333.0,50.0,212.0,81.0,0.0,343.0,85.0,118.0,111.0,2.0,316.0,34.0,56.0,39.0,1.0,130.0,38.0,89.0,36.0,0.0,163.0,33.0,78.0,25.0,0.0,136.0,1668.0,54.4
Doraville South,DeKalb,1255.0,26.0,89.0,60.0,1.0,176.0,35.0,67.0,53.0,0.0,155.0,18.0,31.0,25.0,0.0,74.0,34.0,75.0,43.0,1.0,153.0,12.0,23.0,22.0,1.0,58.0,11.0,37.0,15.0,0.0,63.0,14.0,23.0,14.0,0.0,51.0,730.0,58.2
