Precinct,County,Registered Voters,Ben Watson (I) (Rep)_Election Day Votes,Ben Watson (I) (Rep)_Advanced Voting Votes,Ben Watson (I) (Rep)_Absentee by Mail Votes,Ben Watson (I) (Rep)_Provisional Votes,Ben Watson (I) (Rep)_Choice Total,Total,calc_participation
Pembroke,Bryan,2653.0,293.0,846.0,160.0,0.0,1299.0,1299.0,49.0
Danielsiding,Bryan,2291.0,266.0,926.0,218.0,0.0,1410.0,1410.0,61.5
Ellabell,Bryan,2341.0,407.0,854.0,152.0,1.0,1414.0,1414.0,60.4
Black Creek,Bryan,2995.0,394.0,984.0,190.0,1.0,1569.0,1569.0,52.4
Ways Station,Bryan,1974.0,212.0,589.0,137.0,1.0,939.0,939.0,47.6
RH Rec Complex,Bryan,3264.0,282.0,1050.0,246.0,1.0,1579.0,1579.0,48.4
JF Gregory Park,Bryan,2885.0,179.0,1462.0,278.0,0.0,1919.0,1919.0,66.5
Keller,Bryan,4270.0,373.0,2020.0,332.0,0.0,2725.0,2725.0,63.8
Hwy 144 East,Bryan,5365.0,403.0,2291.0,504.0,0.0,3198.0,3198.0,59.6
Public Safety Complex,Bryan,2570.0,263.0,808.0,163.0,1.0,1235.0,1235.0,48.1
Riceboro Youth Center,Liberty,1083.0,82.0,238.0,85.0,0.0,405.0,405.0,37.4
Lyman Hall School,Liberty,4542.0,320.0,806.0,383.0,1.0,1510.0,1510.0,33.2
Lewis Frasier School,Liberty,4317.0,274.0,1187.0,444.0,0.0,1905.0,1905.0,44.1
Memorial Dr East,Liberty,1976.0,121.0,335.0,171.0,2.0,629.0,629.0,31.8
Button Gwinnett,Liberty,2304.0,127.0,191.0,96.0,0.0,414.0,414.0,18.0
Town of Allenhurst,Liberty,2398.0,195.0,590.0,233.0,0.0,1018.0,1018.0,42.5
Hinesville,Liberty,1984.0,132.0,488.0,182.0,0.0,802.0,802.0,40.4
Liberty County Complex,Liberty,4379.0,300.0,1417.0,342.0,0.0,2059.0,2059.0,47.0
Walthourville,Liberty,3016.0,18.0,41.0,14.0,0.0,73.0,73.0,2.4
Fleming West,Liberty,505.0,48.0,117.0,47.0,0.0,212.0,212.0,42.0
Fleming East,Liberty,3239.0,406.0,1117.0,284.0,1.0,1808.0,1808.0,55.8
1-10C St Thomas Episcopal Church,Chatham,1101.0,360.0,235.0,204.0,2.0,801.0,801.0,72.8
1-12C Isle of Hope Baptist,Chatham,1909.0,563.0,459.0,355.0,1.0,1378.0,1378.0,72.2
1-13C The Sanctuary,Chatham,1396.0,296.0,312.0,169.0,1.0,778.0,778.0,55.7
1-14C Compassion Christian Church,Chatham,1718.0,282.0,424.0,310.0,1.0,1017.0,1017.0,59.2
1-16C Ferguson Ave Baptist,Chatham,2905.0,648.0,747.0,384.0,5.0,1784.0,1784.0,61.4
1-17C Islands Christian Church,Chatham,3136.0,510.0,933.0,617.0,1.0,2061.0,2061.0,65.7
3-12C Thunderbolt Muni Complex,Chatham,1678.0,286.0,224.0,146.0,0.0,656.0,656.0,39.1
4-02C Frank Murray Comm Center,Chatham,2472.0,380.0,625.0,300.0,0.0,1305.0,1305.0,52.8
4-04C Lighthouse Baptist Church,Chatham,2470.0,515.0,619.0,359.0,4.0,1497.0,1497.0,60.6
4-05C St Francis Episcopal Church,Chatham,2244.0,539.0,564.0,310.0,1.0,1414.0,1414.0,63.0
4-06C First Baptist of the Island,Chatham,2252.0,515.0,636.0,331.0,3.0,1485.0,1485.0,65.9
4-07C Wilmington Island UMC,Chatham,3370.0,598.0,872.0,505.0,4.0,1979.0,1979.0,58.7
4-08C Wilmington Island Pres Church,Chatham,2678.0,580.0,772.0,473.0,1.0,1826.0,1826.0,68.2
4-10C Guard House Comm Ctr,Chatham,1469.0,419.0,273.0,182.0,2.0,876.0,876.0,59.6
4-11C Tybee Island School Cafe,Chatham,1640.0,535.0,211.0,196.0,1.0,943.0,943.0,57.5
4-12C St Peters Episcopal,Chatham,2294.0,629.0,518.0,499.0,3.0,1649.0,1649.0,71.9
4-13C Skidaway Island Pres Church,Chatham,2469.0,526.0,585.0,641.0,2.0,1754.0,1754.0,71.0
4-14C Skidaway Island Baptist,Chatham,1744.0,386.0,366.0,423.0,3.0,1178.0,1178.0,67.5
4-15C Skidaway Island State Park,Chatham,0.0,321.0,388.0,549.0,4.0,1262.0,1262.0,
6-02C Windsor Forest Baptist,Chatham,2290.0,477.0,540.0,351.0,0.0,1368.0,1368.0,59.7
6-10C Station 3,Chatham,4184.0,545.0,988.0,561.0,3.0,2097.0,2097.0,50.1
6-11C Bamboo Farms,Chatham,5149.0,578.0,899.0,449.0,6.0,1932.0,1932.0,37.5
7-06C Pooler City Hall,Chatham,3555.0,350.0,840.0,333.0,0.0,1523.0,1523.0,42.8
7-07C Rothwell Baptist Church,Chatham,3932.0,341.0,1132.0,566.0,3.0,2042.0,2042.0,51.9
7-08C Bloomingdale Comm Ctr,Chatham,2733.0,550.0,695.0,261.0,0.0,1506.0,1506.0,55.1
7-09C Savannah Holy C of G,Chatham,2823.0,359.0,485.0,299.0,2.0,1145.0,1145.0,40.6
7-12C Pooler Church,Chatham,3334.0,289.0,871.0,433.0,4.0,1597.0,1597.0,47.9
7-13C Southside Fire Trng Ctr,Chatham,2513.0,268.0,812.0,513.0,1.0,1594.0,1594.0,63.4
7-16C Pooler Recreation Center Gymnasium,Chatham,3701.0,306.0,1116.0,601.0,10.0,2033.0,2033.0,54.9
8-16C Royal Cinemas and IMAX,Chatham,3087.0,297.0,831.0,462.0,0.0,1590.0,1590.0,51.5
