Precinct,County,Registered Voters,Gregory Johnson_Election Day Votes,Gregory Johnson_Advanced Voting Votes,Gregory Johnson_Absentee by Mail Votes,Gregory Johnson_Provisional Votes,Gregory Johnson_Choice Total,"Doug P. Roper, III_Election Day Votes","Doug P. Roper, III_Advanced Voting Votes","Doug P. Roper, III_Absentee by Mail Votes","Doug P. Roper, III_Provisional Votes","Doug P. Roper, III_Choice Total",Total,calc_participation
Higgston,Montgomery,1340.0,2.0,8.0,8.0,0.0,18.0,19.0,50.0,8.0,0.0,77.0,95.0,7.1
513 VPD,Toombs,0.0,244.0,597.0,392.0,1.0,1234.0,264.0,987.0,354.0,2.0,1607.0,2841.0,
514 STIALC,Toombs,0.0,163.0,321.0,274.0,2.0,760.0,121.0,419.0,113.0,0.0,653.0,1413.0,
