Precinct,County,Registered Voters,Janet Anderson (I) (Dem)_Election Day Votes,Janet Anderson (I) (Dem)_Advanced Voting Votes,Janet Anderson (I) (Dem)_Absentee by Mail Votes,Janet Anderson (I) (Dem)_Provisional Votes,Janet Anderson (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Anna,Baker,166.0,47.0,17.0,14.0,1.0,79.0,79.0,47.6,79.0
Elmodel,Baker,401.0,59.0,101.0,68.0,1.0,229.0,229.0,57.1,229.0
Hoggards Mill,Baker,351.0,62.0,67.0,50.0,0.0,179.0,179.0,51.0,179.0
Milford,Baker,270.0,58.0,48.0,33.0,0.0,139.0,139.0,51.5,139.0
Newton,Baker,1070.0,89.0,290.0,134.0,0.0,513.0,513.0,47.9,513.0
