Precinct,County,Registered Voters,Shannon Wallace (I) (Rep)_Election Day Votes,Shannon Wallace (I) (Rep)_Advanced Voting Votes,Shannon Wallace (I) (Rep)_Absentee by Mail Votes,Shannon Wallace (I) (Rep)_Provisional Votes,Shannon Wallace (I) (Rep)_Choice Total,Total,calc_participation
Air Acres,Cherokee,3050.0,503.0,913.0,464.0,2.0,1882.0,1882.0,61.7
Arnold Mill,Cherokee,4884.0,868.0,1671.0,735.0,0.0,3274.0,3274.0,67.0
Avery,Cherokee,3592.0,492.0,1515.0,565.0,0.0,2572.0,2572.0,71.6
Ball Ground,Cherokee,4065.0,551.0,1818.0,387.0,1.0,2757.0,2757.0,67.8
Bascomb,Cherokee,4115.0,658.0,1358.0,518.0,0.0,2534.0,2534.0,61.6
Bells,Cherokee,5906.0,785.0,1602.0,759.0,1.0,3147.0,3147.0,53.3
Booth,Cherokee,3899.0,462.0,1455.0,601.0,0.0,2518.0,2518.0,64.6
Bradshaw,Cherokee,4491.0,541.0,1859.0,717.0,0.0,3117.0,3117.0,69.4
Bridgemill,Cherokee,5113.0,688.0,2068.0,706.0,0.0,3462.0,3462.0,67.7
Canton,Cherokee,8213.0,762.0,2543.0,1333.0,0.0,4638.0,4638.0,56.5
Carmel,Cherokee,4581.0,662.0,1102.0,587.0,3.0,2354.0,2354.0,51.4
Clayton,Cherokee,4906.0,795.0,1828.0,662.0,1.0,3286.0,3286.0,67.0
Conns Creek,Cherokee,895.0,265.0,289.0,72.0,0.0,626.0,626.0,69.9
Deer Run,Cherokee,3035.0,650.0,836.0,397.0,1.0,1884.0,1884.0,62.1
Dixie,Cherokee,5733.0,707.0,1649.0,783.0,0.0,3139.0,3139.0,54.8
Freehome,Cherokee,5790.0,761.0,2372.0,907.0,0.0,4040.0,4040.0,69.8
Hickory Flat,Cherokee,7334.0,857.0,2958.0,1001.0,1.0,4817.0,4817.0,65.7
Hightower,Cherokee,3483.0,510.0,1497.0,459.0,0.0,2466.0,2466.0,70.8
Hillside,Cherokee,3155.0,410.0,1230.0,482.0,0.0,2122.0,2122.0,67.3
Holly Springs,Cherokee,3262.0,516.0,1008.0,345.0,1.0,1870.0,1870.0,57.3
Kellogg,Cherokee,5482.0,883.0,1509.0,627.0,2.0,3021.0,3021.0,55.1
Liberty,Cherokee,8350.0,938.0,2898.0,1053.0,0.0,4889.0,4889.0,58.6
Little River,Cherokee,7480.0,782.0,2290.0,1492.0,1.0,4565.0,4565.0,61.0
Macedonia,Cherokee,4853.0,702.0,2053.0,705.0,0.0,3460.0,3460.0,71.3
Mountain Road,Cherokee,3078.0,624.0,1019.0,422.0,1.0,2066.0,2066.0,67.1
Neese,Cherokee,7642.0,904.0,2301.0,1140.0,1.0,4346.0,4346.0,56.9
Oak Grove,Cherokee,3749.0,641.0,1028.0,493.0,0.0,2162.0,2162.0,57.7
R M Moore,Cherokee,3468.0,691.0,1241.0,418.0,0.0,2350.0,2350.0,67.8
R T Jones,Cherokee,2525.0,239.0,790.0,249.0,1.0,1279.0,1279.0,50.7
Rosecreek,Cherokee,3748.0,572.0,1347.0,508.0,0.0,2427.0,2427.0,64.8
Salacoa,Cherokee,727.0,273.0,131.0,67.0,0.0,471.0,471.0,64.8
Sixes,Cherokee,3101.0,465.0,1120.0,487.0,0.0,2072.0,2072.0,66.8
Sutallee,Cherokee,2540.0,731.0,810.0,284.0,1.0,1826.0,1826.0,71.9
Teasley,Cherokee,7981.0,1244.0,2953.0,951.0,0.0,5148.0,5148.0,64.5
Toonigh,Cherokee,6641.0,789.0,2507.0,877.0,0.0,4173.0,4173.0,62.8
Union Hill,Cherokee,4207.0,858.0,1541.0,607.0,2.0,3008.0,3008.0,71.5
Univeter,Cherokee,5434.0,625.0,2208.0,680.0,0.0,3513.0,3513.0,64.6
Victoria,Cherokee,3132.0,615.0,1001.0,354.0,0.0,1970.0,1970.0,62.9
Waleska,Cherokee,2875.0,595.0,826.0,466.0,0.0,1887.0,1887.0,65.6
Wildcat,Cherokee,3215.0,565.0,1142.0,319.0,0.0,2026.0,2026.0,63.0
Woodlands,Cherokee,3456.0,753.0,851.0,486.0,0.0,2090.0,2090.0,60.5
Woodstock,Cherokee,7345.0,827.0,2211.0,943.0,2.0,3983.0,3983.0,54.2
