Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
EP01A,Fulton,2978.0,164.0,856.0,285.0,12.0,1317.0,42.0,189.0,88.0,2.0,321.0,1638.0,55.0
EP01B,Fulton,3473.0,176.0,790.0,310.0,4.0,1280.0,54.0,231.0,169.0,5.0,459.0,1739.0,50.1
EP02A,Fulton,2407.0,132.0,431.0,208.0,14.0,785.0,36.0,151.0,117.0,6.0,310.0,1095.0,45.5
EP02B,Fulton,1679.0,81.0,595.0,267.0,1.0,944.0,20.0,122.0,57.0,0.0,199.0,1143.0,68.1
EP02C,Fulton,522.0,16.0,182.0,61.0,0.0,259.0,6.0,30.0,15.0,0.0,51.0,310.0,59.4
EP02D,Fulton,420.0,21.0,127.0,36.0,0.0,184.0,12.0,33.0,16.0,0.0,61.0,245.0,58.3
EP02E,Fulton,1668.0,80.0,392.0,128.0,0.0,600.0,30.0,78.0,37.0,0.0,145.0,745.0,44.7
EP03A,Fulton,4925.0,255.0,1196.0,535.0,7.0,1993.0,85.0,433.0,324.0,1.0,843.0,2836.0,57.6
EP03B,Fulton,1547.0,58.0,459.0,251.0,3.0,771.0,24.0,176.0,103.0,2.0,305.0,1076.0,69.6
EP04A,Fulton,5020.0,404.0,1051.0,476.0,16.0,1947.0,148.0,330.0,213.0,6.0,697.0,2644.0,52.7
EP04B,Fulton,2624.0,111.0,877.0,217.0,2.0,1207.0,45.0,211.0,67.0,0.0,323.0,1530.0,58.3
EP04C,Fulton,1318.0,0.0,299.0,30.0,2.0,331.0,0.0,108.0,12.0,2.0,122.0,453.0,34.4
