Precinct,County,Registered Voters,Sherry Boston (I) (Dem)_Election Day Votes,Sherry Boston (I) (Dem)_Advanced Voting Votes,Sherry Boston (I) (Dem)_Absentee by Mail Votes,Sherry Boston (I) (Dem)_Provisional Votes,Sherry Boston (I) (Dem)_Choice Total,Total,calc_participation
Fernbank Elem,DeKalb,2125.0,126.0,707.0,715.0,1.0,1549.0,1549.0,72.9
Flat Shoals Elem,DeKalb,2409.0,204.0,640.0,411.0,9.0,1264.0,1264.0,52.5
Flat Shoals Parkway,DeKalb,3449.0,202.0,1307.0,741.0,5.0,2255.0,2255.0,65.4
Flat Rock Elem,DeKalb,3142.0,256.0,1338.0,538.0,7.0,2139.0,2139.0,68.1
Flat Shoals,DeKalb,2649.0,189.0,660.0,444.0,7.0,1300.0,1300.0,49.1
Flakes Mill Fire Station,DeKalb,2103.0,120.0,754.0,418.0,7.0,1299.0,1299.0,61.8
Flat Shoals Library,DeKalb,2788.0,244.0,733.0,420.0,3.0,1400.0,1400.0,50.2
Freedom Middle,DeKalb,3227.0,296.0,876.0,556.0,10.0,1738.0,1738.0,53.9
Glennwood,DeKalb,2715.0,84.0,883.0,805.0,6.0,1778.0,1778.0,65.5
Glenhaven,DeKalb,1880.0,221.0,490.0,322.0,4.0,1037.0,1037.0,55.2
Gresham Road,DeKalb,3601.0,219.0,1173.0,770.0,14.0,2176.0,2176.0,60.4
Georgetown Sq,DeKalb,4155.0,266.0,1382.0,638.0,8.0,2294.0,2294.0,55.2
Glenwood Road,DeKalb,2293.0,203.0,541.0,403.0,4.0,1151.0,1151.0,50.2
Hambrick Elem,DeKalb,3776.0,308.0,1109.0,655.0,10.0,2082.0,2082.0,55.1
Hawthorne Elem,DeKalb,3884.0,296.0,1220.0,679.0,6.0,2201.0,2201.0,56.7
Henderson Mill,DeKalb,3104.0,186.0,989.0,699.0,2.0,1876.0,1876.0,60.4
Huntley Hills Elem,DeKalb,3508.0,325.0,1184.0,538.0,5.0,2052.0,2052.0,58.5
Hugh Howell,DeKalb,1773.0,157.0,562.0,348.0,1.0,1068.0,1068.0,60.2
Harris-Narvie J Harris Elem,DeKalb,4031.0,181.0,1611.0,780.0,10.0,2582.0,2582.0,64.1
Harris-Margaret Harris ED,DeKalb,1462.0,129.0,495.0,306.0,4.0,934.0,934.0,63.9
Idlewood Elem,DeKalb,2472.0,227.0,758.0,430.0,8.0,1423.0,1423.0,57.6
Indian Creek,DeKalb,2318.0,176.0,513.0,369.0,12.0,1070.0,1070.0,46.2
Johnson Estates,DeKalb,1600.0,48.0,530.0,541.0,0.0,1119.0,1119.0,69.9
Jolly Elem,DeKalb,3679.0,269.0,924.0,638.0,14.0,1845.0,1845.0,50.1
Kelley Lake Elem,DeKalb,3015.0,276.0,762.0,568.0,3.0,1609.0,1609.0,53.4
Kingsley Elem,DeKalb,2490.0,167.0,690.0,561.0,9.0,1427.0,1427.0,57.3
Kelley Chapel Road,DeKalb,1337.0,127.0,464.0,315.0,1.0,907.0,907.0,67.8
Knollwood,DeKalb,2546.0,263.0,666.0,458.0,10.0,1397.0,1397.0,54.9
Kittredge Elem,DeKalb,2161.0,127.0,750.0,475.0,4.0,1356.0,1356.0,62.7
Lakeside High,DeKalb,3216.0,213.0,1047.0,724.0,0.0,1984.0,1984.0,61.7
Lavista Road,DeKalb,2223.0,142.0,592.0,630.0,3.0,1367.0,1367.0,61.5
Lavista,DeKalb,3223.0,214.0,884.0,641.0,9.0,1748.0,1748.0,54.2
Lithonia,DeKalb,1730.0,238.0,396.0,223.0,2.0,859.0,859.0,49.7
Lin-Mary Lin Elem,DeKalb,3009.0,138.0,1095.0,893.0,8.0,2134.0,2134.0,70.9
Lithonia High,DeKalb,3610.0,351.0,1081.0,534.0,13.0,1979.0,1979.0,54.8
Livsey Elem,DeKalb,1350.0,81.0,484.0,307.0,0.0,872.0,872.0,64.6
Miller-Eldridge L Miller Elem,DeKalb,3455.0,306.0,951.0,708.0,7.0,1972.0,1972.0,57.1
McNair High,DeKalb,4160.0,277.0,1424.0,947.0,7.0,2655.0,2655.0,63.8
Marbut Elem,DeKalb,4234.0,324.0,1415.0,626.0,19.0,2384.0,2384.0,56.3
McNair,DeKalb,2794.0,182.0,828.0,593.0,4.0,1607.0,1607.0,57.5
McLendon,DeKalb,3607.0,188.0,1054.0,886.0,10.0,2138.0,2138.0,59.3
McWilliams,DeKalb,2517.0,153.0,983.0,552.0,3.0,1691.0,1691.0,67.2
Medlock,DeKalb,2208.0,146.0,709.0,668.0,2.0,1525.0,1525.0,69.1
Midvale Elem,DeKalb,2747.0,158.0,843.0,649.0,3.0,1653.0,1653.0,60.2
Miller Grove,DeKalb,4747.0,346.0,1396.0,685.0,15.0,2442.0,2442.0,51.4
Montclair Elem,DeKalb,2194.0,223.0,659.0,242.0,8.0,1132.0,1132.0,51.6
Montreal,DeKalb,2586.0,206.0,827.0,510.0,2.0,1545.0,1545.0,59.7
Meadowview,DeKalb,3511.0,225.0,998.0,747.0,12.0,1982.0,1982.0,56.5
Memorial South,DeKalb,3138.0,253.0,717.0,379.0,17.0,1366.0,1366.0,43.5
Midway,DeKalb,3139.0,180.0,753.0,624.0,6.0,1563.0,1563.0,49.8
McNair Academy,DeKalb,1900.0,130.0,619.0,437.0,4.0,1190.0,1190.0,62.6
Mount Vernon East,DeKalb,2651.0,173.0,881.0,472.0,2.0,1528.0,1528.0,57.6
Mathis-Bob Mathis Elem,DeKalb,2789.0,225.0,945.0,693.0,5.0,1868.0,1868.0,67.0
Mount Vernon West,DeKalb,2303.0,106.0,851.0,421.0,8.0,1386.0,1386.0,60.2
Metropolitan,DeKalb,3405.0,179.0,1365.0,741.0,9.0,2294.0,2294.0,67.4
Montgomery Elem,DeKalb,2446.0,169.0,813.0,530.0,5.0,1517.0,1517.0,62.0
Miller Grove Road,DeKalb,2151.0,181.0,739.0,496.0,5.0,1421.0,1421.0,66.1
Midvale Road,DeKalb,1832.0,150.0,643.0,327.0,2.0,1122.0,1122.0,61.2
Miller Grove High,DeKalb,3470.0,285.0,982.0,453.0,10.0,1730.0,1730.0,49.9
North Decatur,DeKalb,2166.0,123.0,633.0,526.0,11.0,1293.0,1293.0,59.7
North Hairston,DeKalb,2329.0,229.0,642.0,417.0,8.0,1296.0,1296.0,55.6
Northlake,DeKalb,1509.0,127.0,450.0,408.0,1.0,986.0,986.0,65.3
North Peachtree,DeKalb,1916.0,158.0,524.0,301.0,5.0,988.0,988.0,51.6
Oak Grove Elem,DeKalb,2253.0,168.0,697.0,592.0,0.0,1457.0,1457.0,64.7
Oakcliff Elem,DeKalb,2125.0,278.0,458.0,294.0,9.0,1039.0,1039.0,48.9
Oakhurst,DeKalb,2398.0,113.0,1052.0,706.0,2.0,1873.0,1873.0,78.1
Oak View Elem,DeKalb,5011.0,361.0,1726.0,742.0,19.0,2848.0,2848.0,56.8
