Precinct,County,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Colbert,Madison,3342.0,541.0,1116.0,309.0,1.0,1967.0,1967.0,58.9,1967.0
Collins,Madison,647.0,198.0,175.0,55.0,0.0,428.0,428.0,66.2,428.0
Comer,Madison,1441.0,287.0,421.0,128.0,0.0,836.0,836.0,58.0,836.0
Danielsville,Madison,3003.0,317.0,1257.0,340.0,0.0,1914.0,1914.0,63.7,1914.0
Fork,Madison,566.0,183.0,96.0,42.0,0.0,321.0,321.0,56.7,321.0
Harrison,Madison,610.0,241.0,155.0,55.0,0.0,451.0,451.0,73.9,451.0
Hull,Madison,4376.0,673.0,1288.0,501.0,1.0,2463.0,2463.0,56.3,2463.0
Ila,Madison,1746.0,320.0,567.0,193.0,0.0,1080.0,1080.0,61.9,1080.0
Mill,Madison,1646.0,337.0,612.0,163.0,1.0,1113.0,1113.0,67.6,1113.0
Paoli,Madison,267.0,103.0,68.0,27.0,0.0,198.0,198.0,74.2,198.0
Pittman,Madison,1949.0,407.0,602.0,261.0,0.0,1270.0,1270.0,65.2,1270.0
Poca,Madison,1127.0,299.0,324.0,115.0,0.0,738.0,738.0,65.5,738.0
Elberton,Elbert,3798.0,259.0,1147.0,448.0,0.0,1854.0,1854.0,48.8,1854.0
Longstreet,Elbert,622.0,113.0,200.0,75.0,0.0,388.0,388.0,62.4,388.0
Eliam,Elbert,748.0,156.0,262.0,99.0,0.0,517.0,517.0,69.1,517.0
Petersburg,Elbert,377.0,105.0,96.0,61.0,0.0,262.0,262.0,69.5,262.0
Wyche,Elbert,1095.0,140.0,432.0,126.0,0.0,698.0,698.0,63.7,698.0
Moss-Ruckersville,Elbert,468.0,105.0,133.0,61.0,0.0,299.0,299.0,63.9,299.0
Pike,Elbert,1596.0,239.0,465.0,211.0,0.0,915.0,915.0,57.3,915.0
Gaines,Elbert,570.0,186.0,132.0,66.0,0.0,384.0,384.0,67.4,384.0
Goshen,Elbert,1612.0,369.0,520.0,157.0,0.0,1046.0,1046.0,64.9,1046.0
Webbsboro,Elbert,408.0,99.0,138.0,46.0,0.0,283.0,283.0,69.4,283.0
Centerville,Elbert,1011.0,214.0,336.0,98.0,0.0,648.0,648.0,64.1,648.0
Carnesville,Franklin,2382.0,269.0,1107.0,236.0,0.0,1612.0,1612.0,67.7,1612.0
West Franklin,Franklin,1764.0,330.0,593.0,184.0,0.0,1107.0,1107.0,62.8,1107.0
Northeast Franklin,Franklin,2935.0,471.0,1058.0,359.0,1.0,1889.0,1889.0,64.4,1889.0
Lavonia,Franklin,2355.0,351.0,797.0,253.0,0.0,1401.0,1401.0,59.5,1401.0
Canon,Franklin,1244.0,302.0,413.0,122.0,0.0,837.0,837.0,67.3,837.0
Royston,Franklin,2034.0,314.0,687.0,259.0,0.0,1260.0,1260.0,61.9,1260.0
Southwest Franklin,Franklin,2432.0,412.0,972.0,233.0,0.0,1617.0,1617.0,66.5,1617.0
Hartwell,Hart,6451.0,574.0,2479.0,792.0,2.0,3847.0,3847.0,59.6,3847.0
Goldmine,Hart,1901.0,378.0,641.0,206.0,0.0,1225.0,1225.0,64.4,1225.0
Cokesbury,Hart,1162.0,188.0,334.0,107.0,0.0,629.0,629.0,54.1,629.0
Reed Creek,Hart,2990.0,472.0,1222.0,367.0,1.0,2062.0,2062.0,69.0,2062.0
Bowersville,Hart,1395.0,344.0,448.0,85.0,0.0,877.0,877.0,62.9,877.0
Shoal Creek,Hart,1656.0,368.0,563.0,205.0,0.0,1136.0,1136.0,68.6,1136.0
Bio,Hart,1374.0,255.0,502.0,126.0,0.0,883.0,883.0,64.3,883.0
Beaverdam,Oglethorpe,3509.0,524.0,1205.0,410.0,0.0,2139.0,2139.0,61.0,2139.0
Crawford,Oglethorpe,3044.0,338.0,1085.0,311.0,0.0,1734.0,1734.0,57.0,1734.0
Lexington,Oglethorpe,4291.0,388.0,1714.0,498.0,2.0,2602.0,2602.0,60.6,2602.0
