Precinct,County,Registered Voters,Vann Irvin (I) (Dem)_Election Day Votes,Vann Irvin (I) (Dem)_Advanced Voting Votes,Vann Irvin (I) (Dem)_Absentee by Mail Votes,Vann Irvin (I) (Dem)_Provisional Votes,Vann Irvin (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Anna,Baker,166.0,52.0,20.0,15.0,1.0,88.0,88.0,53.0,88.0
Elmodel,Baker,401.0,66.0,107.0,70.0,1.0,244.0,244.0,60.8,244.0
Hoggards Mill,Baker,351.0,70.0,77.0,48.0,0.0,195.0,195.0,55.6,195.0
Milford,Baker,270.0,66.0,56.0,35.0,0.0,157.0,157.0,58.1,157.0
Newton,Baker,1070.0,104.0,329.0,142.0,0.0,575.0,575.0,53.7,575.0
