Precinct,County,Registered Voters,Randy Robertson (I) (Rep)_Election Day Votes,Randy Robertson (I) (Rep)_Advanced Voting Votes,Randy Robertson (I) (Rep)_Absentee by Mail Votes,Randy Robertson (I) (Rep)_Provisional Votes,Randy Robertson (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Cataula,Harris,2898.0,677.0,923.0,341.0,1.0,1942.0,1942.0,67.0,1942.0
Ellerslie,Harris,4211.0,906.0,1389.0,524.0,0.0,2819.0,2819.0,66.9,2819.0
Goodman,Harris,1649.0,314.0,381.0,184.0,1.0,880.0,880.0,53.4,880.0
Hamilton,Harris,2739.0,503.0,881.0,267.0,5.0,1656.0,1656.0,60.5,1656.0
Lower 19th,Harris,2570.0,696.0,751.0,299.0,2.0,1748.0,1748.0,68.0,1748.0
Mulberry Grove,Harris,2908.0,602.0,1066.0,349.0,0.0,2017.0,2017.0,69.4,2017.0
Pine Mountain Valley,Harris,1121.0,430.0,224.0,91.0,2.0,747.0,747.0,66.6,747.0
Skinner,Harris,894.0,296.0,130.0,97.0,2.0,525.0,525.0,58.7,525.0
Upper 19th,Harris,1628.0,441.0,552.0,178.0,2.0,1173.0,1173.0,72.1,1173.0
Valley Plains,Harris,785.0,271.0,130.0,71.0,0.0,472.0,472.0,60.1,472.0
Waverly Hall,Harris,2853.0,592.0,749.0,359.0,2.0,1702.0,1702.0,59.7,1702.0
Whitesville,Harris,1370.0,449.0,321.0,148.0,0.0,918.0,918.0,67.0,918.0
Chalybeate,Meriwether,451.0,169.0,111.0,42.0,0.0,322.0,322.0,71.4,322.0
Gill I,Meriwether,1662.0,350.0,399.0,208.0,1.0,958.0,958.0,57.6,958.0
Gill II,Meriwether,1000.0,92.0,149.0,106.0,0.0,347.0,347.0,34.7,347.0
Odessadale,Meriwether,296.0,47.0,91.0,36.0,1.0,175.0,175.0,59.1,175.0
Greenville,Meriwether,2009.0,162.0,597.0,197.0,0.0,956.0,956.0,47.6,956.0
Lone Oak,Meriwether,1263.0,199.0,332.0,114.0,0.0,645.0,645.0,51.1,645.0
Luthersville,Meriwether,2760.0,472.0,732.0,239.0,0.0,1443.0,1443.0,52.3,1443.0
Alvaton,Meriwether,1528.0,304.0,403.0,162.0,3.0,872.0,872.0,57.1,872.0
Gay,Meriwether,411.0,100.0,116.0,41.0,0.0,257.0,257.0,62.5,257.0
Woodbury,Meriwether,1363.0,222.0,325.0,130.0,0.0,677.0,677.0,49.7,677.0
Warm Springs,Meriwether,1161.0,216.0,312.0,118.0,1.0,647.0,647.0,55.7,647.0
Durand,Meriwether,730.0,182.0,173.0,68.0,0.0,423.0,423.0,57.9,423.0
Raleigh,Meriwether,501.0,125.0,171.0,46.0,0.0,342.0,342.0,68.3,342.0
Cove,Meriwether,202.0,92.0,30.0,29.0,0.0,151.0,151.0,74.8,151.0
Britt David,Muscogee,2747.0,389.0,730.0,277.0,0.0,1396.0,1396.0,50.8,1396.0
St Peter,Muscogee,3265.0,448.0,932.0,404.0,2.0,1786.0,1786.0,54.7,1786.0
Cornerstone,Muscogee,6684.0,796.0,2042.0,812.0,0.0,3650.0,3650.0,54.6,3650.0
Columbus Tech,Muscogee,4464.0,260.0,583.0,224.0,0.0,1067.0,1067.0,23.9,1067.0
St Mark/Heiferhorn,Muscogee,6492.0,657.0,2480.0,909.0,9.0,4055.0,4055.0,62.5,4055.0
Wynnbrook,Muscogee,2692.0,281.0,967.0,554.0,1.0,1803.0,1803.0,67.0,1803.0
Gentian/Reese,Muscogee,5612.0,575.0,1437.0,629.0,0.0,2641.0,2641.0,47.1,2641.0
St Paul/Clubview,Muscogee,5677.0,103.0,345.0,128.0,0.0,576.0,576.0,10.1,576.0
Moon/Morningside,Muscogee,5415.0,618.0,1569.0,700.0,1.0,2888.0,2888.0,53.3,2888.0
St Andrews/Midland,Muscogee,7959.0,871.0,2433.0,1104.0,0.0,4408.0,4408.0,55.4,4408.0
Salvation Army,Muscogee,3192.0,356.0,907.0,362.0,0.0,1625.0,1625.0,50.9,1625.0
Epworth UMC,Muscogee,4512.0,235.0,480.0,208.0,0.0,923.0,923.0,20.5,923.0
Psalmond/Mathews,Muscogee,7331.0,545.0,2603.0,1026.0,0.0,4174.0,4174.0,56.9,4174.0
Hollis Hand,Troup,3554.0,505.0,1312.0,543.0,1.0,2361.0,2361.0,66.4,2361.0
Administration Bldg,Troup,3907.0,331.0,605.0,291.0,4.0,1231.0,1231.0,31.5,1231.0
Hammett Rd,Troup,4354.0,478.0,919.0,400.0,3.0,1800.0,1800.0,41.3,1800.0
Griggs Center,Troup,2457.0,168.0,218.0,129.0,4.0,519.0,519.0,21.1,519.0
West Point,Troup,2054.0,289.0,251.0,149.0,4.0,693.0,693.0,33.7,693.0
Rosemont,Troup,3893.0,564.0,1501.0,440.0,3.0,2508.0,2508.0,64.4,2508.0
Long Cane,Troup,3249.0,671.0,1052.0,278.0,3.0,2004.0,2004.0,61.7,2004.0
Gray Hill,Troup,1878.0,495.0,485.0,123.0,5.0,1108.0,1108.0,59.0,1108.0
Highland,Troup,1686.0,168.0,429.0,149.0,1.0,747.0,747.0,44.3,747.0
Northside,Troup,2600.0,288.0,823.0,270.0,3.0,1384.0,1384.0,53.2,1384.0
