Precinct,County,Registered Voters,"Lester G. Jackson, III (I) (Dem)_Election Day Votes","Lester G. Jackson, III (I) (Dem)_Advanced Voting Votes","Lester G. Jackson, III (I) (Dem)_Absentee by Mail Votes","Lester G. Jackson, III (I) (Dem)_Provisional Votes","Lester G. Jackson, III (I) (Dem)_Choice Total",Total,calc_participation
1-01C First Presbyterian Church,Chatham,3187.0,356.0,844.0,760.0,0.0,1960.0,1960.0,61.5
1-05C JEA Building,Chatham,2106.0,259.0,501.0,438.0,1.0,1199.0,1199.0,56.9
1-06C Central Church of Christ,Chatham,2035.0,274.0,368.0,396.0,3.0,1041.0,1041.0,51.2
1-08C Grace United Methodist Church,Chatham,1667.0,245.0,315.0,260.0,1.0,821.0,821.0,49.3
1-09C Immanuel Baptist Church,Chatham,739.0,102.0,117.0,107.0,3.0,329.0,329.0,44.5
2-02C Blackshear Community Center,Chatham,1714.0,231.0,282.0,235.0,8.0,756.0,756.0,44.1
2-03C W W Law Center,Chatham,1609.0,223.0,264.0,247.0,2.0,736.0,736.0,45.7
2-04C Fellowship of Love Church,Chatham,3178.0,453.0,601.0,595.0,1.0,1650.0,1650.0,51.9
2-05C Holy Spirit Lutheran Church,Chatham,2079.0,297.0,491.0,361.0,3.0,1152.0,1152.0,55.4
2-06C Eli Whitney Complex,Chatham,759.0,126.0,128.0,97.0,1.0,352.0,352.0,46.4
2-07C Christ Community Church,Chatham,2808.0,387.0,585.0,445.0,3.0,1420.0,1420.0,50.6
2-09C Salvation Army,Chatham,3342.0,411.0,740.0,635.0,1.0,1787.0,1787.0,53.5
2-11C Stillwell Towers,Chatham,1900.0,318.0,276.0,271.0,3.0,868.0,868.0,45.7
2-12C Williams Court Apts,Chatham,1683.0,203.0,346.0,295.0,4.0,848.0,848.0,50.4
3-01C Old Courthouse,Chatham,458.0,51.0,87.0,84.0,1.0,223.0,223.0,48.7
3-02C Temple Mickve Israel,Chatham,1598.0,143.0,376.0,331.0,1.0,851.0,851.0,53.3
3-03C Savannah High School,Chatham,1185.0,201.0,204.0,141.0,4.0,550.0,550.0,46.4
3-04C First African Baptist Church,Chatham,1558.0,322.0,240.0,239.0,0.0,801.0,801.0,51.4
3-05C Aldersgate Youth Center,Chatham,2107.0,309.0,368.0,311.0,2.0,990.0,990.0,47.0
3-08C Jenkins High School,Chatham,1210.0,165.0,269.0,202.0,0.0,636.0,636.0,52.6
3-09C Cokesbury Methodist,Chatham,664.0,137.0,101.0,102.0,0.0,340.0,340.0,51.2
3-10C Bible Baptist Church,Chatham,2640.0,427.0,530.0,466.0,2.0,1425.0,1425.0,54.0
3-11C Southside Baptist Church,Chatham,1481.0,262.0,284.0,220.0,2.0,768.0,768.0,51.9
3-12C Thunderbolt Muni Complex,Chatham,1678.0,78.0,79.0,101.0,0.0,258.0,258.0,15.4
3-13C New Cov 7 Day Adv Ch,Chatham,2303.0,276.0,450.0,291.0,2.0,1019.0,1019.0,44.2
3-14C Oglethorpe Charter Academy,Chatham,2381.0,291.0,545.0,490.0,0.0,1326.0,1326.0,55.7
3-15C Eli Whitney Complex,Chatham,816.0,97.0,190.0,199.0,0.0,486.0,486.0,59.6
5-01C Bartlett Middle School,Chatham,1063.0,175.0,199.0,149.0,0.0,523.0,523.0,49.2
5-02C Senior Citizens Center,Chatham,783.0,120.0,120.0,122.0,1.0,363.0,363.0,46.4
5-03C Butler Presbyterian Church,Chatham,1078.0,190.0,160.0,183.0,4.0,537.0,537.0,49.8
5-05C Liberty City Comm Ctr,Chatham,2574.0,426.0,554.0,571.0,3.0,1554.0,1554.0,60.4
5-06C Seed Church,Chatham,2598.0,298.0,453.0,358.0,6.0,1115.0,1115.0,42.9
5-07C Station 1,Chatham,1856.0,272.0,370.0,268.0,6.0,916.0,916.0,49.4
5-08C Savannah Primitive BC,Chatham,1848.0,227.0,387.0,318.0,3.0,935.0,935.0,50.6
5-10C Tatumville Community Center,Chatham,3507.0,542.0,673.0,675.0,3.0,1893.0,1893.0,54.0
5-11C Largo-Tibet Elementary,Chatham,3019.0,358.0,659.0,445.0,6.0,1468.0,1468.0,48.6
6-01C White Bluff Presbyterian,Chatham,1919.0,256.0,404.0,269.0,3.0,932.0,932.0,48.6
6-03C Crusader Comm Center,Chatham,2736.0,383.0,624.0,497.0,1.0,1505.0,1505.0,55.0
6-05C Windsor Hall,Chatham,1993.0,276.0,401.0,295.0,0.0,972.0,972.0,48.8
