Precinct,County,Registered Voters,Clint Crowe (Rep)_Election Day Votes,Clint Crowe (Rep)_Advanced Voting Votes,Clint Crowe (Rep)_Absentee by Mail Votes,Clint Crowe (Rep)_Provisional Votes,Clint Crowe (Rep)_Choice Total,Ebony Carter (Dem)_Election Day Votes,Ebony Carter (Dem)_Advanced Voting Votes,Ebony Carter (Dem)_Absentee by Mail Votes,Ebony Carter (Dem)_Provisional Votes,Ebony Carter (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Brewers,Newton,3538.0,200.0,103.0,81.0,1.0,385.0,34.0,59.0,46.0,1.0,140.0,525.0,14.8,385.0,140.0
Livingston,Newton,4593.0,162.0,190.0,111.0,2.0,465.0,225.0,469.0,357.0,1.0,1052.0,1517.0,33.0,465.0,1052.0
Downs,Newton,6215.0,430.0,486.0,192.0,0.0,1108.0,285.0,593.0,494.0,0.0,1372.0,2480.0,39.9,1108.0,1372.0
Rocky Plains,Newton,3658.0,567.0,501.0,226.0,1.0,1295.0,301.0,444.0,351.0,1.0,1097.0,2392.0,65.4,1295.0,1097.0
Tussahaw,Henry,3409.0,433.0,974.0,196.0,0.0,1603.0,56.0,156.0,116.0,0.0,328.0,1931.0,56.6,1603.0,328.0
Sandy Ridge,Henry,4875.0,627.0,1786.0,282.0,1.0,2696.0,130.0,495.0,256.0,2.0,883.0,3579.0,73.4,2696.0,883.0
Westside,Henry,6971.0,124.0,308.0,129.0,0.0,561.0,547.0,1669.0,966.0,1.0,3183.0,3744.0,53.7,561.0,3183.0
Shiloh,Henry,4077.0,106.0,466.0,125.0,0.0,697.0,314.0,1060.0,497.0,8.0,1879.0,2576.0,63.2,697.0,1879.0
Lake Dow,Henry,5049.0,407.0,1450.0,427.0,1.0,2285.0,164.0,880.0,455.0,1.0,1500.0,3785.0,75.0,2285.0,1500.0
Butts County Admin Bldg,Butts,17154.0,455.0,3582.0,597.0,0.0,4634.0,120.0,604.0,301.0,0.0,1025.0,5659.0,33.0,4634.0,1025.0
