Precinct,County,Registered Voters,Sharon Henderson (Dem)_Election Day Votes,Sharon Henderson (Dem)_Advanced Voting Votes,Sharon Henderson (Dem)_Absentee by Mail Votes,Sharon Henderson (Dem)_Provisional Votes,Sharon Henderson (Dem)_Choice Total,Total,calc_participation
Town,Newton,4378.0,639.0,696.0,811.0,1.0,2147.0,2147.0,49.0
Almon,Newton,5009.0,665.0,1354.0,994.0,2.0,3015.0,3015.0,60.2
Covington Mills,Newton,3111.0,142.0,162.0,98.0,0.0,402.0,402.0,12.9
Cedar Shoals,Newton,2838.0,458.0,452.0,410.0,1.0,1321.0,1321.0,46.5
Livingston,Newton,4593.0,284.0,511.0,392.0,1.0,1188.0,1188.0,25.9
Beaverdam,Newton,5428.0,697.0,1488.0,961.0,2.0,3148.0,3148.0,58.0
Buck Creek,Newton,4839.0,681.0,926.0,815.0,2.0,2424.0,2424.0,50.1
Stansells,Newton,4969.0,623.0,1245.0,872.0,0.0,2740.0,2740.0,55.1
Fairview,Newton,2953.0,433.0,712.0,520.0,2.0,1667.0,1667.0,56.5
Crowell,Newton,4977.0,610.0,1372.0,891.0,2.0,2875.0,2875.0,57.8
FI,Rockdale,6328.0,327.0,1672.0,817.0,0.0,2816.0,2816.0,44.5
