Precinct,County,Registered Voters,Soo Hong (Rep)_Election Day Votes,Soo Hong (Rep)_Advanced Voting Votes,Soo Hong (Rep)_Absentee by Mail Votes,Soo Hong (Rep)_Provisional Votes,Soo Hong (Rep)_Choice Total,Gregg Kennard (I) (Dem)_Election Day Votes,Gregg Kennard (I) (Dem)_Advanced Voting Votes,Gregg Kennard (I) (Dem)_Absentee by Mail Votes,Gregg Kennard (I) (Dem)_Provisional Votes,Gregg Kennard (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
SUGAR HILL A,Gwinnett,4654.0,24.0,47.0,8.0,0.0,79.0,22.0,90.0,45.0,0.0,157.0,236.0,5.1,79.0,157.0
HOG MOUNTAIN A,Gwinnett,5011.0,340.0,774.0,338.0,0.0,1452.0,301.0,1040.0,608.0,0.0,1949.0,3401.0,67.9,1452.0,1949.0
LAWRENCEVILLE C,Gwinnett,3037.0,298.0,605.0,282.0,0.0,1185.0,131.0,492.0,327.0,0.0,950.0,2135.0,70.3,1185.0,950.0
GOODWINS B,Gwinnett,3960.0,338.0,924.0,373.0,0.0,1635.0,178.0,605.0,501.0,0.0,1284.0,2919.0,73.7,1635.0,1284.0
GOODWINS D,Gwinnett,4406.0,427.0,694.0,332.0,0.0,1453.0,300.0,683.0,539.0,1.0,1523.0,2976.0,67.5,1453.0,1523.0
LAWRENCEVILLE H,Gwinnett,4296.0,310.0,789.0,392.0,1.0,1492.0,222.0,817.0,560.0,0.0,1599.0,3091.0,72.0,1492.0,1599.0
LAWRENCEVILLE I,Gwinnett,3312.0,218.0,381.0,209.0,0.0,808.0,260.0,649.0,417.0,1.0,1327.0,2135.0,64.5,808.0,1327.0
SUWANEE B,Gwinnett,4656.0,271.0,1157.0,506.0,0.0,1934.0,105.0,933.0,531.0,0.0,1569.0,3503.0,75.2,1934.0,1569.0
GOODWINS G,Gwinnett,2661.0,165.0,275.0,109.0,1.0,550.0,231.0,573.0,346.0,1.0,1151.0,1701.0,63.9,550.0,1151.0
LAWRENCEVILLE K,Gwinnett,3282.0,279.0,609.0,323.0,0.0,1211.0,165.0,618.0,457.0,0.0,1240.0,2451.0,74.7,1211.0,1240.0
SUWANEE F,Gwinnett,3966.0,314.0,817.0,382.0,1.0,1514.0,160.0,717.0,506.0,2.0,1385.0,2899.0,73.1,1514.0,1385.0
