Precinct,County,Registered Voters,Renitta Shannon (I) (Dem)_Election Day Votes,Renitta Shannon (I) (Dem)_Advanced Voting Votes,Renitta Shannon (I) (Dem)_Absentee by Mail Votes,Renitta Shannon (I) (Dem)_Provisional Votes,Renitta Shannon (I) (Dem)_Choice Total,Total,calc_participation
Avondale High,DeKalb,3151.0,58.0,517.0,389.0,3.0,967.0,967.0,30.7
Columbia Elem,DeKalb,1794.0,149.0,334.0,238.0,3.0,724.0,724.0,40.4
Chapel Hill Elem,DeKalb,3349.0,262.0,1208.0,683.0,3.0,2156.0,2156.0,64.4
Clairemont West,DeKalb,3264.0,137.0,1180.0,1056.0,2.0,2375.0,2375.0,72.8
Clairmont Road,DeKalb,3223.0,189.0,903.0,929.0,6.0,2027.0,2027.0,62.9
Columbia Middle,DeKalb,2178.0,154.0,605.0,341.0,3.0,1103.0,1103.0,50.6
Candler,DeKalb,3537.0,250.0,1022.0,594.0,8.0,1874.0,1874.0,53.0
East Lake,DeKalb,4139.0,0.0,2.0,2.0,0.0,4.0,4.0,0.1
Flat Shoals Parkway,DeKalb,3449.0,202.0,1305.0,740.0,1.0,2248.0,2248.0,65.2
Flakes Mill Fire Station,DeKalb,2103.0,120.0,744.0,425.0,3.0,1292.0,1292.0,61.4
Flat Shoals Library,DeKalb,2788.0,244.0,728.0,416.0,1.0,1389.0,1389.0,49.8
Glennwood,DeKalb,2715.0,75.0,754.0,710.0,2.0,1541.0,1541.0,56.8
Medlock,DeKalb,2208.0,145.0,706.0,682.0,1.0,1534.0,1534.0,69.5
Mathis-Bob Mathis Elem,DeKalb,2789.0,227.0,943.0,698.0,2.0,1870.0,1870.0,67.0
Scott,DeKalb,2805.0,118.0,828.0,894.0,0.0,1840.0,1840.0,65.6
Shamrock,DeKalb,1600.0,137.0,468.0,483.0,2.0,1090.0,1090.0,68.1
Snapfinger Road,DeKalb,4872.0,220.0,2209.0,1068.0,5.0,3502.0,3502.0,71.9
Toney Elem,DeKalb,1729.0,154.0,452.0,350.0,2.0,958.0,958.0,55.4
Winnona Park,DeKalb,2020.0,50.0,866.0,580.0,2.0,1498.0,1498.0,74.2
