Precinct,County,Registered Voters,"Michael """"Mike"""" Thurmond (I) (Dem)_Election Day Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Advanced Voting Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Absentee by Mail Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Provisional Votes","Michael """"Mike"""" Thurmond (I) (Dem)_Choice Total",Total,calc_participation,Dem_total
Allgood Elem,DeKalb,2858.0,258.0,896.0,611.0,3.0,1768.0,1768.0,61.9,1768.0
Ashford Park Elem,DeKalb,2432.0,188.0,756.0,446.0,1.0,1391.0,1391.0,57.2,1391.0
Austin,DeKalb,2538.0,198.0,792.0,536.0,1.0,1527.0,1527.0,60.2,1527.0
Avondale,DeKalb,2906.0,299.0,984.0,778.0,1.0,2062.0,2062.0,71.0,2062.0
Austin Drive,DeKalb,2536.0,208.0,644.0,455.0,13.0,1320.0,1320.0,52.1,1320.0
Ashford Dunwoody Rd,DeKalb,2966.0,166.0,1072.0,602.0,4.0,1844.0,1844.0,62.2,1844.0
Ashford Parkside,DeKalb,3664.0,203.0,1064.0,820.0,6.0,2093.0,2093.0,57.1,2093.0
Avondale High,DeKalb,3151.0,132.0,1149.0,904.0,4.0,2189.0,2189.0,69.5,2189.0
Boulevard,DeKalb,4675.0,257.0,1877.0,1191.0,3.0,3328.0,3328.0,71.2,3328.0
Briar Vista Elem,DeKalb,2965.0,198.0,858.0,827.0,0.0,1883.0,1883.0,63.5,1883.0
Briarlake Elem,DeKalb,1752.0,137.0,534.0,449.0,1.0,1121.0,1121.0,64.0,1121.0
Briarwood,DeKalb,2428.0,169.0,796.0,458.0,2.0,1425.0,1425.0,58.7,1425.0
Brockett Elem,DeKalb,2752.0,178.0,853.0,585.0,5.0,1621.0,1621.0,58.9,1621.0
Briarcliff,DeKalb,3122.0,167.0,790.0,794.0,6.0,1757.0,1757.0,56.3,1757.0
Brockett,DeKalb,2681.0,238.0,779.0,535.0,7.0,1559.0,1559.0,58.1,1559.0
Brookhaven,DeKalb,3444.0,271.0,1202.0,659.0,2.0,2134.0,2134.0,62.0,2134.0
Browns Mill Elem,DeKalb,3829.0,318.0,1469.0,880.0,5.0,2672.0,2672.0,69.8,2672.0
Bouldercrest Road,DeKalb,2004.0,160.0,774.0,356.0,2.0,1292.0,1292.0,64.5,1292.0
Bethune Middle,DeKalb,4838.0,338.0,1374.0,981.0,19.0,2712.0,2712.0,56.1,2712.0
Burgess Elem,DeKalb,3493.0,194.0,1349.0,855.0,7.0,2405.0,2405.0,68.9,2405.0
Columbia Drive,DeKalb,2526.0,221.0,584.0,477.0,8.0,1290.0,1290.0,51.1,1290.0
Canby Lane Elem,DeKalb,2004.0,221.0,544.0,437.0,8.0,1210.0,1210.0,60.4,1210.0
Columbia Elem,DeKalb,1794.0,147.0,329.0,243.0,9.0,728.0,728.0,40.6,728.0
Cedar Grove Elem,DeKalb,4097.0,306.0,1490.0,773.0,9.0,2578.0,2578.0,62.9,2578.0
Chamblee,DeKalb,2231.0,154.0,748.0,403.0,3.0,1308.0,1308.0,58.6,1308.0
Candler-Murphey Candler Elem,DeKalb,3712.0,300.0,1440.0,655.0,6.0,2401.0,2401.0,64.7,2401.0
Chapel Hill Elem,DeKalb,3349.0,265.0,1216.0,699.0,7.0,2187.0,2187.0,65.3,2187.0
Chesnut Elem,DeKalb,2363.0,221.0,818.0,375.0,1.0,1415.0,1415.0,59.9,1415.0
Clairemont West,DeKalb,3264.0,143.0,1195.0,1064.0,4.0,2406.0,2406.0,73.7,2406.0
Clairmont Road,DeKalb,3223.0,195.0,902.0,928.0,5.0,2030.0,2030.0,63.0,2030.0
Clarkston,DeKalb,3878.0,393.0,961.0,426.0,13.0,1793.0,1793.0,46.2,1793.0
Clifton,DeKalb,1731.0,125.0,527.0,333.0,5.0,990.0,990.0,57.2,990.0
Columbia Middle,DeKalb,2178.0,154.0,614.0,343.0,6.0,1117.0,1117.0,51.3,1117.0
Coan Recreation Center,DeKalb,4230.0,206.0,1605.0,891.0,4.0,2706.0,2706.0,64.0,2706.0
Cross Keys High,DeKalb,2260.0,159.0,621.0,504.0,4.0,1288.0,1288.0,57.0,1288.0
Crossroads,DeKalb,2898.0,246.0,875.0,636.0,8.0,1765.0,1765.0,60.9,1765.0
Candler,DeKalb,3537.0,248.0,1020.0,597.0,13.0,1878.0,1878.0,53.1,1878.0
Cedar Grove Middle,DeKalb,1896.0,132.0,503.0,267.0,5.0,907.0,907.0,47.8,907.0
Cedar Grove South,DeKalb,3962.0,271.0,1588.0,750.0,6.0,2615.0,2615.0,66.0,2615.0
Covington Hwy,DeKalb,995.0,53.0,102.0,61.0,6.0,222.0,222.0,22.3,222.0
Covington,DeKalb,2376.0,139.0,704.0,369.0,6.0,1218.0,1218.0,51.3,1218.0
Clairemont East,DeKalb,3226.0,114.0,1142.0,1137.0,3.0,2396.0,2396.0,74.3,2396.0
Coralwood,DeKalb,3153.0,160.0,1043.0,948.0,3.0,2154.0,2154.0,68.3,2154.0
Candler Park,DeKalb,4018.0,121.0,1709.0,1228.0,2.0,3060.0,3060.0,76.2,3060.0
Clarkston Community Center,DeKalb,2495.0,227.0,614.0,385.0,10.0,1236.0,1236.0,49.5,1236.0
Chamblee 2,DeKalb,3137.0,162.0,1166.0,626.0,0.0,1954.0,1954.0,62.3,1954.0
Doraville North,DeKalb,3065.0,312.0,769.0,461.0,7.0,1549.0,1549.0,50.5,1549.0
Doraville South,DeKalb,1255.0,123.0,332.0,211.0,2.0,668.0,668.0,53.2,668.0
Dresden Elem,DeKalb,5141.0,391.0,1411.0,948.0,6.0,2756.0,2756.0,53.6,2756.0
Decatur,DeKalb,1937.0,84.0,879.0,477.0,1.0,1441.0,1441.0,74.4,1441.0
Dunaire Elem,DeKalb,2268.0,193.0,637.0,432.0,7.0,1269.0,1269.0,56.0,1269.0
Dunwoody,DeKalb,3003.0,169.0,974.0,562.0,7.0,1712.0,1712.0,57.0,1712.0
Dunwoody 2,DeKalb,2044.0,103.0,694.0,389.0,3.0,1189.0,1189.0,58.2,1189.0
Druid Hills High,DeKalb,2725.0,136.0,662.0,647.0,2.0,1447.0,1447.0,53.1,1447.0
Dunwoody Library,DeKalb,2570.0,92.0,934.0,501.0,2.0,1529.0,1529.0,59.5,1529.0
East Lake,DeKalb,4139.0,234.0,1566.0,922.0,7.0,2729.0,2729.0,65.9,2729.0
Embry Hills,DeKalb,1721.0,107.0,521.0,428.0,0.0,1056.0,1056.0,61.4,1056.0
Evansdale Elem,DeKalb,3441.0,261.0,1069.0,732.0,3.0,2065.0,2065.0,60.0,2065.0
Emory South,DeKalb,3241.0,191.0,1047.0,888.0,7.0,2133.0,2133.0,65.8,2133.0
Emory Road,DeKalb,2290.0,125.0,640.0,430.0,7.0,1202.0,1202.0,52.5,1202.0
Fairington Elem,DeKalb,5455.0,447.0,1586.0,660.0,19.0,2712.0,2712.0,49.7,2712.0
Fernbank Elem,DeKalb,2125.0,126.0,701.0,726.0,1.0,1554.0,1554.0,73.1,1554.0
Flat Shoals Elem,DeKalb,2409.0,200.0,635.0,422.0,9.0,1266.0,1266.0,52.6,1266.0
Flat Shoals Parkway,DeKalb,3449.0,204.0,1317.0,753.0,4.0,2278.0,2278.0,66.0,2278.0
Flat Rock Elem,DeKalb,3142.0,258.0,1339.0,540.0,6.0,2143.0,2143.0,68.2,2143.0
Flat Shoals,DeKalb,2649.0,188.0,652.0,457.0,7.0,1304.0,1304.0,49.2,1304.0
Flakes Mill Fire Station,DeKalb,2103.0,119.0,756.0,428.0,7.0,1310.0,1310.0,62.3,1310.0
Flat Shoals Library,DeKalb,2788.0,243.0,735.0,427.0,3.0,1408.0,1408.0,50.5,1408.0
Freedom Middle,DeKalb,3227.0,295.0,873.0,552.0,10.0,1730.0,1730.0,53.6,1730.0
Glennwood,DeKalb,2715.0,86.0,885.0,816.0,6.0,1793.0,1793.0,66.0,1793.0
Glenhaven,DeKalb,1880.0,225.0,489.0,325.0,4.0,1043.0,1043.0,55.5,1043.0
Gresham Road,DeKalb,3601.0,219.0,1164.0,778.0,16.0,2177.0,2177.0,60.5,2177.0
Georgetown Sq,DeKalb,4155.0,256.0,1389.0,646.0,6.0,2297.0,2297.0,55.3,2297.0
Glenwood Road,DeKalb,2293.0,205.0,555.0,397.0,4.0,1161.0,1161.0,50.6,1161.0
Hambrick Elem,DeKalb,3776.0,314.0,1094.0,647.0,10.0,2065.0,2065.0,54.7,2065.0
Hawthorne Elem,DeKalb,3884.0,302.0,1219.0,681.0,7.0,2209.0,2209.0,56.9,2209.0
Henderson Mill,DeKalb,3104.0,186.0,986.0,708.0,2.0,1882.0,1882.0,60.6,1882.0
Huntley Hills Elem,DeKalb,3508.0,327.0,1184.0,535.0,5.0,2051.0,2051.0,58.5,2051.0
Hugh Howell,DeKalb,1773.0,164.0,577.0,356.0,1.0,1098.0,1098.0,61.9,1098.0
Harris-Narvie J Harris Elem,DeKalb,4031.0,179.0,1614.0,779.0,10.0,2582.0,2582.0,64.1,2582.0
Harris-Margaret Harris ED,DeKalb,1462.0,129.0,493.0,306.0,4.0,932.0,932.0,63.7,932.0
Idlewood Elem,DeKalb,2472.0,225.0,753.0,433.0,8.0,1419.0,1419.0,57.4,1419.0
Indian Creek,DeKalb,2318.0,176.0,522.0,366.0,12.0,1076.0,1076.0,46.4,1076.0
Johnson Estates,DeKalb,1600.0,50.0,523.0,538.0,0.0,1111.0,1111.0,69.4,1111.0
Jolly Elem,DeKalb,3679.0,270.0,917.0,633.0,13.0,1833.0,1833.0,49.8,1833.0
Kelley Lake Elem,DeKalb,3015.0,280.0,769.0,585.0,3.0,1637.0,1637.0,54.3,1637.0
Kingsley Elem,DeKalb,2490.0,168.0,715.0,575.0,9.0,1467.0,1467.0,58.9,1467.0
Kelley Chapel Road,DeKalb,1337.0,127.0,459.0,317.0,1.0,904.0,904.0,67.6,904.0
Knollwood,DeKalb,2546.0,267.0,673.0,468.0,11.0,1419.0,1419.0,55.7,1419.0
Kittredge Elem,DeKalb,2161.0,127.0,741.0,487.0,3.0,1358.0,1358.0,62.8,1358.0
Lakeside High,DeKalb,3216.0,215.0,1058.0,721.0,0.0,1994.0,1994.0,62.0,1994.0
Lavista Road,DeKalb,2223.0,142.0,585.0,626.0,3.0,1356.0,1356.0,61.0,1356.0
Lavista,DeKalb,3223.0,209.0,884.0,640.0,9.0,1742.0,1742.0,54.0,1742.0
Lithonia,DeKalb,1730.0,240.0,397.0,217.0,2.0,856.0,856.0,49.5,856.0
Lin-Mary Lin Elem,DeKalb,3009.0,139.0,1089.0,893.0,8.0,2129.0,2129.0,70.8,2129.0
Lithonia High,DeKalb,3610.0,345.0,1084.0,537.0,13.0,1979.0,1979.0,54.8,1979.0
Livsey Elem,DeKalb,1350.0,84.0,484.0,306.0,0.0,874.0,874.0,64.7,874.0
Miller-Eldridge L Miller Elem,DeKalb,3455.0,309.0,956.0,714.0,7.0,1986.0,1986.0,57.5,1986.0
McNair High,DeKalb,4160.0,275.0,1413.0,945.0,6.0,2639.0,2639.0,63.4,2639.0
Marbut Elem,DeKalb,4234.0,323.0,1418.0,630.0,19.0,2390.0,2390.0,56.4,2390.0
McNair,DeKalb,2794.0,186.0,825.0,603.0,5.0,1619.0,1619.0,57.9,1619.0
McLendon,DeKalb,3607.0,188.0,1050.0,888.0,10.0,2136.0,2136.0,59.2,2136.0
McWilliams,DeKalb,2517.0,151.0,983.0,556.0,4.0,1694.0,1694.0,67.3,1694.0
Medlock,DeKalb,2208.0,149.0,706.0,666.0,2.0,1523.0,1523.0,69.0,1523.0
Midvale Elem,DeKalb,2747.0,165.0,869.0,673.0,3.0,1710.0,1710.0,62.2,1710.0
Miller Grove,DeKalb,4747.0,348.0,1395.0,692.0,15.0,2450.0,2450.0,51.6,2450.0
Montclair Elem,DeKalb,2194.0,222.0,657.0,242.0,8.0,1129.0,1129.0,51.5,1129.0
Montreal,DeKalb,2586.0,202.0,830.0,521.0,2.0,1555.0,1555.0,60.1,1555.0
Meadowview,DeKalb,3511.0,229.0,997.0,768.0,11.0,2005.0,2005.0,57.1,2005.0
Memorial South,DeKalb,3138.0,245.0,712.0,379.0,19.0,1355.0,1355.0,43.2,1355.0
Midway,DeKalb,3139.0,183.0,759.0,628.0,7.0,1577.0,1577.0,50.2,1577.0
McNair Academy,DeKalb,1900.0,137.0,615.0,444.0,5.0,1201.0,1201.0,63.2,1201.0
Mount Vernon East,DeKalb,2651.0,177.0,911.0,479.0,3.0,1570.0,1570.0,59.2,1570.0
Mathis-Bob Mathis Elem,DeKalb,2789.0,224.0,958.0,716.0,5.0,1903.0,1903.0,68.2,1903.0
Mount Vernon West,DeKalb,2303.0,110.0,862.0,432.0,9.0,1413.0,1413.0,61.4,1413.0
Metropolitan,DeKalb,3405.0,179.0,1359.0,738.0,10.0,2286.0,2286.0,67.1,2286.0
Montgomery Elem,DeKalb,2446.0,166.0,817.0,538.0,5.0,1526.0,1526.0,62.4,1526.0
Miller Grove Road,DeKalb,2151.0,184.0,744.0,501.0,4.0,1433.0,1433.0,66.6,1433.0
Midvale Road,DeKalb,1832.0,153.0,649.0,333.0,2.0,1137.0,1137.0,62.1,1137.0
Miller Grove High,DeKalb,3470.0,283.0,976.0,453.0,10.0,1722.0,1722.0,49.6,1722.0
North Decatur,DeKalb,2166.0,121.0,632.0,515.0,12.0,1280.0,1280.0,59.1,1280.0
North Hairston,DeKalb,2329.0,231.0,644.0,421.0,8.0,1304.0,1304.0,56.0,1304.0
Northlake,DeKalb,1509.0,133.0,456.0,407.0,1.0,997.0,997.0,66.1,997.0
North Peachtree,DeKalb,1916.0,156.0,525.0,304.0,5.0,990.0,990.0,51.7,990.0
Oak Grove Elem,DeKalb,2253.0,172.0,689.0,594.0,0.0,1455.0,1455.0,64.6,1455.0
Oakcliff Elem,DeKalb,2125.0,274.0,464.0,292.0,9.0,1039.0,1039.0,48.9,1039.0
Oakhurst,DeKalb,2398.0,108.0,1044.0,691.0,2.0,1845.0,1845.0,76.9,1845.0
Oak View Elem,DeKalb,5011.0,356.0,1722.0,742.0,18.0,2838.0,2838.0,56.6,2838.0
Peachcrest,DeKalb,2458.0,181.0,634.0,441.0,4.0,1260.0,1260.0,51.3,1260.0
Peachtree Middle,DeKalb,3502.0,243.0,1203.0,598.0,6.0,2050.0,2050.0,58.5,2050.0
Princeton Elem,DeKalb,2376.0,168.0,866.0,456.0,5.0,1495.0,1495.0,62.9,1495.0
Pine Lake,DeKalb,632.0,243.0,137.0,70.0,0.0,450.0,450.0,71.2,450.0
Pleasantdale Road,DeKalb,4538.0,434.0,1179.0,598.0,9.0,2220.0,2220.0,48.9,2220.0
Ponce de Leon,DeKalb,3766.0,123.0,903.0,830.0,13.0,1869.0,1869.0,49.6,1869.0
Panola,DeKalb,1586.0,140.0,478.0,326.0,2.0,946.0,946.0,59.6,946.0
Panola Way Elem,DeKalb,2252.0,203.0,587.0,322.0,21.0,1133.0,1133.0,50.3,1133.0
Piney Grove,DeKalb,2018.0,165.0,533.0,342.0,7.0,1047.0,1047.0,51.9,1047.0
Panola Road,DeKalb,2884.0,192.0,1024.0,574.0,8.0,1798.0,1798.0,62.3,1798.0
Rainbow Elem,DeKalb,3768.0,262.0,1211.0,847.0,9.0,2329.0,2329.0,61.8,2329.0
Redan Elem,DeKalb,3020.0,204.0,1155.0,589.0,8.0,1956.0,1956.0,64.8,1956.0
Rehoboth,DeKalb,1813.0,103.0,493.0,559.0,3.0,1158.0,1158.0,63.9,1158.0
Rockbridge Elem,DeKalb,3595.0,315.0,947.0,518.0,17.0,1797.0,1797.0,50.0,1797.0
Rock Chapel Elem,DeKalb,2910.0,212.0,1111.0,512.0,7.0,1842.0,1842.0,63.3,1842.0
Rowland Elem,DeKalb,3765.0,289.0,916.0,592.0,9.0,1806.0,1806.0,48.0,1806.0
Redan-Trotti Library,DeKalb,3990.0,272.0,1272.0,751.0,21.0,2316.0,2316.0,58.0,2316.0
Rockbridge Road,DeKalb,3965.0,300.0,1485.0,972.0,6.0,2763.0,2763.0,69.7,2763.0
Rowland Road,DeKalb,2080.0,187.0,591.0,417.0,7.0,1202.0,1202.0,57.8,1202.0
Redan Road,DeKalb,2932.0,230.0,902.0,508.0,11.0,1651.0,1651.0,56.3,1651.0
Rock Chapel Road,DeKalb,4178.0,254.0,1610.0,812.0,19.0,2695.0,2695.0,64.5,2695.0
Redan Middle,DeKalb,2496.0,153.0,864.0,527.0,5.0,1549.0,1549.0,62.1,1549.0
Sagamore Hills Elem,DeKalb,2925.0,193.0,919.0,861.0,0.0,1973.0,1973.0,67.5,1973.0
Scott,DeKalb,2805.0,120.0,834.0,883.0,1.0,1838.0,1838.0,65.5,1838.0
Shaw-Robert Shaw Elem,DeKalb,2892.0,253.0,864.0,584.0,3.0,1704.0,1704.0,58.9,1704.0
Stone Mountain Elem,DeKalb,2338.0,158.0,528.0,593.0,3.0,1282.0,1282.0,54.8,1282.0
Silver Lake,DeKalb,4979.0,232.0,1554.0,945.0,3.0,2734.0,2734.0,54.9,2734.0
Skyland,DeKalb,2100.0,178.0,684.0,380.0,6.0,1248.0,1248.0,59.4,1248.0
Snapfinger Elem,DeKalb,1894.0,164.0,609.0,503.0,0.0,1276.0,1276.0,67.4,1276.0
Smoke Rise,DeKalb,2108.0,150.0,676.0,513.0,1.0,1340.0,1340.0,63.6,1340.0
Stone Mtn Middle,DeKalb,3247.0,290.0,613.0,325.0,16.0,1244.0,1244.0,38.3,1244.0
Stone Mill Elem,DeKalb,3714.0,344.0,676.0,458.0,14.0,1492.0,1492.0,40.2,1492.0
Shadow Rock Elem,DeKalb,4347.0,289.0,1569.0,1028.0,12.0,2898.0,2898.0,66.7,2898.0
Stoneview Elem,DeKalb,1988.0,164.0,490.0,250.0,10.0,914.0,914.0,46.0,914.0
Salem Middle,DeKalb,3519.0,222.0,1399.0,842.0,6.0,2469.0,2469.0,70.2,2469.0
Shamrock,DeKalb,1600.0,147.0,477.0,479.0,4.0,1107.0,1107.0,69.2,1107.0
South Deshon,DeKalb,3470.0,257.0,1268.0,635.0,11.0,2171.0,2171.0,62.6,2171.0
Stone Mtn Champion,DeKalb,3098.0,303.0,775.0,472.0,10.0,1560.0,1560.0,50.4,1560.0
Stone Mtn,DeKalb,1711.0,182.0,381.0,313.0,2.0,878.0,878.0,51.3,878.0
Snapfinger Road N,DeKalb,2705.0,240.0,694.0,474.0,6.0,1414.0,1414.0,52.3,1414.0
Snapfinger Road S,DeKalb,1960.0,161.0,721.0,437.0,3.0,1322.0,1322.0,67.4,1322.0
Stephenson Middle,DeKalb,3822.0,295.0,1405.0,786.0,2.0,2488.0,2488.0,65.1,2488.0
South Hairston,DeKalb,3814.0,355.0,1095.0,634.0,11.0,2095.0,2095.0,54.9,2095.0
Stephenson High,DeKalb,3555.0,261.0,1198.0,809.0,7.0,2275.0,2275.0,64.0,2275.0
Stonecrest Library,DeKalb,3720.0,214.0,1531.0,544.0,11.0,2300.0,2300.0,61.8,2300.0
Snapfinger Road,DeKalb,4872.0,216.0,2217.0,1070.0,9.0,3512.0,3512.0,72.1,3512.0
Terry Mill,DeKalb,2808.0,226.0,966.0,598.0,5.0,1795.0,1795.0,63.9,1795.0
Toney Elem,DeKalb,1729.0,154.0,466.0,360.0,6.0,986.0,986.0,57.0,986.0
Tucker Library,DeKalb,3506.0,142.0,1242.0,731.0,4.0,2119.0,2119.0,60.4,2119.0
Tilly Mill Road,DeKalb,1552.0,122.0,499.0,295.0,0.0,916.0,916.0,59.0,916.0
Tucker,DeKalb,2932.0,134.0,971.0,606.0,6.0,1717.0,1717.0,58.6,1717.0
Valley Brook,DeKalb,1037.0,121.0,305.0,248.0,6.0,680.0,680.0,65.6,680.0
Wadsworth,DeKalb,3159.0,279.0,878.0,659.0,10.0,1826.0,1826.0,57.8,1826.0
Wesley Chapel Library,DeKalb,2922.0,196.0,1115.0,719.0,7.0,2037.0,2037.0,69.7,2037.0
Woodrow Road,DeKalb,3493.0,249.0,1100.0,493.0,12.0,1854.0,1854.0,53.1,1854.0
Winnona Park,DeKalb,2020.0,52.0,878.0,569.0,2.0,1501.0,1501.0,74.3,1501.0
Woodridge Elem,DeKalb,3851.0,324.0,1034.0,762.0,12.0,2132.0,2132.0,55.4,2132.0
Warren Tech,DeKalb,1364.0,174.0,362.0,215.0,4.0,755.0,755.0,55.4,755.0
Woodward,DeKalb,3193.0,170.0,992.0,811.0,2.0,1975.0,1975.0,61.9,1975.0
White Oak,DeKalb,2951.0,314.0,729.0,424.0,7.0,1474.0,1474.0,49.9,1474.0
Winters Chapel,DeKalb,1434.0,109.0,443.0,328.0,2.0,882.0,882.0,61.5,882.0
Wynbrooke Elem,DeKalb,3496.0,284.0,1324.0,817.0,13.0,2438.0,2438.0,69.7,2438.0
Young Road,DeKalb,1951.0,107.0,769.0,426.0,8.0,1310.0,1310.0,67.1,1310.0
