Precinct,County,Registered Voters,Rose Wing (Rep)_Election Day Votes,Rose Wing (Rep)_Advanced Voting Votes,Rose Wing (Rep)_Absentee by Mail Votes,Rose Wing (Rep)_Provisional Votes,Rose Wing (Rep)_Choice Total,Mary Frances Williams (I) (Dem)_Election Day Votes,Mary Frances Williams (I) (Dem)_Advanced Voting Votes,Mary Frances Williams (I) (Dem)_Absentee by Mail Votes,Mary Frances Williams (I) (Dem)_Provisional Votes,Mary Frances Williams (I) (Dem)_Choice Total,Total,calc_participation
Cheatham Hill 03,Cobb,4029.0,255.0,584.0,397.0,1.0,1237.0,105.0,475.0,506.0,0.0,1086.0,2323.0,57.7
Dowell 01,Cobb,3197.0,252.0,547.0,324.0,0.0,1123.0,175.0,585.0,584.0,2.0,1346.0,2469.0,77.2
Elizabeth 01,Cobb,4065.0,7.0,13.0,4.0,0.0,24.0,17.0,27.0,10.0,0.0,54.0,78.0,1.9
Elizabeth 02,Cobb,2434.0,259.0,376.0,371.0,3.0,1009.0,118.0,316.0,407.0,0.0,841.0,1850.0,76.0
Elizabeth 03,Cobb,2767.0,218.0,303.0,347.0,1.0,869.0,89.0,261.0,339.0,0.0,689.0,1558.0,56.3
Elizabeth 04,Cobb,3011.0,253.0,266.0,208.0,0.0,727.0,268.0,468.0,540.0,0.0,1276.0,2003.0,66.5
East Piedmont 01,Cobb,2627.0,253.0,307.0,227.0,0.0,787.0,207.0,414.0,434.0,0.0,1055.0,1842.0,70.1
Kemp 02,Cobb,4049.0,386.0,832.0,567.0,1.0,1786.0,156.0,598.0,617.0,0.0,1371.0,3157.0,78.0
Marietta 1A,Cobb,4468.0,44.0,79.0,47.0,0.0,170.0,70.0,116.0,119.0,0.0,305.0,475.0,10.6
Marietta 2A,Cobb,2059.0,248.0,311.0,317.0,0.0,876.0,105.0,240.0,243.0,0.0,588.0,1464.0,71.1
Marietta 2B,Cobb,4447.0,206.0,406.0,342.0,1.0,955.0,153.0,458.0,405.0,0.0,1016.0,1971.0,44.3
Marietta 3A,Cobb,4388.0,266.0,550.0,442.0,1.0,1259.0,121.0,442.0,525.0,0.0,1088.0,2347.0,53.5
Marietta 3B,Cobb,2218.0,42.0,83.0,53.0,0.0,178.0,119.0,331.0,263.0,1.0,714.0,892.0,40.2
Marietta 4A,Cobb,1956.0,47.0,29.0,22.0,0.0,98.0,27.0,29.0,29.0,0.0,85.0,183.0,9.4
Marietta 4B,Cobb,2056.0,84.0,127.0,79.0,0.0,290.0,37.0,90.0,125.0,0.0,252.0,542.0,26.4
Marietta 5A,Cobb,3324.0,113.0,141.0,130.0,0.0,384.0,144.0,268.0,352.0,0.0,764.0,1148.0,34.5
Marietta 5B,Cobb,3084.0,125.0,141.0,97.0,0.0,363.0,266.0,505.0,358.0,0.0,1129.0,1492.0,48.4
Marietta 6A,Cobb,2647.0,35.0,62.0,43.0,0.0,140.0,51.0,87.0,69.0,2.0,209.0,349.0,13.2
Marietta 6B,Cobb,2910.0,246.0,442.0,326.0,0.0,1014.0,155.0,490.0,600.0,0.0,1245.0,2259.0,77.6
Marietta 7A,Cobb,3745.0,4.0,2.0,0.0,0.0,6.0,6.0,15.0,3.0,0.0,24.0,30.0,0.8
Oregon 03,Cobb,5713.0,83.0,129.0,96.0,0.0,308.0,158.0,380.0,270.0,1.0,809.0,1117.0,19.6
