Precinct,County,Registered Voters,Philip Singleton (I) (Rep)_Election Day Votes,Philip Singleton (I) (Rep)_Advanced Voting Votes,Philip Singleton (I) (Rep)_Absentee by Mail Votes,Philip Singleton (I) (Rep)_Provisional Votes,Philip Singleton (I) (Rep)_Choice Total,Jill Prouty (Dem)_Election Day Votes,Jill Prouty (Dem)_Advanced Voting Votes,Jill Prouty (Dem)_Absentee by Mail Votes,Jill Prouty (Dem)_Provisional Votes,Jill Prouty (Dem)_Choice Total,Total,Jill_Election Day Votes,Jill_Advanced Voting Votes,Jill_Absentee by Mail Votes,Jill_Provisional Votes,Jill_Choice Total,calc_participation
Kedron,Fayette,4862.0,182.0,902.0,273.0,0.0,1357.0,128.0,704.0,372.0,2.0,1206.0,2563.0,,,,,,52.7
Fielding Ridge,Fayette,3497.0,78.0,384.0,72.0,0.0,534.0,39.0,227.0,109.0,0.0,375.0,909.0,,,,,,26.0
Moreland,Coweta,2758.0,908.0,585.0,306.0,0.0,1799.0,,,,,,2170.0,109.0,92.0,170.0,0.0,371.0,78.7
Sharpsburg,Coweta,4526.0,871.0,1483.0,438.0,1.0,2793.0,,,,,,3471.0,123.0,308.0,247.0,0.0,678.0,76.7
Fischer Road,Coweta,4328.0,689.0,1346.0,482.0,0.0,2517.0,,,,,,3359.0,143.0,352.0,345.0,2.0,842.0,77.6
Raymond,Coweta,2492.0,611.0,650.0,250.0,0.0,1511.0,,,,,,1881.0,93.0,131.0,146.0,0.0,370.0,75.5
Turin,Coweta,4477.0,550.0,645.0,234.0,0.0,1429.0,,,,,,1899.0,109.0,197.0,164.0,0.0,470.0,42.4
Newnan Centre,Coweta,20465.0,613.0,1364.0,480.0,0.0,2457.0,,,,,,3879.0,226.0,680.0,516.0,0.0,1422.0,19.0
White Oak,Coweta,4636.0,700.0,1317.0,410.0,1.0,2428.0,,,,,,3434.0,204.0,429.0,373.0,0.0,1006.0,74.1
Madras,Coweta,4462.0,734.0,1148.0,506.0,0.0,2388.0,,,,,,3488.0,179.0,497.0,420.0,4.0,1100.0,78.2
Cannongate,Coweta,3653.0,818.0,1043.0,421.0,0.0,2282.0,,,,,,2876.0,112.0,257.0,225.0,0.0,594.0,78.7
Thomas Crossroads,Coweta,4962.0,848.0,1670.0,466.0,0.0,2984.0,,,,,,3809.0,149.0,374.0,302.0,0.0,825.0,76.8
Coweta Central Library,Coweta,1723.0,280.0,610.0,161.0,0.0,1051.0,,,,,,1356.0,60.0,143.0,102.0,0.0,305.0,78.7
