Precinct,County,Registered Voters,Jonathan L. Adams (I) (Rep)_Election Day Votes,Jonathan L. Adams (I) (Rep)_Advanced Voting Votes,Jonathan L. Adams (I) (Rep)_Absentee by Mail Votes,Jonathan L. Adams (I) (Rep)_Provisional Votes,Jonathan L. Adams (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Bentons,Monroe,2297.0,357.0,1022.0,234.0,1.0,1614.0,1614.0,70.3,1614.0
Brantleys,Monroe,1123.0,233.0,555.0,67.0,0.0,855.0,855.0,76.1,855.0
Burgays,Monroe,2268.0,451.0,998.0,220.0,4.0,1673.0,1673.0,73.8,1673.0
Cabaniss,Monroe,800.0,205.0,226.0,44.0,1.0,476.0,476.0,59.5,476.0
Cox,Monroe,718.0,159.0,295.0,44.0,0.0,498.0,498.0,69.4,498.0
Culloden,Monroe,454.0,136.0,90.0,44.0,0.0,270.0,270.0,59.5,270.0
Dillards,Monroe,996.0,161.0,405.0,54.0,0.0,620.0,620.0,62.2,620.0
Evers,Monroe,2127.0,304.0,969.0,166.0,0.0,1439.0,1439.0,67.7,1439.0
Forsyth,Monroe,4640.0,312.0,1468.0,404.0,0.0,2184.0,2184.0,47.1,2184.0
High Falls,Monroe,1994.0,361.0,645.0,138.0,1.0,1145.0,1145.0,57.4,1145.0
Kelseys,Monroe,722.0,141.0,205.0,64.0,0.0,410.0,410.0,56.8,410.0
Middlebrooks,Monroe,1319.0,221.0,582.0,87.0,0.0,890.0,890.0,67.5,890.0
Proctors,Monroe,1214.0,256.0,355.0,75.0,0.0,686.0,686.0,56.5,686.0
Russellville,Monroe,466.0,146.0,134.0,22.0,0.0,302.0,302.0,64.8,302.0
Barnesville,Lamar,2546.0,222.0,521.0,274.0,0.0,1017.0,1017.0,39.9,1017.0
Chappell Mill V FD,Lamar,1577.0,329.0,616.0,151.0,1.0,1097.0,1097.0,69.6,1097.0
Senior Citizen Bldg,Lamar,1337.0,166.0,432.0,140.0,1.0,739.0,739.0,55.3,739.0
Redbone,Lamar,623.0,197.0,166.0,58.0,0.0,421.0,421.0,67.6,421.0
L C S C,Lamar,2808.0,365.0,1134.0,286.0,4.0,1789.0,1789.0,63.7,1789.0
Milner,Lamar,3948.0,742.0,1487.0,358.0,1.0,2588.0,2588.0,65.6,2588.0
Butts County Admin Bldg,Butts,17154.0,1029.0,7299.0,1521.0,3.0,9852.0,9852.0,57.4,9852.0
