Precinct,County,Registered Voters,"Alfred """"Big Al"""" Ellis (Dem)_Election Day Votes","Alfred """"Big Al"""" Ellis (Dem)_Advanced Voting Votes","Alfred """"Big Al"""" Ellis (Dem)_Absentee by Mail Votes","Alfred """"Big Al"""" Ellis (Dem)_Provisional Votes","Alfred """"Big Al"""" Ellis (Dem)_Choice Total",Total,calc_participation,Dem_total
Claude,Peach,908.0,44.0,78.0,18.0,0.0,140.0,140.0,15.4,140.0
Fort Valley 1,Peach,2669.0,48.0,148.0,71.0,1.0,268.0,268.0,10.0,268.0
Fort Valley 2,Peach,2670.0,43.0,173.0,36.0,1.0,253.0,253.0,9.5,253.0
Fort Valley 3,Peach,2720.0,127.0,542.0,333.0,0.0,1002.0,1002.0,36.8,1002.0
