Precinct,County,Registered Voters,"Charles E. """"Chuck"""" Martin (I) (Rep)_Election Day Votes","Charles E. """"Chuck"""" Martin (I) (Rep)_Advanced Voting Votes","Charles E. """"Chuck"""" Martin (I) (Rep)_Absentee by Mail Votes","Charles E. """"Chuck"""" Martin (I) (Rep)_Provisional Votes","Charles E. """"Chuck"""" Martin (I) (Rep)_Choice Total",Jason T. Hayes (Dem)_Election Day Votes,Jason T. Hayes (Dem)_Advanced Voting Votes,Jason T. Hayes (Dem)_Absentee by Mail Votes,Jason T. Hayes (Dem)_Provisional Votes,Jason T. Hayes (Dem)_Choice Total,Total,calc_participation
AP01A,Fulton,5236.0,191.0,1384.0,495.0,0.0,2070.0,100.0,1123.0,681.0,4.0,1908.0,3978.0,76.0
AP01B,Fulton,1281.0,53.0,265.0,103.0,5.0,426.0,40.0,265.0,138.0,5.0,448.0,874.0,68.2
AP01C,Fulton,2409.0,88.0,705.0,195.0,7.0,995.0,52.0,505.0,289.0,4.0,850.0,1845.0,76.6
AP01D,Fulton,1015.0,33.0,197.0,75.0,0.0,305.0,37.0,203.0,128.0,0.0,368.0,673.0,66.3
AP021,Fulton,3408.0,172.0,969.0,268.0,1.0,1410.0,97.0,717.0,295.0,3.0,1112.0,2522.0,74.0
AP022,Fulton,2507.0,89.0,521.0,210.0,0.0,820.0,87.0,472.0,341.0,0.0,900.0,1720.0,68.6
AP05,Fulton,4776.0,287.0,1290.0,514.0,2.0,2093.0,81.0,947.0,581.0,5.0,1614.0,3707.0,77.6
AP06,Fulton,1967.0,123.0,676.0,193.0,0.0,992.0,31.0,329.0,190.0,0.0,550.0,1542.0,78.4
AP07A,Fulton,3910.0,196.0,930.0,329.0,5.0,1460.0,102.0,751.0,447.0,3.0,1303.0,2763.0,70.7
AP09A,Fulton,4437.0,235.0,1046.0,414.0,4.0,1699.0,114.0,988.0,570.0,5.0,1677.0,3376.0,76.1
AP09B,Fulton,925.0,41.0,169.0,54.0,0.0,264.0,19.0,236.0,157.0,0.0,412.0,676.0,73.1
AP10,Fulton,992.0,48.0,351.0,101.0,19.0,519.0,23.0,157.0,91.0,13.0,284.0,803.0,80.9
AP12A,Fulton,746.0,30.0,130.0,38.0,2.0,200.0,37.0,164.0,77.0,10.0,288.0,488.0,65.4
AP12C,Fulton,2367.0,103.0,713.0,205.0,9.0,1030.0,56.0,431.0,191.0,7.0,685.0,1715.0,72.5
AP14,Fulton,3232.0,106.0,878.0,297.0,5.0,1286.0,63.0,708.0,455.0,3.0,1229.0,2515.0,77.8
JC04B,Fulton,334.0,8.0,53.0,27.0,0.0,88.0,6.0,88.0,38.0,0.0,132.0,220.0,65.9
JC15,Fulton,959.0,36.0,188.0,53.0,0.0,277.0,31.0,259.0,110.0,0.0,400.0,677.0,70.6
JC16,Fulton,2707.0,133.0,720.0,187.0,0.0,1040.0,61.0,604.0,340.0,1.0,1006.0,2046.0,75.6
