Precinct,County,Registered Voters,Tabatha Kirkland Wooten (I)_Election Day Votes,Tabatha Kirkland Wooten (I)_Advanced Voting Votes,Tabatha Kirkland Wooten (I)_Absentee by Mail Votes,Tabatha Kirkland Wooten (I)_Provisional Votes,Tabatha Kirkland Wooten (I)_Choice Total,Total,Robert Matthew (I)_Election Day Votes,Robert Matthew (I)_Advanced Voting Votes,Robert Matthew (I)_Absentee by Mail Votes,Robert Matthew (I)_Provisional Votes,Robert Matthew (I)_Choice Total,George M. Yearty (I)_Election Day Votes,George M. Yearty (I)_Advanced Voting Votes,George M. Yearty (I)_Absentee by Mail Votes,George M. Yearty (I)_Provisional Votes,George M. Yearty (I)_Choice Total,Garry R. Spieres (I)_Election Day Votes,Garry R. Spieres (I)_Advanced Voting Votes,Garry R. Spieres (I)_Absentee by Mail Votes,Garry R. Spieres (I)_Provisional Votes,Garry R. Spieres (I)_Choice Total,calc_participation,Ind_total,Ind_steal
Hazlehurst,Jeff Davis,1406.0,171.0,296.0,102.0,0.0,569.0,569.0,,,,,,,,,,,,,,,,40.5,,
Altamaha 1,Jeff Davis,703.0,89.0,319.0,45.0,0.0,453.0,453.0,,,,,,,,,,,,,,,,64.4,,
Altamaha 2,Jeff Davis,1249.0,308.0,448.0,78.0,0.0,834.0,834.0,,,,,,,,,,,,,,,,66.8,,
Blackburn 1,Jeff Davis,870.0,111.0,234.0,72.0,0.0,417.0,417.0,,,,,,,,,,,,,,,,47.9,,
Blackburn 2,Jeff Davis,722.0,163.0,242.0,56.0,0.0,461.0,461.0,,,,,,,,,,,,,,,,63.9,,
Whitehead 1,Jeff Davis,988.0,114.0,363.0,88.0,0.0,565.0,565.0,,,,,,,,,,,,,,,,57.2,,
Whitehead 2,Jeff Davis,642.0,180.0,196.0,43.0,0.0,419.0,419.0,,,,,,,,,,,,,,,,65.3,,
Ocmulgee 1,Jeff Davis,1399.0,193.0,539.0,112.0,0.0,844.0,844.0,,,,,,,,,,,,,,,,60.3,,
Ocmulgee 2,Jeff Davis,499.0,101.0,135.0,46.0,0.0,282.0,282.0,,,,,,,,,,,,,,,,56.5,,
1B,Appling,1309.0,,,,,,861.0,237.0,487.0,137.0,0.0,861.0,,,,,,,,,,,65.8,,
1C,Appling,848.0,,,,,,572.0,170.0,333.0,67.0,2.0,572.0,,,,,,,,,,,67.5,,
2,Appling,2251.0,,,,,,969.0,224.0,521.0,223.0,1.0,969.0,,,,,,,,,,,43.0,,
3A1,Appling,793.0,,,,,,539.0,214.0,273.0,52.0,0.0,539.0,,,,,,,,,,,68.0,,
3C,Appling,1566.0,,,,,,933.0,135.0,634.0,164.0,0.0,933.0,,,,,,,,,,,59.6,,
4B,Appling,866.0,,,,,,594.0,230.0,297.0,67.0,0.0,594.0,,,,,,,,,,,68.6,,
4D,Appling,1493.0,,,,,,1019.0,236.0,619.0,163.0,1.0,1019.0,,,,,,,,,,,68.3,,
5A,Appling,1147.0,,,,,,692.0,142.0,440.0,107.0,3.0,692.0,,,,,,,,,,,60.3,,
5B,Appling,1126.0,,,,,,712.0,195.0,401.0,113.0,3.0,712.0,,,,,,,,,,,63.2,,
Douglas,Bacon,6720.0,,,,,,3852.0,,,,,,451.0,2862.0,537.0,2.0,3852.0,,,,,,57.3,,
Helena,Telfair,969.0,,,,,,441.0,,,,,,,,,,,121.0,274.0,42.0,4.0,441.0,45.5,,
Jacksonville,Telfair,628.0,,,,,,311.0,,,,,,,,,,,151.0,110.0,50.0,0.0,311.0,49.5,,
Lumber-City,Telfair,963.0,,,,,,417.0,,,,,,,,,,,160.0,153.0,104.0,0.0,417.0,43.3,,
McRae,Telfair,2337.0,,,,,,1089.0,,,,,,,,,,,192.0,669.0,227.0,1.0,1089.0,46.6,,
Milan,Telfair,802.0,,,,,,452.0,,,,,,,,,,,195.0,200.0,57.0,0.0,452.0,56.4,,
Scotland,Telfair,333.0,,,,,,194.0,,,,,,,,,,,93.0,77.0,24.0,0.0,194.0,58.3,,
