Precinct,County,Registered Voters,Zan Fort_Election Day Votes,Zan Fort_Advanced Voting Votes,Zan Fort_Absentee by Mail Votes,Zan Fort_Provisional Votes,Zan Fort_Choice Total,Sonya Halpern_Election Day Votes,Sonya Halpern_Advanced Voting Votes,Sonya Halpern_Absentee by Mail Votes,Sonya Halpern_Provisional Votes,Sonya Halpern_Choice Total,Jo Anna Potts_Election Day Votes,Jo Anna Potts_Advanced Voting Votes,Jo Anna Potts_Absentee by Mail Votes,Jo Anna Potts_Provisional Votes,Jo Anna Potts_Choice Total,Linda Pritchett_Election Day Votes,Linda Pritchett_Advanced Voting Votes,Linda Pritchett_Absentee by Mail Votes,Linda Pritchett_Provisional Votes,Linda Pritchett_Choice Total,Total,calc_participation
02A,Fulton,4884.0,23.0,212.0,200.0,1.0,436.0,51.0,717.0,439.0,8.0,1215.0,29.0,247.0,99.0,2.0,377.0,40.0,350.0,160.0,2.0,552.0,2580.0,52.8
02A1,Fulton,733.0,4.0,34.0,6.0,0.0,44.0,13.0,114.0,27.0,1.0,155.0,2.0,39.0,3.0,0.0,44.0,2.0,56.0,6.0,0.0,64.0,307.0,41.9
02L1,Fulton,5546.0,33.0,264.0,281.0,3.0,581.0,63.0,825.0,565.0,1.0,1454.0,31.0,224.0,112.0,2.0,369.0,26.0,346.0,162.0,3.0,537.0,2941.0,53.0
02L1A,Fulton,1477.0,15.0,59.0,15.0,1.0,90.0,29.0,224.0,34.0,3.0,290.0,13.0,70.0,6.0,0.0,89.0,13.0,98.0,11.0,0.0,122.0,591.0,40.0
02L2,Fulton,2249.0,19.0,87.0,68.0,0.0,174.0,53.0,344.0,166.0,2.0,565.0,13.0,100.0,25.0,1.0,139.0,12.0,145.0,58.0,0.0,215.0,1093.0,48.6
02W,Fulton,978.0,6.0,50.0,27.0,0.0,83.0,17.0,177.0,61.0,0.0,255.0,5.0,35.0,7.0,0.0,47.0,5.0,70.0,15.0,0.0,90.0,475.0,48.6
03A,Fulton,2230.0,12.0,42.0,37.0,1.0,92.0,53.0,129.0,75.0,7.0,264.0,23.0,70.0,38.0,8.0,139.0,27.0,87.0,45.0,6.0,165.0,660.0,29.6
03D,Fulton,1235.0,8.0,27.0,16.0,3.0,54.0,19.0,73.0,36.0,8.0,136.0,19.0,35.0,18.0,1.0,73.0,12.0,45.0,25.0,2.0,84.0,347.0,28.1
03E,Fulton,2894.0,26.0,48.0,36.0,2.0,112.0,68.0,198.0,74.0,3.0,343.0,26.0,62.0,32.0,1.0,121.0,50.0,117.0,56.0,2.0,225.0,801.0,27.7
03F,Fulton,2328.0,10.0,88.0,78.0,0.0,176.0,39.0,342.0,151.0,1.0,533.0,20.0,113.0,44.0,0.0,177.0,27.0,143.0,45.0,0.0,215.0,1101.0,47.3
