Precinct,County,Registered Voters,Ed Harbison (I) (Dem)_Election Day Votes,Ed Harbison (I) (Dem)_Advanced Voting Votes,Ed Harbison (I) (Dem)_Absentee by Mail Votes,Ed Harbison (I) (Dem)_Provisional Votes,Ed Harbison (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
Ideal,Macon,1399.0,138.0,334.0,89.0,0.0,561.0,561.0,40.1,561.0
Oglethorpe,Macon,1294.0,103.0,406.0,104.0,0.0,613.0,613.0,47.4,613.0
Marshallville,Macon,1344.0,244.0,259.0,124.0,0.0,627.0,627.0,46.7,627.0
Montezuma #4,Macon,1597.0,144.0,451.0,209.0,0.0,804.0,804.0,50.3,804.0
Montezuma #5,Macon,1357.0,161.0,351.0,171.0,0.0,683.0,683.0,50.3,683.0
Wynnton/Britt,Muscogee,5289.0,401.0,1309.0,856.0,0.0,2566.0,2566.0,48.5,2566.0
Carver/Mack,Muscogee,4374.0,261.0,1140.0,849.0,0.0,2250.0,2250.0,51.4,2250.0
St John/Belvedere,Muscogee,5341.0,293.0,1720.0,1167.0,2.0,3182.0,3182.0,59.6,3182.0
Columbus Tech,Muscogee,4464.0,158.0,309.0,175.0,0.0,642.0,642.0,14.4,642.0
Cusseta Rd,Muscogee,6169.0,545.0,1221.0,865.0,3.0,2634.0,2634.0,42.7,2634.0
Our Lady of Lourdes,Muscogee,10204.0,702.0,1771.0,1387.0,5.0,3865.0,3865.0,37.9,3865.0
Mt Pilgrim,Muscogee,6022.0,452.0,1874.0,1181.0,1.0,3508.0,3508.0,58.3,3508.0
Faith Tabernacle,Muscogee,4461.0,371.0,1412.0,882.0,0.0,2665.0,2665.0,59.7,2665.0
Canaan,Muscogee,7078.0,474.0,1908.0,1188.0,0.0,3570.0,3570.0,50.4,3570.0
Holsey/Buena Vista,Muscogee,7613.0,491.0,2329.0,1341.0,0.0,4161.0,4161.0,54.7,4161.0
St Paul/Clubview,Muscogee,5677.0,324.0,1324.0,680.0,0.0,2328.0,2328.0,41.0,2328.0
First African,Muscogee,1955.0,129.0,335.0,281.0,4.0,749.0,749.0,38.3,749.0
Epworth UMC,Muscogee,4512.0,191.0,490.0,336.0,0.0,1017.0,1017.0,22.5,1017.0
Marianna Gallops,Muscogee,3095.0,239.0,571.0,368.0,5.0,1183.0,1183.0,38.2,1183.0
Edgewood Baptist,Muscogee,3235.0,252.0,910.0,504.0,3.0,1669.0,1669.0,51.6,1669.0
ONeal,Talbot,555.0,87.0,141.0,108.0,0.0,336.0,336.0,60.5,336.0
Valley,Talbot,688.0,121.0,144.0,140.0,0.0,405.0,405.0,58.9,405.0
Junction City,Talbot,437.0,68.0,56.0,104.0,0.0,228.0,228.0,52.2,228.0
Geneva,Talbot,482.0,69.0,83.0,125.0,1.0,278.0,278.0,57.7,278.0
Talbotton,Talbot,884.0,124.0,170.0,218.0,0.0,512.0,512.0,57.9,512.0
Box Springs,Talbot,469.0,94.0,56.0,71.0,0.0,221.0,221.0,47.1,221.0
Flint Hill,Talbot,1048.0,198.0,241.0,202.0,0.0,641.0,641.0,61.2,641.0
Pineknot,Marion,971.0,154.0,158.0,55.0,0.0,367.0,367.0,37.8,367.0
Buena Vista,Marion,2343.0,212.0,753.0,403.0,0.0,1368.0,1368.0,58.4,1368.0
Tazewell,Marion,320.0,62.0,64.0,23.0,0.0,149.0,149.0,46.6,149.0
Brantley,Marion,396.0,44.0,78.0,43.0,0.0,165.0,165.0,41.7,165.0
Fort Perry,Marion,883.0,122.0,159.0,75.0,0.0,356.0,356.0,40.3,356.0
Precinct One,Schley,2882.0,217.0,765.0,204.0,1.0,1187.0,1187.0,41.2,1187.0
Activity Center,Chattahoochee,0.0,279.0,528.0,217.0,0.0,1024.0,1024.0,,1024.0
Precinct 1,Taylor,1108.0,130.0,314.0,130.0,2.0,576.0,576.0,52.0,576.0
Precinct 5,Taylor,2219.0,123.0,628.0,141.0,3.0,895.0,895.0,40.3,895.0
Precinct 6,Taylor,2073.0,177.0,530.0,304.0,2.0,1013.0,1013.0,48.9,1013.0
