Precinct,County,Registered Voters,Chip McEver (I)_Election Day Votes,Chip McEver (I)_Advanced Voting Votes,Chip McEver (I)_Absentee by Mail Votes,Chip McEver (I)_Provisional Votes,Chip McEver (I)_Choice Total,Total,calc_participation
Central Jackson,Jackson,16263.0,371.0,1238.0,330.0,0.0,1939.0,1939.0,11.9
West Jackson,Jackson,14977.0,182.0,859.0,229.0,0.0,1270.0,1270.0,8.5
