Precinct,County,Registered Voters,Randy McGinley (Rep)_Election Day Votes,Randy McGinley (Rep)_Advanced Voting Votes,Randy McGinley (Rep)_Absentee by Mail Votes,Randy McGinley (Rep)_Provisional Votes,Randy McGinley (Rep)_Choice Total,Destiny Bryant (Dem)_Election Day Votes,Destiny Bryant (Dem)_Advanced Voting Votes,Destiny Bryant (Dem)_Absentee by Mail Votes,Destiny Bryant (Dem)_Provisional Votes,Destiny Bryant (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
City Pond,Newton,1833.0,169.0,143.0,87.0,0.0,399.0,193.0,184.0,260.0,0.0,637.0,1036.0,56.5,399.0,637.0
Town,Newton,4378.0,195.0,226.0,174.0,0.0,595.0,523.0,618.0,770.0,1.0,1912.0,2507.0,57.3,595.0,1912.0
Almon,Newton,5009.0,256.0,274.0,191.0,0.0,721.0,538.0,1245.0,925.0,4.0,2712.0,3433.0,68.5,721.0,2712.0
Alcovy,Newton,4620.0,584.0,699.0,435.0,1.0,1719.0,306.0,753.0,552.0,2.0,1613.0,3332.0,72.1,1719.0,1613.0
Covington Mills,Newton,3111.0,344.0,342.0,252.0,0.0,938.0,293.0,426.0,353.0,0.0,1072.0,2010.0,64.6,938.0,1072.0
Brewers,Newton,3538.0,1076.0,469.0,282.0,2.0,1829.0,213.0,216.0,228.0,2.0,659.0,2488.0,70.3,1829.0,659.0
Brick Store,Newton,2623.0,747.0,429.0,281.0,0.0,1457.0,151.0,187.0,194.0,0.0,532.0,1989.0,75.8,1457.0,532.0
Cedar Shoals,Newton,2838.0,354.0,229.0,153.0,0.0,736.0,285.0,359.0,338.0,1.0,983.0,1719.0,60.6,736.0,983.0
Livingston,Newton,4593.0,320.0,313.0,169.0,3.0,805.0,443.0,925.0,725.0,3.0,2096.0,2901.0,63.2,805.0,2096.0
Downs,Newton,6215.0,752.0,854.0,320.0,1.0,1927.0,506.0,1055.0,833.0,0.0,2394.0,4321.0,69.5,1927.0,2394.0
Gum Creek,Newton,4135.0,931.0,792.0,540.0,1.0,2264.0,154.0,402.0,345.0,0.0,901.0,3165.0,76.5,2264.0,901.0
Beaverdam,Newton,5428.0,213.0,297.0,175.0,1.0,686.0,603.0,1368.0,903.0,1.0,2875.0,3561.0,65.6,686.0,2875.0
Leguinn,Newton,2177.0,709.0,295.0,213.0,3.0,1220.0,130.0,112.0,155.0,0.0,397.0,1617.0,74.3,1220.0,397.0
Mansfield,Newton,1524.0,767.0,166.0,133.0,0.0,1066.0,56.0,22.0,59.0,0.0,137.0,1203.0,78.9,1066.0,137.0
Newborn,Newton,784.0,388.0,59.0,53.0,0.0,500.0,50.0,12.0,36.0,0.0,98.0,598.0,76.3,500.0,98.0
Oxford,Newton,2418.0,545.0,378.0,289.0,0.0,1212.0,150.0,161.0,245.0,1.0,557.0,1769.0,73.2,1212.0,557.0
Rocky Plains,Newton,3658.0,567.0,499.0,216.0,1.0,1283.0,296.0,446.0,359.0,1.0,1102.0,2385.0,65.2,1283.0,1102.0
Buck Creek,Newton,4839.0,512.0,563.0,287.0,1.0,1363.0,431.0,699.0,700.0,1.0,1831.0,3194.0,66.0,1363.0,1831.0
Stansells,Newton,4969.0,226.0,293.0,219.0,0.0,738.0,513.0,1138.0,782.0,0.0,2433.0,3171.0,63.8,738.0,2433.0
Fairview,Newton,2953.0,69.0,93.0,61.0,2.0,225.0,396.0,661.0,503.0,1.0,1561.0,1786.0,60.5,225.0,1561.0
Crowell,Newton,4977.0,112.0,164.0,97.0,0.0,373.0,561.0,1299.0,868.0,2.0,2730.0,3103.0,62.3,373.0,2730.0
Hub,Newton,2374.0,863.0,425.0,304.0,0.0,1592.0,85.0,115.0,107.0,1.0,308.0,1900.0,80.0,1592.0,308.0
Bold Springs,Walton,4653.0,684.0,1783.0,545.0,2.0,3014.0,115.0,293.0,258.0,0.0,666.0,3680.0,79.1,3014.0,666.0
Whatley,Walton,1254.0,245.0,501.0,138.0,0.0,884.0,24.0,48.0,41.0,0.0,113.0,997.0,79.5,884.0,113.0
Walker Park,Walton,3858.0,517.0,1421.0,399.0,0.0,2337.0,97.0,210.0,171.0,0.0,478.0,2815.0,73.0,2337.0,478.0
Gratis,Walton,1243.0,329.0,447.0,137.0,0.0,913.0,19.0,33.0,54.0,0.0,106.0,1019.0,82.0,913.0,106.0
Between,Walton,4925.0,548.0,2103.0,497.0,1.0,3149.0,105.0,367.0,245.0,0.0,717.0,3866.0,78.5,3149.0,717.0
Walnut Grove,Walton,2661.0,500.0,916.0,208.0,0.0,1624.0,37.0,146.0,98.0,0.0,281.0,1905.0,71.6,1624.0,281.0
Loganville North,Walton,5225.0,502.0,1554.0,475.0,4.0,2535.0,144.0,521.0,309.0,0.0,974.0,3509.0,67.2,2535.0,974.0
Social Circle,Walton,4604.0,711.0,1293.0,333.0,3.0,2340.0,228.0,375.0,306.0,1.0,910.0,3250.0,70.6,2340.0,910.0
South Monroe,Walton,3910.0,267.0,1204.0,331.0,0.0,1802.0,102.0,401.0,204.0,0.0,707.0,2509.0,64.2,1802.0,707.0
North Monroe,Walton,4818.0,289.0,773.0,241.0,1.0,1304.0,300.0,685.0,491.0,3.0,1479.0,2783.0,57.8,1304.0,1479.0
Loganville South,Walton,3768.0,329.0,1094.0,388.0,0.0,1811.0,164.0,385.0,246.0,0.0,795.0,2606.0,69.2,1811.0,795.0
West Walton,Walton,4219.0,553.0,1582.0,441.0,0.0,2576.0,101.0,355.0,203.0,0.0,659.0,3235.0,76.7,2576.0,659.0
Broken Arrow,Walton,4380.0,567.0,1652.0,398.0,0.0,2617.0,74.0,286.0,211.0,0.0,571.0,3188.0,72.8,2617.0,571.0
Bay Creek,Walton,3401.0,346.0,1383.0,349.0,1.0,2079.0,59.0,248.0,162.0,0.0,469.0,2548.0,74.9,2079.0,469.0
E Monroe,Walton,4119.0,332.0,814.0,218.0,1.0,1365.0,220.0,447.0,241.0,4.0,912.0,2277.0,55.3,1365.0,912.0
W Monroe,Walton,2027.0,241.0,848.0,212.0,0.0,1301.0,44.0,151.0,90.0,0.0,285.0,1586.0,78.2,1301.0,285.0
Tara,Walton,4050.0,271.0,1056.0,287.0,1.0,1615.0,164.0,815.0,364.0,2.0,1345.0,2960.0,73.1,1615.0,1345.0
Mountain,Walton,1657.0,276.0,585.0,163.0,0.0,1024.0,43.0,83.0,50.0,0.0,176.0,1200.0,72.4,1024.0,176.0
Jersey,Walton,1970.0,652.0,584.0,172.0,1.0,1409.0,40.0,68.0,48.0,0.0,156.0,1565.0,79.4,1409.0,156.0
Blasingame,Walton,1115.0,396.0,316.0,98.0,0.0,810.0,31.0,35.0,34.0,1.0,101.0,911.0,81.7,810.0,101.0
Good Hope,Walton,2149.0,631.0,635.0,159.0,0.0,1425.0,48.0,102.0,73.0,0.0,223.0,1648.0,76.7,1425.0,223.0
