Precinct,County,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Ailey,Montgomery,431.0,66.0,155.0,22.0,0.0,243.0,22.0,35.0,31.0,0.0,88.0,331.0,76.8,243.0,88.0
Alston,Montgomery,472.0,137.0,148.0,33.0,0.0,318.0,9.0,25.0,9.0,0.0,43.0,361.0,76.5,318.0,43.0
Higgston,Montgomery,1340.0,268.0,421.0,81.0,0.0,770.0,42.0,92.0,65.0,0.0,199.0,969.0,72.3,770.0,199.0
Kibbee,Montgomery,532.0,166.0,150.0,59.0,0.0,375.0,3.0,8.0,15.0,0.0,26.0,401.0,75.4,375.0,26.0
Mount Vernon,Montgomery,1444.0,147.0,332.0,73.0,0.0,552.0,110.0,158.0,107.0,0.0,375.0,927.0,64.2,552.0,375.0
Tarrytown,Montgomery,333.0,113.0,95.0,33.0,0.0,241.0,10.0,3.0,2.0,0.0,15.0,256.0,76.9,241.0,15.0
Uvalda,Montgomery,911.0,199.0,190.0,54.0,0.0,443.0,47.0,54.0,52.0,0.0,153.0,596.0,65.4,443.0,153.0
Hazlehurst,Jeff Davis,1406.0,107.0,223.0,58.0,0.0,388.0,102.0,190.0,94.0,0.0,386.0,774.0,55.0,388.0,386.0
Altamaha 1,Jeff Davis,703.0,87.0,300.0,48.0,0.0,435.0,12.0,44.0,10.0,0.0,66.0,501.0,71.3,435.0,66.0
Altamaha 2,Jeff Davis,1249.0,322.0,479.0,81.0,0.0,882.0,16.0,20.0,7.0,0.0,43.0,925.0,74.1,882.0,43.0
Blackburn 1,Jeff Davis,870.0,99.0,219.0,41.0,0.0,359.0,25.0,52.0,35.0,0.0,112.0,471.0,54.1,359.0,112.0
Blackburn 2,Jeff Davis,722.0,173.0,250.0,57.0,0.0,480.0,5.0,13.0,7.0,0.0,25.0,505.0,69.9,480.0,25.0
Whitehead 1,Jeff Davis,988.0,99.0,323.0,66.0,0.0,488.0,30.0,71.0,38.0,0.0,139.0,627.0,63.5,488.0,139.0
Whitehead 2,Jeff Davis,642.0,184.0,202.0,45.0,0.0,431.0,13.0,10.0,9.0,0.0,32.0,463.0,72.1,431.0,32.0
Ocmulgee 1,Jeff Davis,1399.0,176.0,523.0,100.0,0.0,799.0,42.0,62.0,28.0,0.0,132.0,931.0,66.5,799.0,132.0
Ocmulgee 2,Jeff Davis,499.0,106.0,127.0,34.0,0.0,267.0,8.0,26.0,26.0,0.0,60.0,327.0,65.5,267.0,60.0
101,Richmond,896.0,124.0,130.0,74.0,1.0,329.0,63.0,139.0,117.0,2.0,321.0,650.0,72.5,329.0,321.0
102,Richmond,1278.0,58.0,72.0,41.0,0.0,171.0,124.0,157.0,181.0,3.0,465.0,636.0,49.8,171.0,465.0
103,Richmond,1428.0,7.0,17.0,16.0,0.0,40.0,157.0,285.0,272.0,2.0,716.0,756.0,52.9,40.0,716.0
104,Richmond,2976.0,34.0,55.0,43.0,0.0,132.0,413.0,507.0,565.0,6.0,1491.0,1623.0,54.5,132.0,1491.0
105,Richmond,832.0,13.0,16.0,15.0,0.0,44.0,104.0,213.0,162.0,1.0,480.0,524.0,63.0,44.0,480.0
106,Richmond,1182.0,46.0,56.0,32.0,0.0,134.0,134.0,102.0,123.0,2.0,361.0,495.0,41.9,134.0,361.0
107,Richmond,1800.0,193.0,289.0,162.0,0.0,644.0,115.0,232.0,275.0,1.0,623.0,1267.0,70.4,644.0,623.0
108,Richmond,517.0,17.0,12.0,20.0,0.0,49.0,58.0,106.0,107.0,0.0,271.0,320.0,61.9,49.0,271.0
109,Richmond,1052.0,32.0,59.0,40.0,0.0,131.0,97.0,228.0,160.0,1.0,486.0,617.0,58.7,131.0,486.0
111,Richmond,1578.0,63.0,90.0,56.0,0.0,209.0,160.0,242.0,259.0,1.0,662.0,871.0,55.2,209.0,662.0
112,Richmond,882.0,23.0,91.0,99.0,0.0,213.0,41.0,114.0,154.0,2.0,311.0,524.0,59.4,213.0,311.0
114,Richmond,856.0,24.0,17.0,22.0,0.0,63.0,101.0,132.0,131.0,1.0,365.0,428.0,50.0,63.0,365.0
201,Richmond,581.0,23.0,10.0,14.0,1.0,48.0,229.0,266.0,218.0,4.0,717.0,765.0,131.7,48.0,717.0
115,Richmond,1332.0,45.0,43.0,29.0,0.0,117.0,46.0,42.0,51.0,0.0,139.0,256.0,19.2,117.0,139.0
202,Richmond,4492.0,228.0,297.0,231.0,0.0,756.0,475.0,709.0,520.0,8.0,1712.0,2468.0,54.9,756.0,1712.0
203,Richmond,991.0,11.0,9.0,10.0,1.0,31.0,127.0,161.0,189.0,2.0,479.0,510.0,51.5,31.0,479.0
204,Richmond,1578.0,187.0,223.0,134.0,1.0,545.0,114.0,233.0,184.0,2.0,533.0,1078.0,68.3,545.0,533.0
207,Richmond,2705.0,58.0,63.0,47.0,1.0,169.0,326.0,409.0,400.0,7.0,1142.0,1311.0,48.5,169.0,1142.0
208,Richmond,2651.0,82.0,104.0,72.0,2.0,260.0,298.0,460.0,374.0,2.0,1134.0,1394.0,52.6,260.0,1134.0
210,Richmond,1507.0,42.0,66.0,44.0,1.0,153.0,150.0,305.0,343.0,3.0,801.0,954.0,63.3,153.0,801.0
301,Richmond,2409.0,343.0,597.0,310.0,1.0,1251.0,116.0,281.0,269.0,0.0,666.0,1917.0,79.6,1251.0,666.0
302,Richmond,1032.0,29.0,72.0,52.0,0.0,153.0,135.0,200.0,113.0,0.0,448.0,601.0,58.2,153.0,448.0
303,Richmond,1417.0,176.0,477.0,210.0,1.0,864.0,26.0,128.0,126.0,0.0,280.0,1144.0,80.7,864.0,280.0
304,Richmond,365.0,61.0,70.0,49.0,0.0,180.0,9.0,42.0,41.0,0.0,92.0,272.0,74.5,180.0,92.0
305,Richmond,428.0,51.0,166.0,93.0,1.0,311.0,5.0,34.0,33.0,0.0,72.0,383.0,89.5,311.0,72.0
306,Richmond,3934.0,227.0,398.0,297.0,0.0,922.0,269.0,805.0,545.0,3.0,1622.0,2544.0,64.7,922.0,1622.0
