Precinct,County,Registered Voters,Robert Francis Gore_Election Day Votes,Robert Francis Gore_Advanced Voting Votes,Robert Francis Gore_Absentee by Mail Votes,Robert Francis Gore_Provisional Votes,Robert Francis Gore_Choice Total,Total,Jerry Holcomb (I)_Election Day Votes,Jerry Holcomb (I)_Advanced Voting Votes,Jerry Holcomb (I)_Absentee by Mail Votes,Jerry Holcomb (I)_Provisional Votes,Jerry Holcomb (I)_Choice Total,"H. Cecil Stafford, Jr. (I)_Election Day Votes","H. Cecil Stafford, Jr. (I)_Advanced Voting Votes","H. Cecil Stafford, Jr. (I)_Absentee by Mail Votes","H. Cecil Stafford, Jr. (I)_Provisional Votes","H. Cecil Stafford, Jr. (I)_Choice Total","Horace B. Waller, Jr. (I)_Election Day Votes","Horace B. Waller, Jr. (I)_Advanced Voting Votes","Horace B. Waller, Jr. (I)_Absentee by Mail Votes","Horace B. Waller, Jr. (I)_Provisional Votes","Horace B. Waller, Jr. (I)_Choice Total",calc_participation
2-09C Salvation Army,Chatham,3342.0,,,,,,1449.0,,,,,,,,,,,361.0,600.0,487.0,1.0,1449.0,43.4
2-11C Stillwell Towers,Chatham,1900.0,,,,,,690.0,,,,,,,,,,,265.0,218.0,206.0,1.0,690.0,36.3
2-12C Williams Court Apts,Chatham,1683.0,,,,,,688.0,,,,,,,,,,,175.0,289.0,221.0,3.0,688.0,40.9
3-01C Old Courthouse,Chatham,458.0,,,,,,205.0,,,,,,,,,,,58.0,80.0,66.0,1.0,205.0,44.8
3-02C Temple Mickve Israel,Chatham,1598.0,,,,,,790.0,,,,,,,,,,,155.0,353.0,281.0,1.0,790.0,49.4
3-03C Savannah High School,Chatham,1185.0,,,,,,436.0,,,,,,,,,,,158.0,169.0,106.0,3.0,436.0,36.8
3-04C First African Baptist Church,Chatham,1558.0,246.0,,,,,,,,,,,,,,,,,191.0,186.0,0.0,623.0,
3-05C Aldersgate Youth Center,Chatham,2107.0,269.0,,,,,,,,,,,,,,,,,308.0,264.0,1.0,842.0,
3-08C Jenkins High School,Chatham,1210.0,,,,,,531.0,,,,,,,,,,,150.0,217.0,164.0,0.0,531.0,43.9
3-09C Cokesbury Methodist,Chatham,664.0,,,,,,348.0,,,,,,,,,,,159.0,96.0,93.0,0.0,348.0,52.4
3-10C Bible Baptist Church,Chatham,2640.0,,,,,,1136.0,,,,,,,,,,,354.0,404.0,376.0,2.0,1136.0,43.0
3-11C Southside Baptist Church,Chatham,1481.0,217.0,,,,,,,,,,,,,,,,,226.0,197.0,3.0,643.0,
3-12C Thunderbolt Muni Complex,Chatham,1678.0,308.0,,,,,,,,,,,,,,,,,268.0,234.0,0.0,810.0,
3-13C New Cov 7 Day Adv Ch,Chatham,2303.0,,,,,,991.0,,,,,,,,,,,272.0,440.0,279.0,0.0,991.0,43.0
3-14C Oglethorpe Charter Academy,Chatham,2381.0,249.0,,,,,,,,,,,,,,,,,475.0,418.0,1.0,1143.0,
3-15C Eli Whitney Complex,Chatham,816.0,,,,,,468.0,,,,,,,,,,,97.0,187.0,184.0,0.0,468.0,57.4
4-02C Frank Murray Comm Center,Chatham,2472.0,323.0,,,,,,,,,,,,,,,,,556.0,346.0,0.0,1225.0,
4-04C Lighthouse Baptist Church,Chatham,2470.0,429.0,,,,,,,,,,,,,,,,,544.0,369.0,4.0,1346.0,
4-05C St Francis Episcopal Church,Chatham,2244.0,467.0,,,,,,,,,,,,,,,,,510.0,319.0,1.0,1297.0,
4-06C First Baptist of the Island,Chatham,2252.0,454.0,,,,,,,,,,,,,,,,,543.0,346.0,3.0,1346.0,
4-07C Wilmington Island UMC,Chatham,3370.0,,,,,,1841.0,,,,,,,,,,,527.0,783.0,528.0,3.0,1841.0,54.6
4-08C Wilmington Island Pres Church,Chatham,2678.0,502.0,,,,,,,,,,,,,,,,,676.0,479.0,0.0,1657.0,
4-10C Guard House Comm Ctr,Chatham,1469.0,,,,,,819.0,,,,,,,,,,,372.0,257.0,190.0,0.0,819.0,55.8
4-11C Tybee Island School Cafe,Chatham,1640.0,471.0,,,,,,,,,,,,,,,,,197.0,197.0,1.0,866.0,
4-12C St Peters Episcopal,Chatham,2294.0,,,,,,1455.0,,,,,,,,,,,505.0,459.0,489.0,2.0,1455.0,63.4
4-13C Skidaway Island Pres Church,Chatham,2469.0,426.0,,,,,,,,,,,,,,,,,513.0,620.0,2.0,1561.0,
4-14C Skidaway Island Baptist,Chatham,1744.0,319.0,,,,,,,,,,,,,,,,,338.0,429.0,1.0,1087.0,
4-15C Skidaway Island State Park,Chatham,0.0,261.0,,,,,,,,,,,,,,,,,331.0,532.0,1.0,1125.0,
5-01C Bartlett Middle School,Chatham,1063.0,,,,,,445.0,,,,,,,,,,,160.0,156.0,129.0,0.0,445.0,41.9
5-02C Senior Citizens Center,Chatham,783.0,,,,,,296.0,,,,,,,,,,,98.0,96.0,101.0,1.0,296.0,37.8
5-03C Butler Presbyterian Church,Chatham,1078.0,150.0,,,,,,,,,,,,,,,,,112.0,143.0,6.0,411.0,
5-05C Liberty City Comm Ctr,Chatham,2574.0,,,,,,1191.0,,,,,,,,,,,315.0,423.0,451.0,2.0,1191.0,46.3
5-06C Seed Church,Chatham,2598.0,,,,,,912.0,,,,,,,,,,,258.0,375.0,273.0,6.0,912.0,35.1
5-07C Station 1,Chatham,1856.0,,,,,,811.0,,,,,,,,,,,259.0,312.0,234.0,6.0,811.0,43.7
5-08C Savannah Primitive BC,Chatham,1848.0,,,,,,839.0,,,,,,,,,,,218.0,340.0,279.0,2.0,839.0,45.4
5-10C Tatumville Community Center,Chatham,3507.0,395.0,,,,,,,,,,,,,,,,,517.0,541.0,1.0,1454.0,
5-11C Largo-Tibet Elementary,Chatham,3019.0,,,,,,1270.0,,,,,,,,,,,293.0,561.0,412.0,4.0,1270.0,42.1
6-01C White Bluff Presbyterian,Chatham,1919.0,253.0,,,,,,,,,,,,,,,,,372.0,245.0,4.0,874.0,
6-02C Windsor Forest Baptist,Chatham,2290.0,,,,,,1289.0,,,,,,,,,,,429.0,501.0,359.0,0.0,1289.0,56.3
6-03C Crusader Comm Center,Chatham,2736.0,,,,,,1412.0,,,,,,,,,,,382.0,598.0,431.0,1.0,1412.0,51.6
6-05C Windsor Hall,Chatham,1993.0,,,,,,952.0,,,,,,,,,,,276.0,388.0,288.0,0.0,952.0,47.8
