Precinct,County,Registered Voters,Kasey Carpenter (I) (Rep)_Election Day Votes,Kasey Carpenter (I) (Rep)_Advanced Voting Votes,Kasey Carpenter (I) (Rep)_Absentee by Mail Votes,Kasey Carpenter (I) (Rep)_Provisional Votes,Kasey Carpenter (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
1A,Whitfield,2533.0,273.0,475.0,241.0,1.0,990.0,990.0,39.1,990.0
2A,Whitfield,3090.0,369.0,891.0,280.0,0.0,1540.0,1540.0,49.8,1540.0
3A,Whitfield,2221.0,299.0,714.0,289.0,0.0,1302.0,1302.0,58.6,1302.0
4A,Whitfield,2586.0,351.0,906.0,310.0,0.0,1567.0,1567.0,60.6,1567.0
5A,Whitfield,2238.0,260.0,327.0,126.0,3.0,716.0,716.0,32.0,716.0
6A,Whitfield,1690.0,213.0,250.0,80.0,0.0,543.0,543.0,32.1,543.0
AN,Whitfield,2474.0,330.0,506.0,165.0,3.0,1004.0,1004.0,40.6,1004.0
CA,Whitfield,1953.0,517.0,442.0,128.0,2.0,1089.0,1089.0,55.8,1089.0
DG,Whitfield,3295.0,625.0,937.0,346.0,2.0,1910.0,1910.0,58.0,1910.0
FI,Whitfield,2146.0,453.0,559.0,140.0,1.0,1153.0,1153.0,53.7,1153.0
MC,Whitfield,1659.0,496.0,500.0,113.0,0.0,1109.0,1109.0,66.8,1109.0
TI,Whitfield,775.0,270.0,140.0,43.0,1.0,454.0,454.0,58.6,454.0
