Precinct,County,Registered Voters,Chris Gaines (I) (Rep)_Election Day Votes,Chris Gaines (I) (Rep)_Advanced Voting Votes,Chris Gaines (I) (Rep)_Absentee by Mail Votes,Chris Gaines (I) (Rep)_Provisional Votes,Chris Gaines (I) (Rep)_Choice Total,Total,calc_participation
West,Dawson,2723.0,408.0,998.0,405.0,0.0,1811.0,1811.0,66.5
Central,Dawson,9891.0,967.0,4494.0,866.0,2.0,6329.0,6329.0,64.0
East,Dawson,8915.0,1080.0,3886.0,1033.0,1.0,6000.0,6000.0,67.3
