Precinct,County,Registered Voters,Steven Sainz (I) (Rep)_Election Day Votes,Steven Sainz (I) (Rep)_Advanced Voting Votes,Steven Sainz (I) (Rep)_Absentee by Mail Votes,Steven Sainz (I) (Rep)_Provisional Votes,Steven Sainz (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Tarboro,Camden,979.0,231.0,232.0,84.0,0.0,547.0,547.0,55.9,547.0
Waverly,Camden,1530.0,296.0,495.0,188.0,0.0,979.0,979.0,64.0,979.0
Woodbine,Camden,1973.0,290.0,561.0,164.0,1.0,1016.0,1016.0,51.5,1016.0
Harrietts Bluff,Camden,1834.0,385.0,649.0,167.0,0.0,1201.0,1201.0,65.5,1201.0
North Kingsland,Camden,2599.0,252.0,650.0,185.0,0.0,1087.0,1087.0,41.8,1087.0
East Kingsland,Camden,6866.0,620.0,2389.0,630.0,0.0,3639.0,3639.0,53.0,3639.0
North St Marys,Camden,2095.0,216.0,414.0,128.0,0.0,758.0,758.0,36.2,758.0
St Marys,Camden,3218.0,431.0,949.0,296.0,0.0,1676.0,1676.0,52.1,1676.0
South St Marys,Camden,2139.0,236.0,763.0,255.0,2.0,1256.0,1256.0,58.7,1256.0
Mush Bluff,Camden,2816.0,361.0,1001.0,292.0,1.0,1655.0,1655.0,58.8,1655.0
West St Marys,Camden,3147.0,256.0,1361.0,508.0,0.0,2125.0,2125.0,67.5,2125.0
American Legion,Charlton,748.0,6.0,16.0,1.0,0.0,23.0,23.0,3.1,23.0
Racepond,Charlton,266.0,66.0,108.0,19.0,1.0,194.0,194.0,72.9,194.0
Winokur,Charlton,317.0,93.0,91.0,23.0,0.0,207.0,207.0,65.3,207.0
100,Ware,4740.0,3.0,1.0,2.0,0.0,6.0,6.0,0.1,6.0
200A,Ware,2730.0,242.0,867.0,203.0,5.0,1317.0,1317.0,48.2,1317.0
200B,Ware,976.0,60.0,156.0,78.0,3.0,297.0,297.0,30.4,297.0
400,Ware,3538.0,414.0,1519.0,364.0,6.0,2303.0,2303.0,65.1,2303.0
