Precinct,County,Registered Voters,Mark Newton (I) (Rep)_Election Day Votes,Mark Newton (I) (Rep)_Advanced Voting Votes,Mark Newton (I) (Rep)_Absentee by Mail Votes,Mark Newton (I) (Rep)_Provisional Votes,Mark Newton (I) (Rep)_Choice Total,Total,calc_participation
107,Richmond,1800.0,242.0,392.0,255.0,0.0,889.0,889.0,49.4
108,Richmond,517.0,56.0,59.0,58.0,0.0,173.0,173.0,33.5
301,Richmond,2409.0,406.0,717.0,408.0,1.0,1532.0,1532.0,63.6
303,Richmond,1417.0,176.0,525.0,246.0,1.0,948.0,948.0,66.9
305,Richmond,428.0,51.0,180.0,102.0,1.0,334.0,334.0,78.0
307,Richmond,1642.0,218.0,467.0,271.0,0.0,956.0,956.0,58.2
308,Richmond,622.0,78.0,129.0,74.0,0.0,281.0,281.0,45.2
701,Richmond,2403.0,360.0,694.0,385.0,1.0,1440.0,1440.0,59.9
705,Richmond,2276.0,290.0,601.0,397.0,2.0,1290.0,1290.0,56.7
706,Richmond,3315.0,332.0,1081.0,517.0,0.0,1930.0,1930.0,58.2
Blanchard Park,Columbia,2026.0,304.0,581.0,207.0,2.0,1094.0,1094.0,54.0
Marvin Methodist,Columbia,1937.0,411.0,487.0,213.0,0.0,1111.0,1111.0,57.4
Westside Baptist Church,Columbia,1516.0,335.0,472.0,235.0,0.0,1042.0,1042.0,68.7
Trinity Baptist Church,Columbia,2836.0,518.0,914.0,333.0,3.0,1768.0,1768.0,62.3
Abilene Baptist,Columbia,2046.0,374.0,607.0,236.0,0.0,1217.0,1217.0,59.5
Augusta Christian,Columbia,2179.0,396.0,652.0,264.0,1.0,1313.0,1313.0,60.3
Genesis Church,Columbia,1830.0,286.0,649.0,254.0,0.0,1189.0,1189.0,65.0
Stevens Creek Church,Columbia,2760.0,436.0,1101.0,395.0,1.0,1933.0,1933.0,70.0
Mtz Col Fire Hdqtr,Columbia,1291.0,264.0,297.0,110.0,1.0,672.0,672.0,52.1
Martinez Baptist,Columbia,1962.0,418.0,452.0,175.0,0.0,1045.0,1045.0,53.3
Church of Our Savior,Columbia,2310.0,405.0,618.0,269.0,3.0,1295.0,1295.0,56.1
