Precinct,County,Registered Voters,Jeffery Chalker (I) (Rep)_Election Day Votes,Jeffery Chalker (I) (Rep)_Advanced Voting Votes,Jeffery Chalker (I) (Rep)_Absentee by Mail Votes,Jeffery Chalker (I) (Rep)_Provisional Votes,Jeffery Chalker (I) (Rep)_Choice Total,Total,calc_participation
Edgehill,Glascock,136.0,44.0,45.0,6.0,0.0,95.0,95.0,69.9
Gibson,Glascock,677.0,100.0,220.0,61.0,0.0,381.0,381.0,56.3
Mill,Glascock,778.0,134.0,291.0,55.0,0.0,480.0,480.0,61.7
Mitchell,Glascock,448.0,99.0,127.0,51.0,0.0,277.0,277.0,61.8
