Precinct,County,Registered Voters,William Park Freeman (Rep)_Election Day Votes,William Park Freeman (Rep)_Advanced Voting Votes,William Park Freeman (Rep)_Absentee by Mail Votes,William Park Freeman (Rep)_Provisional Votes,William Park Freeman (Rep)_Choice Total,Kim Jackson (Dem)_Election Day Votes,Kim Jackson (Dem)_Advanced Voting Votes,Kim Jackson (Dem)_Absentee by Mail Votes,Kim Jackson (Dem)_Provisional Votes,Kim Jackson (Dem)_Choice Total,Total,calc_participation
BERKSHIRE A,Gwinnett,2555.0,172.0,224.0,117.0,0.0,513.0,257.0,429.0,324.0,1.0,1011.0,1524.0,59.6
BERKSHIRE B,Gwinnett,5338.0,122.0,519.0,319.0,1.0,961.0,287.0,1369.0,851.0,3.0,2510.0,3471.0,65.0
MARTINS C,Gwinnett,2549.0,168.0,311.0,191.0,0.0,670.0,227.0,507.0,345.0,3.0,1082.0,1752.0,68.7
BERKSHIRE F,Gwinnett,2254.0,170.0,212.0,156.0,1.0,539.0,185.0,372.0,305.0,0.0,862.0,1401.0,62.2
PINCKNEYVILLE K,Gwinnett,3754.0,71.0,124.0,80.0,0.0,275.0,159.0,367.0,227.0,1.0,754.0,1029.0,27.4
BERKSHIRE H,Gwinnett,1987.0,100.0,171.0,143.0,1.0,415.0,152.0,346.0,247.0,0.0,745.0,1160.0,58.4
BERKSHIRE L,Gwinnett,3265.0,164.0,241.0,147.0,0.0,552.0,335.0,702.0,446.0,0.0,1483.0,2035.0,62.3
BERKSHIRE P,Gwinnett,1476.0,95.0,147.0,73.0,1.0,316.0,125.0,241.0,184.0,1.0,551.0,867.0,58.7
MARTINS K,Gwinnett,5352.0,207.0,385.0,249.0,0.0,841.0,480.0,1361.0,786.0,0.0,2627.0,3468.0,64.8
BERKSHIRE Q,Gwinnett,1802.0,22.0,49.0,21.0,1.0,93.0,35.0,39.0,42.0,1.0,117.0,210.0,11.7
Allgood Elem,DeKalb,2858.0,43.0,71.0,71.0,1.0,186.0,230.0,876.0,586.0,3.0,1695.0,1881.0,65.8
Avondale,DeKalb,2906.0,5.0,14.0,10.0,0.0,29.0,19.0,99.0,60.0,0.0,178.0,207.0,7.1
Brockett Elem,DeKalb,2752.0,76.0,294.0,198.0,0.0,568.0,136.0,710.0,495.0,5.0,1346.0,1914.0,69.5
Brockett,DeKalb,2681.0,149.0,247.0,150.0,3.0,549.0,164.0,678.0,475.0,5.0,1322.0,1871.0,69.8
