Precinct,County,Registered Voters,Tom Kirby (I) (Rep)_Election Day Votes,Tom Kirby (I) (Rep)_Advanced Voting Votes,Tom Kirby (I) (Rep)_Absentee by Mail Votes,Tom Kirby (I) (Rep)_Provisional Votes,Tom Kirby (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
BAYCREEK G,Gwinnett,6241.0,443.0,1681.0,611.0,0.0,2735.0,2735.0,43.8,2735.0
BAYCREEK H,Gwinnett,6811.0,161.0,589.0,238.0,0.0,988.0,988.0,14.5,988.0
01 Bethlehem Community Center,Barrow,3359.0,95.0,196.0,61.0,0.0,352.0,352.0,10.5,352.0
16 The Church at Winder,Barrow,10348.0,1027.0,2834.0,804.0,2.0,4667.0,4667.0,45.1,4667.0
BT,Rockdale,4007.0,284.0,394.0,135.0,0.0,813.0,813.0,20.3,813.0
HI,Rockdale,3515.0,143.0,625.0,220.0,0.0,988.0,988.0,28.1,988.0
OT,Rockdale,6135.0,23.0,76.0,11.0,0.0,110.0,110.0,1.8,110.0
Bold Springs,Walton,4653.0,762.0,1905.0,623.0,2.0,3292.0,3292.0,70.8,3292.0
Between,Walton,4925.0,135.0,573.0,188.0,0.0,896.0,896.0,18.2,896.0
Loganville North,Walton,5225.0,580.0,1806.0,609.0,4.0,2999.0,2999.0,57.4,2999.0
Loganville South,Walton,3768.0,430.0,1277.0,482.0,0.0,2189.0,2189.0,58.1,2189.0
West Walton,Walton,4219.0,615.0,1776.0,537.0,0.0,2928.0,2928.0,69.4,2928.0
Bay Creek,Walton,3401.0,362.0,1443.0,374.0,1.0,2180.0,2180.0,64.1,2180.0
Tara,Walton,4050.0,361.0,1405.0,426.0,2.0,2194.0,2194.0,54.2,2194.0
