Precinct,County,Registered Voters,Jayne Griffin (Rep)_Election Day Votes,Jayne Griffin (Rep)_Advanced Voting Votes,Jayne Griffin (Rep)_Absentee by Mail Votes,Jayne Griffin (Rep)_Provisional Votes,Jayne Griffin (Rep)_Choice Total,Total,calc_participation,Rep_total
South Dade,Dade,969.0,190.0,303.0,64.0,0.0,557.0,557.0,57.5,557.0
New Salem,Dade,1255.0,289.0,364.0,118.0,0.0,771.0,771.0,61.4,771.0
Davis,Dade,2012.0,408.0,651.0,94.0,1.0,1154.0,1154.0,57.4,1154.0
New Home,Dade,711.0,204.0,142.0,52.0,0.0,398.0,398.0,56.0,398.0
West Brow,Dade,1237.0,309.0,312.0,97.0,0.0,718.0,718.0,58.0,718.0
Trenton,Dade,3573.0,326.0,1079.0,190.0,3.0,1598.0,1598.0,44.7,1598.0
North Dade,Dade,1903.0,295.0,581.0,115.0,1.0,992.0,992.0,52.1,992.0
