Precinct,County,Registered Voters,Bert Reeves (I) (Rep)_Election Day Votes,Bert Reeves (I) (Rep)_Advanced Voting Votes,Bert Reeves (I) (Rep)_Absentee by Mail Votes,Bert Reeves (I) (Rep)_Provisional Votes,Bert Reeves (I) (Rep)_Choice Total,Priscilla G. Smith (Dem)_Election Day Votes,Priscilla G. Smith (Dem)_Advanced Voting Votes,Priscilla G. Smith (Dem)_Absentee by Mail Votes,Priscilla G. Smith (Dem)_Provisional Votes,Priscilla G. Smith (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Big Shanty 01,Cobb,2385.0,195.0,298.0,220.0,2.0,715.0,130.0,284.0,229.0,1.0,644.0,1359.0,57.0,715.0,644.0
Cheatham Hill 02,Cobb,3085.0,332.0,726.0,497.0,0.0,1555.0,105.0,370.0,439.0,1.0,915.0,2470.0,80.1,1555.0,915.0
Elizabeth 01,Cobb,4065.0,226.0,317.0,182.0,0.0,725.0,304.0,788.0,531.0,3.0,1626.0,2351.0,57.8,725.0,1626.0
Hayes 01,Cobb,4111.0,373.0,1092.0,660.0,0.0,2125.0,125.0,458.0,512.0,1.0,1096.0,3221.0,78.4,2125.0,1096.0
Kennesaw 1A,Cobb,2499.0,140.0,283.0,178.0,5.0,606.0,123.0,259.0,161.0,2.0,545.0,1151.0,46.1,606.0,545.0
Kennesaw 2A,Cobb,3944.0,313.0,712.0,381.0,1.0,1407.0,207.0,577.0,484.0,1.0,1269.0,2676.0,67.8,1407.0,1269.0
Kennesaw 3A,Cobb,6477.0,269.0,813.0,433.0,0.0,1515.0,354.0,1167.0,887.0,1.0,2409.0,3924.0,60.6,1515.0,2409.0
Kennesaw 4A,Cobb,3783.0,182.0,457.0,320.0,1.0,960.0,158.0,418.0,358.0,1.0,935.0,1895.0,50.1,960.0,935.0
Kemp 01,Cobb,1960.0,255.0,514.0,335.0,0.0,1104.0,66.0,189.0,218.0,0.0,473.0,1577.0,80.5,1104.0,473.0
Marietta 2A,Cobb,2059.0,28.0,59.0,47.0,0.0,134.0,14.0,54.0,47.0,0.0,115.0,249.0,12.1,134.0,115.0
Marietta 3A,Cobb,4388.0,66.0,118.0,104.0,0.0,288.0,90.0,264.0,198.0,0.0,552.0,840.0,19.1,288.0,552.0
Marietta 4A,Cobb,1956.0,394.0,377.0,381.0,0.0,1152.0,37.0,114.0,184.0,0.0,335.0,1487.0,76.0,1152.0,335.0
Marietta 4B,Cobb,2056.0,119.0,167.0,188.0,0.0,474.0,63.0,234.0,215.0,1.0,513.0,987.0,48.0,474.0,513.0
Marietta 4C,Cobb,2781.0,311.0,705.0,440.0,0.0,1456.0,81.0,323.0,403.0,0.0,807.0,2263.0,81.4,1456.0,807.0
Marietta 5B,Cobb,3084.0,5.0,3.0,5.0,0.0,13.0,14.0,34.0,58.0,0.0,106.0,119.0,3.9,13.0,106.0
Pine Mountain 01,Cobb,3491.0,118.0,375.0,259.0,0.0,752.0,22.0,65.0,79.0,2.0,168.0,920.0,26.4,752.0,168.0
Pine Mountain 02,Cobb,3127.0,418.0,879.0,610.0,0.0,1907.0,78.0,293.0,319.0,1.0,691.0,2598.0,83.1,1907.0,691.0
