Precinct,County,Registered Voters,Mike Cameron (Rep)_Election Day Votes,Mike Cameron (Rep)_Advanced Voting Votes,Mike Cameron (Rep)_Absentee by Mail Votes,Mike Cameron (Rep)_Provisional Votes,Mike Cameron (Rep)_Choice Total,Total,calc_participation,Rep_total
South Dade,Dade,969.0,195.0,305.0,56.0,0.0,556.0,556.0,57.4,556.0
New Salem,Dade,1255.0,299.0,368.0,113.0,1.0,781.0,781.0,62.2,781.0
Davis,Dade,2012.0,422.0,686.0,91.0,1.0,1200.0,1200.0,59.6,1200.0
New Home,Dade,711.0,213.0,152.0,54.0,0.0,419.0,419.0,58.9,419.0
West Brow,Dade,1237.0,314.0,311.0,100.0,0.0,725.0,725.0,58.6,725.0
Trenton,Dade,3573.0,341.0,1119.0,189.0,3.0,1652.0,1652.0,46.2,1652.0
North Dade,Dade,1903.0,303.0,588.0,119.0,1.0,1011.0,1011.0,53.1,1011.0
Walnut Grove,Walker,2212.0,180.0,309.0,92.0,0.0,581.0,581.0,26.3,581.0
Mountain,Walker,1254.0,401.0,241.0,129.0,1.0,772.0,772.0,61.6,772.0
Chattanooga Valley,Walker,6325.0,893.0,2245.0,728.0,1.0,3867.0,3867.0,61.1,3867.0
Kensington,Walker,1347.0,376.0,337.0,114.0,1.0,828.0,828.0,61.5,828.0
Rossville,Walker,6255.0,587.0,1900.0,600.0,1.0,3088.0,3088.0,49.4,3088.0
Chickamauga,Walker,6890.0,214.0,1046.0,282.0,0.0,1542.0,1542.0,22.4,1542.0
Fairyland,Walker,1265.0,176.0,478.0,97.0,0.0,751.0,751.0,59.4,751.0
Fairview,Walker,3101.0,416.0,880.0,301.0,1.0,1598.0,1598.0,51.5,1598.0
