Precinct,County,Registered Voters,"Craig """"Buzzard"""" Sewell (I)_Election Day Votes","Craig """"Buzzard"""" Sewell (I)_Advanced Voting Votes","Craig """"Buzzard"""" Sewell (I)_Absentee by Mail Votes","Craig """"Buzzard"""" Sewell (I)_Provisional Votes","Craig """"Buzzard"""" Sewell (I)_Choice Total",Total,calc_participation,Ind_total
Central Jackson,Jackson,16263.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0
North Jackson,Jackson,12699.0,173.0,715.0,170.0,0.0,1058.0,1058.0,8.3,1058.0
