Precinct,County,Registered Voters,Park Cannon (I) (Dem)_Election Day Votes,Park Cannon (I) (Dem)_Advanced Voting Votes,Park Cannon (I) (Dem)_Absentee by Mail Votes,Park Cannon (I) (Dem)_Provisional Votes,Park Cannon (I) (Dem)_Choice Total,Total,calc_participation,Dem_total
01D,Fulton,754.0,25.0,279.0,111.0,7.0,422.0,422.0,56.0,422.0
01F,Fulton,1593.0,118.0,255.0,104.0,6.0,483.0,483.0,30.3,483.0
01H,Fulton,896.0,65.0,202.0,116.0,2.0,385.0,385.0,43.0,385.0
01I,Fulton,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0
02C,Fulton,2034.0,83.0,707.0,382.0,19.0,1191.0,1191.0,58.6,1191.0
02D,Fulton,5539.0,277.0,1955.0,1055.0,17.0,3304.0,3304.0,59.6,3304.0
02F2,Fulton,851.0,47.0,265.0,132.0,3.0,447.0,447.0,52.5,447.0
02G,Fulton,3895.0,205.0,1641.0,736.0,4.0,2586.0,2586.0,66.4,2586.0
02J,Fulton,2273.0,101.0,890.0,424.0,9.0,1424.0,1424.0,62.6,1424.0
02K,Fulton,1461.0,47.0,610.0,282.0,0.0,939.0,939.0,64.3,939.0
02S,Fulton,790.0,44.0,283.0,134.0,0.0,461.0,461.0,58.4,461.0
04M,Fulton,979.0,102.0,148.0,67.0,2.0,319.0,319.0,32.6,319.0
05A1,Fulton,2936.0,135.0,1272.0,604.0,1.0,2012.0,2012.0,68.5,2012.0
05B,Fulton,2171.0,172.0,610.0,258.0,0.0,1040.0,1040.0,47.9,1040.0
05C,Fulton,135.0,7.0,27.0,8.0,0.0,42.0,42.0,31.1,42.0
05F,Fulton,248.0,22.0,86.0,25.0,0.0,133.0,133.0,53.6,133.0
05J,Fulton,684.0,37.0,272.0,120.0,0.0,429.0,429.0,62.7,429.0
05K,Fulton,2826.0,150.0,714.0,275.0,1.0,1140.0,1140.0,40.3,1140.0
06B,Fulton,1889.0,91.0,777.0,378.0,6.0,1252.0,1252.0,66.3,1252.0
06F,Fulton,2841.0,114.0,1155.0,505.0,4.0,1778.0,1778.0,62.6,1778.0
06G,Fulton,588.0,19.0,218.0,120.0,1.0,358.0,358.0,60.9,358.0
11G,Fulton,2556.0,116.0,458.0,302.0,17.0,893.0,893.0,34.9,893.0
11K,Fulton,2045.0,135.0,601.0,360.0,3.0,1099.0,1099.0,53.7,1099.0
11R,Fulton,2253.0,119.0,441.0,223.0,6.0,789.0,789.0,35.0,789.0
12A,Fulton,4971.0,285.0,1619.0,732.0,21.0,2657.0,2657.0,53.5,2657.0
12A1,Fulton,690.0,41.0,299.0,20.0,8.0,368.0,368.0,53.3,368.0
12I,Fulton,1079.0,53.0,220.0,137.0,35.0,445.0,445.0,41.2,445.0
12L,Fulton,774.0,54.0,136.0,66.0,2.0,258.0,258.0,33.3,258.0
12N,Fulton,1134.0,91.0,218.0,83.0,9.0,401.0,401.0,35.4,401.0
12S,Fulton,2079.0,163.0,564.0,235.0,3.0,965.0,965.0,46.4,965.0
