Precinct,County,Registered Voters,Robert Pruitt (Rep)_Election Day Votes,Robert Pruitt (Rep)_Advanced Voting Votes,Robert Pruitt (Rep)_Absentee by Mail Votes,Robert Pruitt (Rep)_Provisional Votes,Robert Pruitt (Rep)_Choice Total,Total,calc_participation,Rep_total
Hazlehurst,Jeff Davis,1406.0,167.0,293.0,89.0,0.0,549.0,549.0,39.0,549.0
Ocmulgee 1,Jeff Davis,1399.0,200.0,550.0,108.0,0.0,858.0,858.0,61.3,858.0
Ocmulgee 2,Jeff Davis,499.0,91.0,102.0,36.0,0.0,229.0,229.0,45.9,229.0
Burch,Laurens,422.0,174.0,50.0,51.0,0.0,275.0,275.0,65.2,275.0
Cadwell,Laurens,749.0,311.0,135.0,57.0,1.0,504.0,504.0,67.3,504.0
Alamo,Wheeler,0.0,256.0,665.0,125.0,0.0,1046.0,1046.0,,1046.0
Glenwood,Wheeler,0.0,272.0,371.0,111.0,0.0,754.0,754.0,,754.0
Chauncey,Dodge,412.0,159.0,68.0,29.0,0.0,256.0,256.0,62.1,256.0
Clark,Dodge,111.0,47.0,18.0,5.0,0.0,70.0,70.0,63.1,70.0
Eddin,Dodge,1037.0,217.0,314.0,90.0,0.0,621.0,621.0,59.9,621.0
Empire,Dodge,456.0,151.0,114.0,29.0,0.0,294.0,294.0,64.5,294.0
Jaybird,Dodge,212.0,72.0,32.0,14.0,1.0,119.0,119.0,56.1,119.0
Jones,Dodge,436.0,123.0,128.0,26.0,0.0,277.0,277.0,63.5,277.0
Lee,Dodge,4816.0,505.0,1569.0,418.0,3.0,2495.0,2495.0,51.8,2495.0
McCranie,Dodge,293.0,98.0,69.0,19.0,0.0,186.0,186.0,63.5,186.0
Milan,Dodge,332.0,108.0,65.0,21.0,0.0,194.0,194.0,58.4,194.0
Mitchell,Dodge,333.0,110.0,90.0,16.0,1.0,217.0,217.0,65.2,217.0
Mullis,Dodge,505.0,187.0,66.0,50.0,0.0,303.0,303.0,60.0,303.0
Plainfield,Dodge,454.0,151.0,126.0,34.0,0.0,311.0,311.0,68.5,311.0
Pondtown,Dodge,689.0,209.0,145.0,66.0,0.0,420.0,420.0,61.0,420.0
Rawlins,Dodge,923.0,195.0,292.0,76.0,0.0,563.0,563.0,61.0,563.0
Vilula,Dodge,170.0,77.0,31.0,10.0,0.0,118.0,118.0,69.4,118.0
Yonker,Dodge,260.0,110.0,42.0,17.0,0.0,169.0,169.0,65.0,169.0
Helena,Telfair,969.0,135.0,306.0,48.0,4.0,493.0,493.0,50.9,493.0
Jacksonville,Telfair,628.0,178.0,123.0,44.0,0.0,345.0,345.0,54.9,345.0
Lumber-City,Telfair,963.0,182.0,181.0,64.0,0.0,427.0,427.0,44.3,427.0
McRae,Telfair,2337.0,195.0,712.0,208.0,0.0,1115.0,1115.0,47.7,1115.0
Milan,Telfair,802.0,243.0,242.0,70.0,0.0,555.0,555.0,69.2,555.0
Scotland,Telfair,333.0,108.0,80.0,21.0,0.0,209.0,209.0,62.8,209.0
