Precinct,County,Registered Voters,Richard H. Smith (I) (Rep)_Election Day Votes,Richard H. Smith (I) (Rep)_Advanced Voting Votes,Richard H. Smith (I) (Rep)_Absentee by Mail Votes,Richard H. Smith (I) (Rep)_Provisional Votes,Richard H. Smith (I) (Rep)_Choice Total,Carl Sprayberry (Dem)_Election Day Votes,Carl Sprayberry (Dem)_Advanced Voting Votes,Carl Sprayberry (Dem)_Absentee by Mail Votes,Carl Sprayberry (Dem)_Provisional Votes,Carl Sprayberry (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Cataula,Harris,2898.0,630.0,831.0,274.0,1.0,1736.0,100.0,214.0,178.0,0.0,492.0,2228.0,76.9,1736.0,492.0
Ellerslie,Harris,4211.0,833.0,1172.0,394.0,0.0,2399.0,127.0,439.0,352.0,0.0,918.0,3317.0,78.8,2399.0,918.0
Britt David,Muscogee,2747.0,307.0,559.0,194.0,0.0,1060.0,126.0,351.0,210.0,0.0,687.0,1747.0,63.6,1060.0,687.0
St Peter,Muscogee,3265.0,365.0,756.0,304.0,3.0,1428.0,139.0,382.0,293.0,0.0,814.0,2242.0,68.7,1428.0,814.0
Cornerstone,Muscogee,6684.0,682.0,1562.0,554.0,0.0,2798.0,222.0,878.0,565.0,1.0,1666.0,4464.0,66.8,2798.0,1666.0
Gentian/Reese,Muscogee,5612.0,194.0,434.0,178.0,0.0,806.0,134.0,412.0,221.0,0.0,767.0,1573.0,28.0,806.0,767.0
St Paul/Clubview,Muscogee,5677.0,401.0,1485.0,554.0,0.0,2440.0,214.0,786.0,532.0,0.0,1532.0,3972.0,70.0,2440.0,1532.0
Moon/Morningside,Muscogee,5415.0,489.0,1214.0,512.0,1.0,2216.0,213.0,662.0,467.0,0.0,1342.0,3558.0,65.7,2216.0,1342.0
St Andrews/Midland,Muscogee,7959.0,421.0,1099.0,444.0,0.0,1964.0,139.0,616.0,464.0,0.0,1219.0,3183.0,40.0,1964.0,1219.0
Epworth UMC,Muscogee,4512.0,186.0,390.0,168.0,0.0,744.0,88.0,197.0,109.0,0.0,394.0,1138.0,25.2,744.0,394.0
