Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,calc_participation
01A,Fulton,3694.0,160.0,1493.0,590.0,21.0,2264.0,38.0,246.0,130.0,2.0,416.0,2680.0,72.6
01B,Fulton,4327.0,236.0,1634.0,725.0,5.0,2600.0,68.0,279.0,173.0,1.0,521.0,3121.0,72.1
01C,Fulton,1908.0,156.0,307.0,121.0,0.0,584.0,44.0,67.0,40.0,0.0,151.0,735.0,38.5
01D,Fulton,754.0,19.0,242.0,95.0,7.0,363.0,10.0,45.0,22.0,1.0,78.0,441.0,58.5
01E,Fulton,3720.0,109.0,1445.0,645.0,0.0,2199.0,30.0,217.0,153.0,0.0,400.0,2599.0,69.9
01F,Fulton,1593.0,101.0,224.0,84.0,5.0,414.0,23.0,38.0,24.0,1.0,86.0,500.0,31.4
01G,Fulton,2312.0,117.0,643.0,235.0,3.0,998.0,30.0,127.0,60.0,1.0,218.0,1216.0,52.6
01H,Fulton,896.0,52.0,150.0,85.0,4.0,291.0,15.0,57.0,32.0,2.0,106.0,397.0,44.3
01I,Fulton,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
01J,Fulton,2848.0,182.0,615.0,235.0,9.0,1041.0,55.0,123.0,82.0,5.0,265.0,1306.0,45.9
01P,Fulton,1444.0,168.0,178.0,132.0,4.0,482.0,45.0,42.0,38.0,0.0,125.0,607.0,42.0
01R,Fulton,1550.0,164.0,116.0,89.0,11.0,380.0,50.0,30.0,32.0,3.0,115.0,495.0,31.9
01S,Fulton,2118.0,189.0,396.0,149.0,6.0,740.0,56.0,95.0,51.0,1.0,203.0,943.0,44.5
01T,Fulton,1799.0,147.0,394.0,145.0,3.0,689.0,39.0,76.0,46.0,0.0,161.0,850.0,47.2
02A,Fulton,4884.0,160.0,1531.0,864.0,13.0,2568.0,48.0,487.0,285.0,7.0,827.0,3395.0,69.5
02A1,Fulton,733.0,30.0,249.0,35.0,3.0,317.0,10.0,74.0,12.0,0.0,96.0,413.0,56.3
02B,Fulton,4020.0,164.0,694.0,236.0,16.0,1110.0,41.0,146.0,58.0,12.0,257.0,1367.0,34.0
02C,Fulton,2034.0,68.0,573.0,290.0,28.0,959.0,26.0,146.0,87.0,1.0,260.0,1219.0,59.9
