Precinct,County,Registered Voters,Marie Metze (I) (Dem)_Election Day Votes,Marie Metze (I) (Dem)_Advanced Voting Votes,Marie Metze (I) (Dem)_Absentee by Mail Votes,Marie Metze (I) (Dem)_Provisional Votes,Marie Metze (I) (Dem)_Choice Total,Total,calc_participation
03H,Fulton,1091.0,89.0,222.0,98.0,0.0,409.0,409.0,37.5
03M,Fulton,965.0,155.0,240.0,80.0,2.0,477.0,477.0,49.4
03S,Fulton,908.0,99.0,203.0,99.0,0.0,401.0,401.0,44.2
06L2,Fulton,726.0,23.0,262.0,125.0,1.0,411.0,411.0,56.6
06N,Fulton,1770.0,78.0,518.0,277.0,0.0,873.0,873.0,49.3
07J,Fulton,3041.0,162.0,1035.0,490.0,10.0,1697.0,1697.0,55.8
08K,Fulton,1049.0,70.0,382.0,204.0,0.0,656.0,656.0,62.5
08L,Fulton,4505.0,218.0,1551.0,790.0,16.0,2575.0,2575.0,57.2
08P,Fulton,1887.0,118.0,636.0,224.0,8.0,986.0,986.0,52.3
09G,Fulton,3943.0,231.0,1511.0,620.0,9.0,2371.0,2371.0,60.1
09H,Fulton,1185.0,78.0,412.0,151.0,1.0,642.0,642.0,54.2
09I,Fulton,1397.0,139.0,252.0,169.0,2.0,562.0,562.0,40.2
10B,Fulton,3965.0,232.0,1467.0,857.0,9.0,2565.0,2565.0,64.7
10H2,Fulton,2623.0,175.0,549.0,328.0,0.0,1052.0,1052.0,40.1
11B,Fulton,4395.0,338.0,1322.0,812.0,6.0,2478.0,2478.0,56.4
11B1,Fulton,894.0,69.0,287.0,28.0,3.0,387.0,387.0,43.3
11C,Fulton,3149.0,162.0,1335.0,563.0,2.0,2062.0,2062.0,65.5
11E2,Fulton,1003.0,75.0,335.0,158.0,0.0,568.0,568.0,56.6
11M,Fulton,1380.0,99.0,560.0,338.0,2.0,999.0,999.0,72.4
11M1,Fulton,2190.0,136.0,518.0,52.0,7.0,713.0,713.0,32.6
11N,Fulton,2431.0,193.0,801.0,421.0,3.0,1418.0,1418.0,58.3
11P,Fulton,2095.0,132.0,531.0,369.0,11.0,1043.0,1043.0,49.8
SC02,Fulton,1426.0,42.0,715.0,259.0,1.0,1017.0,1017.0,71.3
SC30A,Fulton,157.0,5.0,44.0,59.0,7.0,115.0,115.0,73.2
SC30B,Fulton,1110.0,59.0,358.0,147.0,0.0,564.0,564.0,50.8
