Precinct,County,Registered Voters,Heath Clark (I) (Rep)_Election Day Votes,Heath Clark (I) (Rep)_Advanced Voting Votes,Heath Clark (I) (Rep)_Absentee by Mail Votes,Heath Clark (I) (Rep)_Provisional Votes,Heath Clark (I) (Rep)_Choice Total,Stephen Baughier (Dem)_Election Day Votes,Stephen Baughier (Dem)_Advanced Voting Votes,Stephen Baughier (Dem)_Absentee by Mail Votes,Stephen Baughier (Dem)_Provisional Votes,Stephen Baughier (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
ANNX,Houston,4512.0,479.0,1215.0,575.0,1.0,2270.0,167.0,458.0,512.0,0.0,1137.0,3407.0,75.5,2270.0,1137.0
CENT,Houston,7795.0,871.0,1456.0,683.0,0.0,3010.0,369.0,822.0,729.0,1.0,1921.0,4931.0,63.3,3010.0,1921.0
HCTC,Houston,6361.0,538.0,946.0,491.0,1.0,1976.0,434.0,831.0,673.0,1.0,1939.0,3915.0,61.5,1976.0,1939.0
HHPC,Houston,9610.0,478.0,1009.0,480.0,0.0,1967.0,424.0,726.0,704.0,1.0,1855.0,3822.0,39.8,1967.0,1855.0
RECR,Houston,9277.0,215.0,321.0,145.0,0.0,681.0,506.0,672.0,569.0,1.0,1748.0,2429.0,26.2,681.0,1748.0
TMS,Houston,5286.0,440.0,713.0,373.0,2.0,1528.0,460.0,888.0,690.0,0.0,2038.0,3566.0,67.5,1528.0,2038.0
TWPK,Houston,4415.0,103.0,152.0,107.0,0.0,362.0,25.0,64.0,46.0,0.0,135.0,497.0,11.3,362.0,135.0
