Precinct,County,Registered Voters,Danny Mathis (I) (Rep)_Election Day Votes,Danny Mathis (I) (Rep)_Advanced Voting Votes,Danny Mathis (I) (Rep)_Absentee by Mail Votes,Danny Mathis (I) (Rep)_Provisional Votes,Danny Mathis (I) (Rep)_Choice Total,Mary Whipple-Lue (Dem)_Election Day Votes,Mary Whipple-Lue (Dem)_Advanced Voting Votes,Mary Whipple-Lue (Dem)_Absentee by Mail Votes,Mary Whipple-Lue (Dem)_Provisional Votes,Mary Whipple-Lue (Dem)_Choice Total,Total,Mary_Election Day Votes,Mary_Advanced Voting Votes,Mary_Absentee by Mail Votes,Mary_Provisional Votes,Mary_Choice Total,calc_participation
Roberts,Jones,0.0,440.0,579.0,197.0,0.0,1216.0,126.0,269.0,162.0,1.0,558.0,1774.0,,,,,,
Davidson,Jones,0.0,361.0,499.0,116.0,1.0,977.0,30.0,68.0,41.0,0.0,139.0,1116.0,,,,,,
Pope,Jones,0.0,117.0,182.0,31.0,1.0,331.0,40.0,75.0,47.0,0.0,162.0,493.0,,,,,,
Harvard,Laurens,406.0,104.0,40.0,29.0,0.0,173.0,,,,,,280.0,49.0,35.0,23.0,0.0,107.0,69.0
W T Adams Fire Sta 18,Laurens,2090.0,384.0,624.0,177.0,0.0,1185.0,,,,,,1640.0,94.0,192.0,169.0,0.0,455.0,78.5
Dry Branch,Twiggs,1550.0,308.0,350.0,130.0,0.0,788.0,,,,,,954.0,40.0,73.0,53.0,0.0,166.0,61.5
Golden Isles,Twiggs,1692.0,190.0,235.0,60.0,0.0,485.0,,,,,,1142.0,156.0,257.0,243.0,1.0,657.0,67.5
Higgsville,Twiggs,758.0,159.0,190.0,64.0,0.0,413.0,,,,,,552.0,34.0,66.0,39.0,0.0,139.0,72.8
Jeffersonville/Ware,Twiggs,1464.0,89.0,269.0,43.0,0.0,401.0,,,,,,1074.0,106.0,318.0,246.0,3.0,673.0,73.4
Shady Grove/Tarvers,Twiggs,840.0,87.0,181.0,51.0,0.0,319.0,,,,,,584.0,66.0,102.0,97.0,0.0,265.0,69.5
Rutland 2,Bibb,3409.0,687.0,657.0,257.0,2.0,1603.0,170.0,413.0,219.0,3.0,805.0,2408.0,,,,,,70.6
BMS,Houston,9536.0,916.0,1624.0,648.0,0.0,3188.0,,,,,,4628.0,218.0,672.0,550.0,0.0,1440.0,48.5
Bloodworth,Wilkinson,434.0,187.0,106.0,24.0,0.0,317.0,8.0,8.0,8.0,0.0,24.0,341.0,,,,,,78.6
Griffin,Wilkinson,184.0,77.0,32.0,12.0,0.0,121.0,12.0,5.0,14.0,0.0,31.0,152.0,,,,,,82.6
High Hill,Wilkinson,173.0,73.0,29.0,8.0,0.0,110.0,8.0,12.0,6.0,0.0,26.0,136.0,,,,,,78.6
Irwinton,Wilkinson,875.0,78.0,203.0,30.0,1.0,312.0,40.0,185.0,99.0,0.0,324.0,636.0,,,,,,72.7
Ivey,Wilkinson,960.0,310.0,202.0,48.0,2.0,562.0,21.0,28.0,15.0,0.0,64.0,626.0,,,,,,65.2
Lord,Wilkinson,735.0,154.0,140.0,26.0,0.0,320.0,68.0,82.0,59.0,0.0,209.0,529.0,,,,,,72.0
Midway,Wilkinson,938.0,29.0,87.0,15.0,1.0,132.0,90.0,233.0,170.0,2.0,495.0,627.0,,,,,,66.8
Ramah,Wilkinson,1709.0,252.0,282.0,92.0,0.0,626.0,178.0,244.0,150.0,0.0,572.0,1198.0,,,,,,70.1
Turkey Creek,Wilkinson,462.0,157.0,74.0,22.0,0.0,253.0,37.0,33.0,14.0,0.0,84.0,337.0,,,,,,72.9
Fairground,Bleckley,0.0,1038.0,2973.0,715.0,2.0,4728.0,196.0,401.0,314.0,0.0,911.0,5639.0,,,,,,
