Precinct,County,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Odum,Wayne,1260.0,302.0,507.0,91.0,0.0,900.0,900.0,71.4,900.0
Madray Springs,Wayne,1176.0,179.0,542.0,138.0,1.0,860.0,860.0,73.1,860.0
Oglethorpe,Wayne,1741.0,242.0,756.0,175.0,0.0,1173.0,1173.0,67.4,1173.0
Screven,Wayne,1849.0,471.0,610.0,147.0,2.0,1230.0,1230.0,66.5,1230.0
Empire,Wayne,1106.0,188.0,525.0,100.0,0.0,813.0,813.0,73.5,813.0
Red Hill,Wayne,1036.0,142.0,374.0,100.0,0.0,616.0,616.0,59.5,616.0
Altamaha,Wayne,2857.0,258.0,1055.0,228.0,3.0,1544.0,1544.0,54.0,1544.0
Gardi,Wayne,1123.0,286.0,346.0,120.0,2.0,754.0,754.0,67.1,754.0
VFW,Wayne,1145.0,70.0,221.0,73.0,0.0,364.0,364.0,31.8,364.0
Pine Street,Wayne,1140.0,96.0,337.0,100.0,0.0,533.0,533.0,46.8,533.0
Unity,Wayne,1905.0,204.0,682.0,202.0,0.0,1088.0,1088.0,57.1,1088.0
Rec Center,Wayne,1766.0,224.0,708.0,171.0,0.0,1103.0,1103.0,62.5,1103.0
Ailey,Montgomery,431.0,75.0,172.0,38.0,0.0,285.0,285.0,66.1,285.0
Alston,Montgomery,472.0,139.0,154.0,38.0,0.0,331.0,331.0,70.1,331.0
Higgston,Montgomery,1340.0,284.0,459.0,107.0,0.0,850.0,850.0,63.4,850.0
Kibbee,Montgomery,532.0,163.0,149.0,63.0,0.0,375.0,375.0,70.5,375.0
Mount Vernon,Montgomery,1444.0,204.0,392.0,126.0,0.0,722.0,722.0,50.0,722.0
Tarrytown,Montgomery,333.0,110.0,89.0,27.0,0.0,226.0,226.0,67.9,226.0
Uvalda,Montgomery,911.0,218.0,207.0,66.0,0.0,491.0,491.0,53.9,491.0
Hazlehurst,Jeff Davis,1406.0,164.0,287.0,94.0,0.0,545.0,545.0,38.8,545.0
Altamaha 1,Jeff Davis,703.0,93.0,321.0,48.0,0.0,462.0,462.0,65.7,462.0
Altamaha 2,Jeff Davis,1249.0,316.0,481.0,81.0,0.0,878.0,878.0,70.3,878.0
Blackburn 1,Jeff Davis,870.0,109.0,238.0,57.0,0.0,404.0,404.0,46.4,404.0
Blackburn 2,Jeff Davis,722.0,177.0,244.0,56.0,0.0,477.0,477.0,66.1,477.0
Whitehead 1,Jeff Davis,988.0,115.0,354.0,82.0,0.0,551.0,551.0,55.8,551.0
Whitehead 2,Jeff Davis,642.0,184.0,199.0,43.0,0.0,426.0,426.0,66.4,426.0
Ocmulgee 1,Jeff Davis,1399.0,204.0,544.0,107.0,0.0,855.0,855.0,61.1,855.0
Ocmulgee 2,Jeff Davis,499.0,108.0,131.0,45.0,0.0,284.0,284.0,56.9,284.0
Alamo,Wheeler,0.0,254.0,664.0,134.0,0.0,1052.0,1052.0,,1052.0
Glenwood,Wheeler,0.0,268.0,361.0,109.0,0.0,738.0,738.0,,738.0
1B,Appling,1309.0,244.0,496.0,133.0,0.0,873.0,873.0,66.7,873.0
1C,Appling,848.0,175.0,340.0,71.0,2.0,588.0,588.0,69.3,588.0
2,Appling,2251.0,212.0,490.0,177.0,1.0,880.0,880.0,39.1,880.0
3A1,Appling,793.0,218.0,281.0,57.0,0.0,556.0,556.0,70.1,556.0
3C,Appling,1566.0,136.0,642.0,167.0,0.0,945.0,945.0,60.3,945.0
4B,Appling,866.0,243.0,316.0,72.0,0.0,631.0,631.0,72.9,631.0
4D,Appling,1493.0,244.0,640.0,170.0,1.0,1055.0,1055.0,70.7,1055.0
5A,Appling,1147.0,141.0,456.0,109.0,3.0,709.0,709.0,61.8,709.0
5B,Appling,1126.0,208.0,409.0,113.0,3.0,733.0,733.0,65.1,733.0
Lewis Frasier School,Liberty,4317.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0
Memorial Dr East,Liberty,1976.0,0.0,3.0,0.0,0.0,3.0,3.0,0.2,3.0
Walthourville,Liberty,3016.0,175.0,648.0,236.0,0.0,1059.0,1059.0,35.1,1059.0
Gum Branch,Liberty,3193.0,320.0,716.0,240.0,0.0,1276.0,1276.0,40.0,1276.0
Hinesville Lodge 271,Liberty,2646.0,208.0,523.0,261.0,0.0,992.0,992.0,37.5,992.0
Beards Creek,Long,1539.0,253.0,308.0,88.0,2.0,651.0,651.0,42.3,651.0
Rye Patch/Oak Dale,Long,3131.0,387.0,833.0,146.0,4.0,1370.0,1370.0,43.8,1370.0
South Ludowici,Long,1392.0,128.0,278.0,60.0,2.0,468.0,468.0,33.6,468.0
North Ludowici,Long,2281.0,219.0,557.0,114.0,3.0,893.0,893.0,39.1,893.0
Tibet,Long,920.0,162.0,281.0,32.0,0.0,475.0,475.0,51.6,475.0
Alma Flournoy,Long,298.0,68.0,94.0,14.0,2.0,178.0,178.0,59.7,178.0
Faith Baptist Annex,Long,909.0,102.0,276.0,37.0,1.0,416.0,416.0,45.8,416.0
Shiloh,Tattnall,1111.0,104.0,277.0,66.0,0.0,447.0,447.0,40.2,447.0
East Glennville,Tattnall,2506.0,319.0,924.0,283.0,0.0,1526.0,1526.0,60.9,1526.0
District IV,Tattnall,2497.0,314.0,846.0,200.0,0.0,1360.0,1360.0,54.5,1360.0
District V,Tattnall,1062.0,216.0,337.0,80.0,0.0,633.0,633.0,59.6,633.0
15361 Lyons,Toombs,0.0,377.0,1198.0,327.0,0.0,1902.0,1902.0,,1902.0
39 Newbranch,Toombs,0.0,322.0,497.0,128.0,0.0,947.0,947.0,,947.0
43 Cedar Crossing,Toombs,0.0,342.0,435.0,110.0,0.0,887.0,887.0,,887.0
513 VPD,Toombs,0.0,625.0,1998.0,664.0,3.0,3290.0,3290.0,,3290.0
514 STIALC,Toombs,0.0,424.0,1216.0,391.0,3.0,2034.0,2034.0,,2034.0
Helena,Telfair,969.0,128.0,305.0,47.0,4.0,484.0,484.0,49.9,484.0
Jacksonville,Telfair,628.0,178.0,125.0,47.0,0.0,350.0,350.0,55.7,350.0
Lumber-City,Telfair,963.0,176.0,179.0,60.0,0.0,415.0,415.0,43.1,415.0
McRae,Telfair,2337.0,188.0,712.0,206.0,0.0,1106.0,1106.0,47.3,1106.0
Milan,Telfair,802.0,239.0,236.0,70.0,0.0,545.0,545.0,68.0,545.0
Scotland,Telfair,333.0,111.0,79.0,23.0,0.0,213.0,213.0,64.0,213.0
Annex,Treutlen,0.0,237.0,861.0,177.0,0.0,1275.0,1275.0,,1275.0
Soperton,Treutlen,0.0,217.0,682.0,201.0,0.0,1100.0,1100.0,,1100.0
