Precinct,County,Registered Voters,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_Choice Total,Total,calc_participation
Hartwell,Hart,6451.0,576.0,2449.0,754.0,1.0,3780.0,3780.0,58.6
Goldmine,Hart,1901.0,381.0,642.0,201.0,0.0,1224.0,1224.0,64.4
Cokesbury,Hart,1162.0,187.0,320.0,95.0,0.0,602.0,602.0,51.8
Reed Creek,Hart,2990.0,474.0,1217.0,349.0,1.0,2041.0,2041.0,68.3
Bowersville,Hart,1395.0,337.0,442.0,76.0,0.0,855.0,855.0,61.3
Shoal Creek,Hart,1656.0,364.0,565.0,196.0,0.0,1125.0,1125.0,67.9
Bio,Hart,1374.0,249.0,505.0,121.0,0.0,875.0,875.0,63.7
Beaverdam,Oglethorpe,3509.0,530.0,1197.0,405.0,0.0,2132.0,2132.0,60.8
Crawford,Oglethorpe,3044.0,326.0,1074.0,305.0,0.0,1705.0,1705.0,56.0
Lexington,Oglethorpe,4291.0,385.0,1697.0,495.0,2.0,2579.0,2579.0,60.1
