Precinct,County,Registered Voters,Jeff Mullis (I) (Rep)_Election Day Votes,Jeff Mullis (I) (Rep)_Advanced Voting Votes,Jeff Mullis (I) (Rep)_Absentee by Mail Votes,Jeff Mullis (I) (Rep)_Provisional Votes,Jeff Mullis (I) (Rep)_Choice Total,Total,calc_participation
Blackstock,Catoosa,1952.0,398.0,610.0,120.0,1.0,1129.0,1129.0,57.8
Boynton,Catoosa,6027.0,759.0,2611.0,493.0,3.0,3866.0,3866.0,64.1
Catoosa Keith,Catoosa,2611.0,514.0,890.0,193.0,0.0,1597.0,1597.0,61.2
Chambers,Catoosa,2552.0,346.0,1131.0,228.0,4.0,1709.0,1709.0,67.0
Ft Oglethorpe,Catoosa,4054.0,429.0,1427.0,388.0,1.0,2245.0,2245.0,55.4
Graysville,Catoosa,4501.0,620.0,1717.0,318.0,3.0,2658.0,2658.0,59.1
Lakeview,Catoosa,3572.0,393.0,1183.0,254.0,3.0,1833.0,1833.0,51.3
Poplar Springs,Catoosa,4191.0,501.0,1759.0,326.0,0.0,2586.0,2586.0,61.7
Ringgold,Catoosa,7414.0,655.0,3173.0,653.0,1.0,4482.0,4482.0,60.5
Westside,Catoosa,5895.0,455.0,2316.0,508.0,2.0,3281.0,3281.0,55.7
Woodstation,Catoosa,2946.0,553.0,1204.0,202.0,3.0,1962.0,1962.0,66.6
Dirtseller,Chattooga,186.0,47.0,63.0,10.0,0.0,120.0,120.0,64.5
Haywood,Chattooga,169.0,78.0,24.0,4.0,1.0,107.0,107.0,63.3
Trion,Chattooga,3496.0,611.0,1214.0,315.0,0.0,2140.0,2140.0,61.2
Summerville,Chattooga,5155.0,615.0,1828.0,528.0,0.0,2971.0,2971.0,57.6
Teloga,Chattooga,593.0,92.0,243.0,77.0,0.0,412.0,412.0,69.5
Dirttown,Chattooga,897.0,260.0,272.0,76.0,0.0,608.0,608.0,67.8
Subligna,Chattooga,489.0,169.0,126.0,57.0,1.0,353.0,353.0,72.2
Alpine,Chattooga,872.0,272.0,236.0,79.0,0.0,587.0,587.0,67.3
Cloudland,Chattooga,378.0,82.0,119.0,43.0,0.0,244.0,244.0,64.6
Pennville,Chattooga,588.0,75.0,204.0,42.0,0.0,321.0,321.0,54.6
South Dade,Dade,969.0,192.0,300.0,57.0,0.0,549.0,549.0,56.7
New Salem,Dade,1255.0,264.0,340.0,107.0,0.0,711.0,711.0,56.7
Davis,Dade,2012.0,412.0,656.0,91.0,1.0,1160.0,1160.0,57.7
New Home,Dade,711.0,213.0,145.0,53.0,0.0,411.0,411.0,57.8
West Brow,Dade,1237.0,304.0,302.0,105.0,0.0,711.0,711.0,57.5
Trenton,Dade,3573.0,328.0,1052.0,198.0,3.0,1581.0,1581.0,44.2
North Dade,Dade,1903.0,292.0,572.0,113.0,1.0,978.0,978.0,51.4
La Fayette,Walker,6547.0,764.0,2082.0,683.0,1.0,3530.0,3530.0,53.9
Walnut Grove,Walker,2212.0,430.0,753.0,191.0,0.0,1374.0,1374.0,62.1
Rock Spring,Walker,6275.0,678.0,2647.0,619.0,0.0,3944.0,3944.0,62.9
Armuchee Valley,Walker,1453.0,565.0,243.0,104.0,0.0,912.0,912.0,62.8
Mountain,Walker,1254.0,392.0,237.0,129.0,1.0,759.0,759.0,60.5
Chattanooga Valley,Walker,6325.0,880.0,2177.0,721.0,2.0,3780.0,3780.0,59.8
Kensington,Walker,1347.0,360.0,332.0,103.0,1.0,796.0,796.0,59.1
Rossville,Walker,6255.0,588.0,1858.0,591.0,1.0,3038.0,3038.0,48.6
Chickamauga,Walker,6890.0,671.0,2893.0,719.0,1.0,4284.0,4284.0,62.2
Fairyland,Walker,1265.0,181.0,478.0,102.0,0.0,761.0,761.0,60.2
Fairview,Walker,3101.0,414.0,863.0,296.0,1.0,1574.0,1574.0,50.8
