Precinct,County,Registered Voters,Benjamin Brooks (Rep)_Election Day Votes,Benjamin Brooks (Rep)_Advanced Voting Votes,Benjamin Brooks (Rep)_Absentee by Mail Votes,Benjamin Brooks (Rep)_Provisional Votes,Benjamin Brooks (Rep)_Choice Total,Gail Davenport (I) (Dem)_Election Day Votes,Gail Davenport (I) (Dem)_Advanced Voting Votes,Gail Davenport (I) (Dem)_Absentee by Mail Votes,Gail Davenport (I) (Dem)_Provisional Votes,Gail Davenport (I) (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Ellenwood 1,Clayton,3020.0,21.0,54.0,28.0,0.0,103.0,220.0,1158.0,654.0,5.0,2037.0,2140.0,70.9,103.0,2037.0
Ellenwood 2,Clayton,3273.0,32.0,95.0,52.0,0.0,179.0,234.0,1290.0,593.0,4.0,2121.0,2300.0,70.3,179.0,2121.0
Jonesboro 3,Clayton,4107.0,81.0,206.0,112.0,1.0,400.0,259.0,1167.0,766.0,7.0,2199.0,2599.0,63.3,400.0,2199.0
Jonesboro 5,Clayton,2064.0,66.0,130.0,58.0,0.0,254.0,228.0,505.0,309.0,1.0,1043.0,1297.0,62.8,254.0,1043.0
Jonesboro 6,Clayton,2574.0,115.0,472.0,241.0,0.0,828.0,108.0,514.0,489.0,3.0,1114.0,1942.0,75.4,828.0,1114.0
Jonesboro 7,Clayton,3174.0,48.0,196.0,102.0,0.0,346.0,266.0,875.0,483.0,5.0,1629.0,1975.0,62.2,346.0,1629.0
Jonesboro 8,Clayton,3947.0,58.0,82.0,28.0,0.0,168.0,395.0,981.0,366.0,4.0,1746.0,1914.0,48.5,168.0,1746.0
Jonesboro 11,Clayton,3863.0,73.0,253.0,131.0,2.0,459.0,258.0,1122.0,727.0,3.0,2110.0,2569.0,66.5,459.0,2110.0
Jonesboro 13,Clayton,2140.0,75.0,91.0,35.0,0.0,201.0,209.0,650.0,359.0,2.0,1220.0,1421.0,66.4,201.0,1220.0
Jonesboro 14,Clayton,4116.0,101.0,395.0,253.0,0.0,749.0,246.0,1182.0,736.0,2.0,2166.0,2915.0,70.8,749.0,2166.0
Jonesboro 18,Clayton,3301.0,38.0,121.0,67.0,0.0,226.0,324.0,879.0,417.0,5.0,1625.0,1851.0,56.1,226.0,1625.0
Lake City,Clayton,3217.0,36.0,131.0,52.0,2.0,221.0,262.0,794.0,364.0,6.0,1426.0,1647.0,51.2,221.0,1426.0
Lovejoy 1,Clayton,4061.0,71.0,170.0,76.0,0.0,317.0,302.0,1342.0,609.0,2.0,2255.0,2572.0,63.3,317.0,2255.0
Lovejoy 2,Clayton,3611.0,44.0,140.0,55.0,1.0,240.0,234.0,1073.0,461.0,7.0,1775.0,2015.0,55.8,240.0,1775.0
Lovejoy 3,Clayton,1666.0,22.0,98.0,64.0,0.0,184.0,114.0,593.0,360.0,3.0,1070.0,1254.0,75.3,184.0,1070.0
Lovejoy 4,Clayton,4149.0,39.0,137.0,57.0,0.0,233.0,275.0,1520.0,631.0,4.0,2430.0,2663.0,64.2,233.0,2430.0
Lovejoy 5,Clayton,3451.0,35.0,82.0,51.0,1.0,169.0,286.0,1013.0,477.0,13.0,1789.0,1958.0,56.7,169.0,1789.0
Lovejoy 6,Clayton,3708.0,37.0,125.0,67.0,1.0,230.0,273.0,1210.0,589.0,9.0,2081.0,2311.0,62.3,230.0,2081.0
Lovejoy 7,Clayton,2779.0,57.0,139.0,29.0,2.0,227.0,228.0,760.0,211.0,6.0,1205.0,1432.0,51.5,227.0,1205.0
Morrow 1,Clayton,3328.0,48.0,70.0,55.0,0.0,173.0,392.0,722.0,348.0,0.0,1462.0,1635.0,49.1,173.0,1462.0
Morrow 2,Clayton,2081.0,65.0,253.0,84.0,1.0,403.0,117.0,445.0,244.0,1.0,807.0,1210.0,58.1,403.0,807.0
Morrow 3,Clayton,2407.0,53.0,196.0,93.0,1.0,343.0,161.0,574.0,334.0,2.0,1071.0,1414.0,58.7,343.0,1071.0
Morrow 4,Clayton,2112.0,47.0,132.0,63.0,0.0,242.0,186.0,445.0,261.0,3.0,895.0,1137.0,53.8,242.0,895.0
Morrow 5,Clayton,3056.0,43.0,109.0,66.0,0.0,218.0,263.0,1055.0,582.0,3.0,1903.0,2121.0,69.4,218.0,1903.0
Morrow 6,Clayton,3030.0,67.0,151.0,90.0,1.0,309.0,276.0,897.0,405.0,3.0,1581.0,1890.0,62.4,309.0,1581.0
Morrow 7,Clayton,2142.0,43.0,113.0,47.0,0.0,203.0,254.0,445.0,227.0,2.0,928.0,1131.0,52.8,203.0,928.0
Morrow 8,Clayton,3185.0,35.0,91.0,39.0,0.0,165.0,263.0,1083.0,541.0,9.0,1896.0,2061.0,64.7,165.0,1896.0
Morrow 9,Clayton,1509.0,32.0,58.0,31.0,0.0,121.0,118.0,388.0,214.0,0.0,720.0,841.0,55.7,121.0,720.0
Morrow 10,Clayton,2342.0,36.0,157.0,42.0,0.0,235.0,149.0,758.0,270.0,3.0,1180.0,1415.0,60.4,235.0,1180.0
