Precinct,County,Registered Voters,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_Choice Total,Total,calc_participation,Rep_total
Chalybeate,Meriwether,451.0,172.0,111.0,43.0,0.0,326.0,326.0,72.3,326.0
Gill I,Meriwether,1662.0,348.0,387.0,208.0,1.0,944.0,944.0,56.8,944.0
Gill II,Meriwether,1000.0,94.0,151.0,114.0,0.0,359.0,359.0,35.9,359.0
Odessadale,Meriwether,296.0,46.0,88.0,40.0,1.0,175.0,175.0,59.1,175.0
Greenville,Meriwether,2009.0,159.0,600.0,208.0,0.0,967.0,967.0,48.1,967.0
Lone Oak,Meriwether,1263.0,202.0,338.0,126.0,0.0,666.0,666.0,52.7,666.0
Luthersville,Meriwether,2760.0,471.0,744.0,246.0,0.0,1461.0,1461.0,52.9,1461.0
Alvaton,Meriwether,1528.0,305.0,404.0,162.0,1.0,872.0,872.0,57.1,872.0
Gay,Meriwether,411.0,102.0,115.0,44.0,0.0,261.0,261.0,63.5,261.0
Woodbury,Meriwether,1363.0,217.0,321.0,135.0,0.0,673.0,673.0,49.4,673.0
Warm Springs,Meriwether,1161.0,215.0,313.0,114.0,1.0,643.0,643.0,55.4,643.0
Durand,Meriwether,730.0,175.0,170.0,74.0,0.0,419.0,419.0,57.4,419.0
Raleigh,Meriwether,501.0,122.0,167.0,46.0,0.0,335.0,335.0,66.9,335.0
Cove,Meriwether,202.0,91.0,29.0,32.0,0.0,152.0,152.0,75.2,152.0
Hollis Hand,Troup,3554.0,510.0,1324.0,541.0,1.0,2376.0,2376.0,66.9,2376.0
Administration Bldg,Troup,3907.0,333.0,609.0,313.0,4.0,1259.0,1259.0,32.2,1259.0
Hammett Rd,Troup,4354.0,480.0,932.0,425.0,5.0,1842.0,1842.0,42.3,1842.0
Griggs Center,Troup,2457.0,171.0,222.0,140.0,4.0,537.0,537.0,21.9,537.0
West Point,Troup,2054.0,298.0,251.0,148.0,4.0,701.0,701.0,34.1,701.0
Hogansville,Troup,3806.0,387.0,1433.0,333.0,3.0,2156.0,2156.0,56.6,2156.0
East Vernon,Troup,3117.0,639.0,1125.0,389.0,4.0,2157.0,2157.0,69.2,2157.0
Rosemont,Troup,3893.0,614.0,1653.0,496.0,4.0,2767.0,2767.0,71.1,2767.0
McClendon,Troup,3533.0,583.0,1487.0,344.0,7.0,2421.0,2421.0,68.5,2421.0
Long Cane,Troup,3249.0,679.0,1080.0,283.0,3.0,2045.0,2045.0,62.9,2045.0
Gardner Newman,Troup,2876.0,326.0,971.0,286.0,5.0,1588.0,1588.0,55.2,1588.0
Gray Hill,Troup,1878.0,497.0,485.0,122.0,7.0,1111.0,1111.0,59.2,1111.0
Highland,Troup,1686.0,171.0,448.0,150.0,2.0,771.0,771.0,45.7,771.0
Northside,Troup,2600.0,284.0,830.0,284.0,4.0,1402.0,1402.0,53.9,1402.0
Centralhatchee,Heard,1767.0,380.0,586.0,185.0,0.0,1151.0,1151.0,65.1,1151.0
Cooksville-Corinth,Heard,700.0,154.0,195.0,50.0,0.0,399.0,399.0,57.0,399.0
Enon Grove,Heard,1156.0,276.0,309.0,87.0,0.0,672.0,672.0,58.1,672.0
Ephesus,Heard,1321.0,418.0,299.0,132.0,0.0,849.0,849.0,64.3,849.0
Franklin,Heard,2178.0,293.0,716.0,241.0,1.0,1251.0,1251.0,57.4,1251.0
Southwest,Heard,640.0,167.0,172.0,84.0,0.0,423.0,423.0,66.1,423.0
Kansas,Carroll,1165.0,446.0,268.0,88.0,0.0,802.0,802.0,68.8,802.0
Bowdon,Carroll,3289.0,691.0,753.0,279.0,1.0,1724.0,1724.0,52.4,1724.0
Sandhill,Carroll,4459.0,569.0,1538.0,326.0,3.0,2436.0,2436.0,54.6,2436.0
Center Point,Carroll,1775.0,461.0,625.0,160.0,1.0,1247.0,1247.0,70.3,1247.0
Mt Zion,Carroll,2641.0,660.0,716.0,208.0,0.0,1584.0,1584.0,60.0,1584.0
Burwell,Carroll,1564.0,410.0,411.0,144.0,2.0,967.0,967.0,61.8,967.0
Clem,Carroll,3695.0,512.0,1540.0,354.0,2.0,2408.0,2408.0,65.2,2408.0
Bowdon Junction,Carroll,1547.0,263.0,443.0,121.0,0.0,827.0,827.0,53.5,827.0
Tyus,Carroll,1920.0,563.0,529.0,149.0,1.0,1242.0,1242.0,64.7,1242.0
Fairfield,Carroll,3867.0,907.0,1205.0,351.0,0.0,2463.0,2463.0,63.7,2463.0
Hulett,Carroll,2408.0,517.0,820.0,175.0,0.0,1512.0,1512.0,62.8,1512.0
Bethany,Carroll,4779.0,498.0,1300.0,331.0,1.0,2130.0,2130.0,44.6,2130.0
V R County South,Carroll,2942.0,330.0,1086.0,259.0,1.0,1676.0,1676.0,57.0,1676.0
V R County North,Carroll,5472.0,631.0,1796.0,431.0,0.0,2858.0,2858.0,52.2,2858.0
Villa Rica City,Carroll,7250.0,640.0,1977.0,540.0,0.0,3157.0,3157.0,43.5,3157.0
