Precinct,County,Registered Voters,Mike Dugan (I) (Rep)_Election Day Votes,Mike Dugan (I) (Rep)_Advanced Voting Votes,Mike Dugan (I) (Rep)_Absentee by Mail Votes,Mike Dugan (I) (Rep)_Provisional Votes,Mike Dugan (I) (Rep)_Choice Total,Montenia Edwards (Dem)_Election Day Votes,Montenia Edwards (Dem)_Advanced Voting Votes,Montenia Edwards (Dem)_Absentee by Mail Votes,Montenia Edwards (Dem)_Provisional Votes,Montenia Edwards (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Mirror Lake Elementary,Douglas,6745.0,443.0,1132.0,474.0,1.0,2050.0,406.0,1174.0,887.0,2.0,2469.0,4519.0,67.0,2050.0,2469.0
Dog River Library,Douglas,4915.0,416.0,2018.0,485.0,0.0,2919.0,87.0,497.0,361.0,0.0,945.0,3864.0,78.6,2919.0,945.0
Ephesus Baptist Church,Douglas,3930.0,571.0,1352.0,427.0,0.0,2350.0,95.0,334.0,256.0,0.0,685.0,3035.0,77.2,2350.0,685.0
Prays Mill Gym,Douglas,5459.0,357.0,1423.0,471.0,0.0,2251.0,219.0,829.0,573.0,0.0,1621.0,3872.0,70.9,2251.0,1621.0
Bright Star,Douglas,2703.0,258.0,560.0,209.0,1.0,1028.0,127.0,364.0,275.0,1.0,767.0,1795.0,66.4,1028.0,767.0
Dorsett Shoals,Douglas,3901.0,319.0,757.0,319.0,0.0,1395.0,175.0,491.0,379.0,0.0,1045.0,2440.0,62.5,1395.0,1045.0
D Wright Innovation Ctr,Paulding,7137.0,501.0,2231.0,375.0,2.0,3109.0,250.0,1046.0,613.0,1.0,1910.0,5019.0,70.3,3109.0,1910.0
Nebo Elem School,Paulding,10070.0,706.0,2083.0,488.0,1.0,3278.0,178.0,566.0,415.0,2.0,1161.0,4439.0,44.1,3278.0,1161.0
Mulberry Rock Park,Paulding,5911.0,700.0,2327.0,606.0,4.0,3637.0,111.0,367.0,239.0,1.0,718.0,4355.0,73.7,3637.0,718.0
Taylor Farm Park,Paulding,2761.0,77.0,400.0,139.0,0.0,616.0,44.0,157.0,82.0,0.0,283.0,899.0,32.6,616.0,283.0
