Precinct,County,Registered Voters,Penny Houston (I) (Rep)_Election Day Votes,Penny Houston (I) (Rep)_Advanced Voting Votes,Penny Houston (I) (Rep)_Absentee by Mail Votes,Penny Houston (I) (Rep)_Provisional Votes,Penny Houston (I) (Rep)_Choice Total,Andre Oliver (Dem)_Election Day Votes,Andre Oliver (Dem)_Advanced Voting Votes,Andre Oliver (Dem)_Absentee by Mail Votes,Andre Oliver (Dem)_Provisional Votes,Andre Oliver (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
West Berrien,Berrien,999.0,325.0,273.0,89.0,1.0,688.0,24.0,29.0,19.0,0.0,72.0,760.0,76.1,688.0,72.0
Ray City,Berrien,1946.0,344.0,604.0,136.0,1.0,1085.0,62.0,64.0,56.0,0.0,182.0,1267.0,65.1,1085.0,182.0
Nashville,Berrien,6079.0,584.0,2493.0,459.0,2.0,3538.0,83.0,278.0,141.0,0.0,502.0,4040.0,66.5,3538.0,502.0
Enigma,Berrien,1111.0,321.0,236.0,74.0,4.0,635.0,35.0,24.0,20.0,0.0,79.0,714.0,64.3,635.0,79.0
Alapaha,Berrien,1140.0,304.0,276.0,76.0,1.0,657.0,66.0,61.0,28.0,0.0,155.0,812.0,71.2,657.0,155.0
Cecil,Cook,1899.0,146.0,464.0,65.0,0.0,675.0,96.0,265.0,105.0,0.0,466.0,1141.0,60.1,675.0,466.0
Delle Beamguard,Cook,2446.0,214.0,922.0,151.0,0.0,1287.0,79.0,174.0,112.0,0.0,365.0,1652.0,67.5,1287.0,365.0
Elm Pine,Cook,531.0,11.0,15.0,9.0,0.0,35.0,72.0,95.0,65.0,0.0,232.0,267.0,50.3,35.0,232.0
Lenox,Cook,1275.0,257.0,391.0,74.0,0.0,722.0,65.0,59.0,29.0,0.0,153.0,875.0,68.6,722.0,153.0
Massee,Cook,919.0,103.0,392.0,36.0,0.0,531.0,11.0,69.0,23.0,0.0,103.0,634.0,69.0,531.0,103.0
New Life Baptist Church,Cook,1233.0,239.0,475.0,60.0,0.0,774.0,15.0,55.0,25.0,0.0,95.0,869.0,70.5,774.0,95.0
Riverbend,Cook,1280.0,131.0,572.0,102.0,0.0,805.0,14.0,69.0,31.0,0.0,114.0,919.0,71.8,805.0,114.0
Sparks,Cook,1049.0,84.0,138.0,35.0,0.0,257.0,114.0,109.0,69.0,0.0,292.0,549.0,52.3,257.0,292.0
Tifton Northeast,Tift,3332.0,218.0,926.0,215.0,8.0,1367.0,133.0,406.0,162.0,4.0,705.0,2072.0,62.2,1367.0,705.0
Brighton,Tift,2219.0,7.0,23.0,9.0,0.0,39.0,0.0,1.0,1.0,0.0,2.0,41.0,1.8,39.0,2.0
Brookfield,Tift,1501.0,307.0,523.0,67.0,0.0,897.0,42.0,60.0,33.0,0.0,135.0,1032.0,68.8,897.0,135.0
Tifton Northwest,Tift,3334.0,8.0,23.0,0.0,0.0,31.0,6.0,6.0,5.0,0.0,17.0,48.0,1.4,31.0,17.0
Mott-Litman Gym,Tift,2889.0,35.0,174.0,27.0,0.0,236.0,158.0,353.0,193.0,1.0,705.0,941.0,32.6,236.0,705.0
Tifton Lodge,Tift,3091.0,189.0,983.0,195.0,0.0,1367.0,94.0,335.0,175.0,1.0,605.0,1972.0,63.8,1367.0,605.0
