Precinct,County,Registered Voters,Paige Dasher Mulligan (Rep)_Election Day Votes,Paige Dasher Mulligan (Rep)_Advanced Voting Votes,Paige Dasher Mulligan (Rep)_Absentee by Mail Votes,Paige Dasher Mulligan (Rep)_Provisional Votes,Paige Dasher Mulligan (Rep)_Choice Total,Total,calc_participation
Cobbtown,Tattnall,761.0,227.0,172.0,85.0,0.0,484.0,484.0,63.6
Shiloh,Tattnall,1111.0,110.0,287.0,70.0,0.0,467.0,467.0,42.0
Collins,Tattnall,1482.0,200.0,532.0,118.0,0.0,850.0,850.0,57.4
Manassas,Tattnall,265.0,77.0,67.0,13.0,0.0,157.0,157.0,59.2
District II,Tattnall,2500.0,243.0,887.0,166.0,0.0,1296.0,1296.0,51.8
East Glennville,Tattnall,2506.0,335.0,956.0,282.0,0.0,1573.0,1573.0,62.8
District IV,Tattnall,2497.0,326.0,884.0,218.0,0.0,1428.0,1428.0,57.2
District V,Tattnall,1062.0,214.0,349.0,77.0,0.0,640.0,640.0,60.3
