Precinct,County,Registered Voters,Matt Reeves (Rep)_Election Day Votes,Matt Reeves (Rep)_Advanced Voting Votes,Matt Reeves (Rep)_Absentee by Mail Votes,Matt Reeves (Rep)_Provisional Votes,Matt Reeves (Rep)_Choice Total,Michelle Au (Dem)_Election Day Votes,Michelle Au (Dem)_Advanced Voting Votes,Michelle Au (Dem)_Absentee by Mail Votes,Michelle Au (Dem)_Provisional Votes,Michelle Au (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
AP09B,Fulton,925.0,41.0,176.0,53.0,0.0,270.0,19.0,233.0,159.0,0.0,411.0,681.0,73.6,270.0,411.0
JC01,Fulton,4128.0,191.0,770.0,313.0,6.0,1280.0,125.0,1051.0,896.0,6.0,2078.0,3358.0,81.3,1280.0,2078.0
JC01A,Fulton,1738.0,98.0,244.0,39.0,5.0,386.0,83.0,437.0,107.0,2.0,629.0,1015.0,58.4,386.0,629.0
JC02,Fulton,3001.0,125.0,540.0,256.0,3.0,924.0,102.0,607.0,499.0,3.0,1211.0,2135.0,71.1,924.0,1211.0
JC03A,Fulton,594.0,32.0,156.0,33.0,4.0,225.0,15.0,178.0,57.0,1.0,251.0,476.0,80.1,225.0,251.0
JC03B,Fulton,1616.0,89.0,302.0,72.0,0.0,463.0,60.0,418.0,258.0,0.0,736.0,1199.0,74.2,463.0,736.0
JC04A,Fulton,3177.0,94.0,860.0,226.0,10.0,1190.0,39.0,801.0,505.0,7.0,1352.0,2542.0,80.0,1190.0,1352.0
JC04B,Fulton,334.0,8.0,50.0,21.0,0.0,79.0,6.0,90.0,45.0,0.0,141.0,220.0,65.9,79.0,141.0
JC04C,Fulton,1251.0,44.0,281.0,89.0,0.0,414.0,20.0,325.0,194.0,0.0,539.0,953.0,76.2,414.0,539.0
JC05,Fulton,2350.0,111.0,538.0,122.0,2.0,773.0,55.0,595.0,294.0,2.0,946.0,1719.0,73.1,773.0,946.0
JC06,Fulton,2840.0,167.0,615.0,263.0,4.0,1049.0,98.0,497.0,364.0,4.0,963.0,2012.0,70.8,1049.0,963.0
