Precinct,County,Registered Voters,Lindsey Tippins (I) (Rep)_Election Day Votes,Lindsey Tippins (I) (Rep)_Advanced Voting Votes,Lindsey Tippins (I) (Rep)_Absentee by Mail Votes,Lindsey Tippins (I) (Rep)_Provisional Votes,Lindsey Tippins (I) (Rep)_Choice Total,Vanessa Parker (Dem)_Election Day Votes,Vanessa Parker (Dem)_Advanced Voting Votes,Vanessa Parker (Dem)_Absentee by Mail Votes,Vanessa Parker (Dem)_Provisional Votes,Vanessa Parker (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Acworth 1A,Cobb,5458.0,278.0,1098.0,638.0,1.0,2015.0,205.0,838.0,860.0,2.0,1905.0,3920.0,71.8,2015.0,1905.0
Acworth 1B,Cobb,5214.0,413.0,994.0,589.0,1.0,1997.0,276.0,697.0,626.0,3.0,1602.0,3599.0,69.0,1997.0,1602.0
Acworth 1C,Cobb,5110.0,218.0,700.0,321.0,0.0,1239.0,288.0,1084.0,790.0,5.0,2167.0,3406.0,66.7,1239.0,2167.0
Big Shanty 01,Cobb,2385.0,228.0,373.0,284.0,4.0,889.0,140.0,293.0,256.0,1.0,690.0,1579.0,66.2,889.0,690.0
Baker 01,Cobb,4773.0,354.0,709.0,333.0,2.0,1398.0,299.0,969.0,623.0,5.0,1896.0,3294.0,69.0,1398.0,1896.0
Cheatham Hill 02,Cobb,3085.0,323.0,733.0,502.0,0.0,1558.0,116.0,364.0,435.0,0.0,915.0,2473.0,80.2,1558.0,915.0
Cheatham Hill 03,Cobb,4029.0,343.0,851.0,596.0,0.0,1790.0,129.0,694.0,645.0,0.0,1468.0,3258.0,80.9,1790.0,1468.0
Chalker 01,Cobb,6065.0,319.0,646.0,448.0,0.0,1413.0,496.0,1132.0,766.0,2.0,2396.0,3809.0,62.8,1413.0,2396.0
Dowell 01,Cobb,3197.0,263.0,575.0,372.0,1.0,1211.0,167.0,566.0,544.0,1.0,1278.0,2489.0,77.9,1211.0,1278.0
Durham 01,Cobb,4256.0,408.0,1406.0,642.0,1.0,2457.0,82.0,465.0,453.0,1.0,1001.0,3458.0,81.2,2457.0,1001.0
Elizabeth 01,Cobb,4065.0,209.0,302.0,172.0,0.0,683.0,293.0,780.0,523.0,4.0,1600.0,2283.0,56.2,683.0,1600.0
East Piedmont 01,Cobb,2627.0,102.0,156.0,101.0,1.0,360.0,118.0,316.0,277.0,0.0,711.0,1071.0,40.8,360.0,711.0
Ford 01,Cobb,3161.0,321.0,996.0,458.0,1.0,1776.0,78.0,336.0,336.0,0.0,750.0,2526.0,79.9,1776.0,750.0
Frey 01,Cobb,2582.0,179.0,836.0,335.0,0.0,1350.0,65.0,307.0,278.0,0.0,650.0,2000.0,77.5,1350.0,650.0
Harrison 01,Cobb,3122.0,354.0,897.0,514.0,0.0,1765.0,94.0,320.0,318.0,0.0,732.0,2497.0,80.0,1765.0,732.0
Hayes 01,Cobb,4111.0,371.0,1083.0,658.0,0.0,2112.0,123.0,464.0,525.0,1.0,1113.0,3225.0,78.4,2112.0,1113.0
Kennesaw 1A,Cobb,2499.0,185.0,332.0,195.0,6.0,718.0,175.0,341.0,196.0,2.0,714.0,1432.0,57.3,718.0,714.0
Kennesaw 2A,Cobb,3944.0,319.0,721.0,372.0,1.0,1413.0,202.0,572.0,495.0,1.0,1270.0,2683.0,68.0,1413.0,1270.0
Kennesaw 3A,Cobb,6477.0,308.0,879.0,464.0,1.0,1652.0,386.0,1232.0,946.0,3.0,2567.0,4219.0,65.1,1652.0,2567.0
Kennesaw 4A,Cobb,3783.0,250.0,679.0,432.0,2.0,1363.0,185.0,577.0,532.0,1.0,1295.0,2658.0,70.3,1363.0,1295.0
Kennesaw 5A,Cobb,5855.0,530.0,1054.0,495.0,0.0,2079.0,334.0,1116.0,876.0,2.0,2328.0,4407.0,75.3,2079.0,2328.0
Kemp 01,Cobb,1960.0,254.0,516.0,343.0,0.0,1113.0,66.0,187.0,214.0,0.0,467.0,1580.0,80.6,1113.0,467.0
Kemp 02,Cobb,4049.0,398.0,868.0,648.0,1.0,1915.0,142.0,567.0,551.0,2.0,1262.0,3177.0,78.5,1915.0,1262.0
Kemp 03,Cobb,3955.0,525.0,1176.0,609.0,1.0,2311.0,97.0,401.0,393.0,0.0,891.0,3202.0,81.0,2311.0,891.0
Lost Mountain 01,Cobb,3604.0,216.0,1065.0,564.0,1.0,1846.0,86.0,546.0,494.0,0.0,1126.0,2972.0,82.5,1846.0,1126.0
Lost Mountain 02,Cobb,4121.0,373.0,1438.0,681.0,0.0,2492.0,98.0,522.0,420.0,0.0,1040.0,3532.0,85.7,2492.0,1040.0
Lost Mountain 03,Cobb,5387.0,295.0,1731.0,774.0,1.0,2801.0,120.0,792.0,615.0,1.0,1528.0,4329.0,80.4,2801.0,1528.0
Lost Mountain 04,Cobb,2629.0,261.0,750.0,364.0,1.0,1376.0,58.0,345.0,321.0,0.0,724.0,2100.0,79.9,1376.0,724.0
McClure 01,Cobb,3290.0,386.0,870.0,424.0,2.0,1682.0,118.0,380.0,404.0,1.0,903.0,2585.0,78.6,1682.0,903.0
Marietta 2A,Cobb,2059.0,29.0,57.0,44.0,0.0,130.0,13.0,55.0,50.0,0.0,118.0,248.0,12.0,130.0,118.0
Marietta 4C,Cobb,2781.0,306.0,701.0,433.0,0.0,1440.0,83.0,328.0,412.0,0.0,823.0,2263.0,81.4,1440.0,823.0
Marietta 5B,Cobb,3084.0,46.0,53.0,19.0,0.0,118.0,109.0,193.0,126.0,2.0,430.0,548.0,17.8,118.0,430.0
Mars Hill 01,Cobb,3633.0,437.0,1118.0,491.0,2.0,2048.0,97.0,280.0,308.0,0.0,685.0,2733.0,75.2,2048.0,685.0
Mars Hill 02,Cobb,2916.0,303.0,610.0,288.0,0.0,1201.0,126.0,397.0,361.0,0.0,884.0,2085.0,71.5,1201.0,884.0
North Cobb 01,Cobb,2317.0,217.0,388.0,217.0,0.0,822.0,115.0,402.0,321.0,0.0,838.0,1660.0,71.6,822.0,838.0
Oregon 01,Cobb,1614.0,181.0,412.0,238.0,0.0,831.0,79.0,220.0,202.0,1.0,502.0,1333.0,82.6,831.0,502.0
Oregon 05,Cobb,3846.0,313.0,613.0,388.0,1.0,1315.0,164.0,899.0,645.0,0.0,1708.0,3023.0,78.6,1315.0,1708.0
Pine Mountain 01,Cobb,3491.0,367.0,1005.0,546.0,1.0,1919.0,116.0,389.0,388.0,4.0,897.0,2816.0,80.7,1919.0,897.0
Pine Mountain 02,Cobb,3127.0,413.0,872.0,618.0,0.0,1903.0,83.0,303.0,317.0,1.0,704.0,2607.0,83.4,1903.0,704.0
