Precinct,County,Registered Voters,Martin Momtahan (I) (Rep)_Election Day Votes,Martin Momtahan (I) (Rep)_Advanced Voting Votes,Martin Momtahan (I) (Rep)_Absentee by Mail Votes,Martin Momtahan (I) (Rep)_Provisional Votes,Martin Momtahan (I) (Rep)_Choice Total,Q. Dailey (Dem)_Election Day Votes,Q. Dailey (Dem)_Advanced Voting Votes,Q. Dailey (Dem)_Absentee by Mail Votes,Q. Dailey (Dem)_Provisional Votes,Q. Dailey (Dem)_Choice Total,Total,calc_participation,Rep_total,Dem_total
Burnt Hickory Park,Paulding,6242.0,633.0,2805.0,622.0,4.0,4064.0,104.0,456.0,262.0,2.0,824.0,4888.0,78.3,4064.0,824.0
Crossroads Library,Paulding,3662.0,328.0,1503.0,433.0,1.0,2265.0,85.0,389.0,308.0,0.0,782.0,3047.0,83.2,2265.0,782.0
Shelton Elementary,Paulding,5095.0,318.0,1097.0,290.0,1.0,1706.0,115.0,456.0,252.0,0.0,823.0,2529.0,49.6,1706.0,823.0
Russom Elementary,Paulding,8243.0,296.0,1295.0,497.0,4.0,2092.0,48.0,329.0,277.0,0.0,654.0,2746.0,33.3,2092.0,654.0
Paulding Sr Center,Paulding,5972.0,504.0,1824.0,434.0,4.0,2766.0,198.0,853.0,508.0,2.0,1561.0,4327.0,72.5,2766.0,1561.0
Watson Govt Cmplx,Paulding,10774.0,657.0,2732.0,842.0,8.0,4239.0,384.0,1555.0,949.0,3.0,2891.0,7130.0,66.2,4239.0,2891.0
White Oak Park,Paulding,5833.0,234.0,781.0,193.0,2.0,1210.0,97.0,246.0,204.0,1.0,548.0,1758.0,30.1,1210.0,548.0
Mulberry Rock Park,Paulding,5911.0,396.0,1119.0,316.0,0.0,1831.0,45.0,144.0,91.0,1.0,281.0,2112.0,35.7,1831.0,281.0
Beulahland Baptist Church,Paulding,2547.0,369.0,896.0,190.0,3.0,1458.0,55.0,193.0,129.0,0.0,377.0,1835.0,72.0,1458.0,377.0
Paulding County Airport,Paulding,4132.0,541.0,1333.0,325.0,3.0,2202.0,115.0,316.0,236.0,2.0,669.0,2871.0,69.5,2202.0,669.0
