Precinct,County,Registered Voters,Bill Yearta (I) (Rep)_Election Day Votes,Bill Yearta (I) (Rep)_Advanced Voting Votes,Bill Yearta (I) (Rep)_Absentee by Mail Votes,Bill Yearta (I) (Rep)_Provisional Votes,Bill Yearta (I) (Rep)_Choice Total,Total,calc_participation
Chokee,Lee,475.0,98.0,96.0,44.0,0.0,238.0,238.0,50.1
Redbone,Lee,4841.0,787.0,1964.0,378.0,3.0,3132.0,3132.0,64.7
Smithville,Lee,998.0,166.0,297.0,58.0,0.0,521.0,521.0,52.2
CJC,Lee,614.0,132.0,294.0,38.0,0.0,464.0,464.0,75.6
Leesburg,Lee,3313.0,469.0,1255.0,217.0,1.0,1942.0,1942.0,58.6
Friendship Baptist,Lee,1376.0,243.0,572.0,83.0,0.0,898.0,898.0,65.3
First Baptist,Lee,3921.0,604.0,1682.0,388.0,1.0,2675.0,2675.0,68.2
SDA Church,Lee,1576.0,315.0,637.0,137.0,0.0,1089.0,1089.0,69.1
Flint Reformed Baptist,Lee,2621.0,389.0,1026.0,166.0,0.0,1581.0,1581.0,60.3
Century Fire Station,Lee,3162.0,418.0,1275.0,284.0,1.0,1978.0,1978.0,62.6
Leslie,Sumter,1687.0,329.0,458.0,114.0,1.0,902.0,902.0,53.5
Thompson,Sumter,712.0,125.0,124.0,55.0,0.0,304.0,304.0,42.7
Sylvester,Worth,3006.0,273.0,686.0,268.0,0.0,1227.0,1227.0,40.8
Scooterville,Worth,603.0,199.0,152.0,37.0,0.0,388.0,388.0,64.3
Minton,Worth,543.0,187.0,160.0,40.0,0.0,387.0,387.0,71.3
Bridgeboro,Worth,1286.0,322.0,341.0,90.0,0.0,753.0,753.0,58.6
County Line,Worth,887.0,187.0,205.0,69.0,0.0,461.0,461.0,52.0
Isabella,Worth,1424.0,284.0,533.0,120.0,0.0,937.0,937.0,65.8
Piney Woods,Worth,336.0,53.0,78.0,29.0,0.0,160.0,160.0,47.6
Sylvester East,Worth,1406.0,198.0,520.0,135.0,0.0,853.0,853.0,60.7
Poulan,Worth,887.0,248.0,232.0,69.0,0.0,549.0,549.0,61.9
Sumner,Worth,871.0,234.0,210.0,65.0,0.0,509.0,509.0,58.4
Shingler,Worth,554.0,192.0,164.0,47.0,0.0,403.0,403.0,72.7
Red Rock,Worth,1287.0,304.0,259.0,85.0,0.0,648.0,648.0,50.3
Doles,Worth,449.0,159.0,103.0,37.0,0.0,299.0,299.0,66.6
Oakfield,Worth,229.0,59.0,49.0,16.0,0.0,124.0,124.0,54.1
Warwick,Worth,701.0,214.0,127.0,78.0,0.0,419.0,419.0,59.8
