Precinct,County,Registered Voters,Houston Gaines (I) (Rep)_Election Day Votes,Houston Gaines (I) (Rep)_Advanced Voting Votes,Houston Gaines (I) (Rep)_Absentee by Mail Votes,Houston Gaines (I) (Rep)_Provisional Votes,Houston Gaines (I) (Rep)_Choice Total,"""""Mokah"""" Jasmine Johnson (Dem)_Election Day Votes","""""Mokah"""" Jasmine Johnson (Dem)_Advanced Voting Votes","""""Mokah"""" Jasmine Johnson (Dem)_Absentee by Mail Votes","""""Mokah"""" Jasmine Johnson (Dem)_Provisional Votes","""""Mokah"""" Jasmine Johnson (Dem)_Choice Total",Total,calc_participation,Rep_total,Dem_total
05 Fire Station 1 (Statham),Barrow,8336.0,395.0,940.0,195.0,0.0,1530.0,94.0,334.0,206.0,0.0,634.0,2164.0,26.0,1530.0,634.0
08 First Baptist Church Winder,Barrow,7009.0,161.0,453.0,99.0,0.0,713.0,33.0,88.0,59.0,0.0,180.0,893.0,12.7,713.0,180.0
Bogart,Oconee,2384.0,319.0,860.0,242.0,0.0,1421.0,65.0,238.0,151.0,0.0,454.0,1875.0,78.6,1421.0,454.0
Marswood Hall,Oconee,4091.0,289.0,1630.0,627.0,0.0,2546.0,57.0,469.0,394.0,0.0,920.0,3466.0,84.7,2546.0,920.0
East Oconee,Oconee,2647.0,133.0,1002.0,278.0,0.0,1413.0,59.0,355.0,287.0,0.0,701.0,2114.0,79.9,1413.0,701.0
3A,Clarke,2938.0,52.0,111.0,54.0,1.0,218.0,257.0,571.0,435.0,3.0,1266.0,1484.0,50.5,218.0,1266.0
4B,Clarke,4096.0,133.0,296.0,150.0,0.0,579.0,89.0,418.0,316.0,0.0,823.0,1402.0,34.2,579.0,823.0
6A,Clarke,3780.0,226.0,689.0,419.0,1.0,1335.0,186.0,570.0,558.0,3.0,1317.0,2652.0,70.2,1335.0,1317.0
6B,Clarke,3865.0,194.0,516.0,411.0,0.0,1121.0,218.0,677.0,690.0,1.0,1586.0,2707.0,70.0,1121.0,1586.0
6C,Clarke,3129.0,225.0,511.0,350.0,0.0,1086.0,140.0,512.0,515.0,0.0,1167.0,2253.0,72.0,1086.0,1167.0
6D,Clarke,1701.0,120.0,171.0,96.0,0.0,387.0,107.0,435.0,359.0,0.0,901.0,1288.0,75.7,387.0,901.0
7A,Clarke,2968.0,151.0,395.0,297.0,1.0,844.0,119.0,362.0,401.0,0.0,882.0,1726.0,58.2,844.0,882.0
7B,Clarke,3166.0,158.0,496.0,311.0,0.0,965.0,137.0,567.0,518.0,2.0,1224.0,2189.0,69.1,965.0,1224.0
South Jackson,Jackson,8012.0,591.0,1611.0,502.0,1.0,2705.0,146.0,403.0,336.0,0.0,885.0,3590.0,44.8,2705.0,885.0
