Precinct,County,Registered Voters,Keith Powell (I) (Rep)_Election Day Votes,Keith Powell (I) (Rep)_Advanced Voting Votes,Keith Powell (I) (Rep)_Absentee by Mail Votes,Keith Powell (I) (Rep)_Provisional Votes,Keith Powell (I) (Rep)_Choice Total,Total,Dwight Bernard Harris_Election Day Votes,Dwight Bernard Harris_Advanced Voting Votes,Dwight Bernard Harris_Absentee by Mail Votes,Dwight Bernard Harris_Provisional Votes,Dwight Bernard Harris_Choice Total,Sylvia C. Roland_Election Day Votes,Sylvia C. Roland_Advanced Voting Votes,Sylvia C. Roland_Absentee by Mail Votes,Sylvia C. Roland_Provisional Votes,Sylvia C. Roland_Choice Total,Sabrina Hill (Dem)_Election Day Votes,Sabrina Hill (Dem)_Advanced Voting Votes,Sabrina Hill (Dem)_Absentee by Mail Votes,Sabrina Hill (Dem)_Provisional Votes,Sabrina Hill (Dem)_Choice Total,David Breedlove (I) (Rep)_Election Day Votes,David Breedlove (I) (Rep)_Advanced Voting Votes,David Breedlove (I) (Rep)_Absentee by Mail Votes,David Breedlove (I) (Rep)_Provisional Votes,David Breedlove (I) (Rep)_Choice Total,Brad Wheeler (I) (Rep)_Election Day Votes,Brad Wheeler (I) (Rep)_Advanced Voting Votes,Brad Wheeler (I) (Rep)_Absentee by Mail Votes,Brad Wheeler (I) (Rep)_Provisional Votes,Brad Wheeler (I) (Rep)_Choice Total,Lindsay Terrebonne (Dem)_Election Day Votes,Lindsay Terrebonne (Dem)_Advanced Voting Votes,Lindsay Terrebonne (Dem)_Absentee by Mail Votes,Lindsay Terrebonne (Dem)_Provisional Votes,Lindsay Terrebonne (Dem)_Choice Total,Jonathan E. Jones (I) (Rep)_Election Day Votes,Jonathan E. Jones (I) (Rep)_Advanced Voting Votes,Jonathan E. Jones (I) (Rep)_Absentee by Mail Votes,Jonathan E. Jones (I) (Rep)_Provisional Votes,Jonathan E. Jones (I) (Rep)_Choice Total,calc_participation,Rep_total,Rep_steal,Dem_total,Dem_steal
Ford 01,Cobb,3161.0,,,,,,2108.0,,,,,,,,,,,,,,,,,,,,,259.0,840.0,382.0,0.0,1481.0,64.0,263.0,300.0,0.0,627.0,,,,,,66.7,,,,
Harrison 01,Cobb,3122.0,,,,,,513.0,,,,,,,,,,,,,,,,,,,,,71.0,183.0,138.0,0.0,392.0,16.0,49.0,56.0,0.0,121.0,,,,,,16.4,,,,
Kemp 01,Cobb,1960.0,,,,,,1570.0,,,,,,,,,,,,,,,,,,,,,255.0,509.0,328.0,0.0,1092.0,65.0,190.0,223.0,0.0,478.0,,,,,,80.1,,,,
Kemp 02,Cobb,4049.0,,,,,,3144.0,,,,,,,,,,,,,,,,,,,,,394.0,868.0,618.0,1.0,1881.0,143.0,561.0,558.0,1.0,1263.0,,,,,,77.6,,,,
Kemp 03,Cobb,3955.0,,,,,,3188.0,,,,,,,,,,,,,,,,,,,,,513.0,1189.0,589.0,1.0,2292.0,108.0,392.0,396.0,0.0,896.0,,,,,,80.6,,,,
Lost Mountain 01,Cobb,3604.0,,,,,,2967.0,,,,,,,,,,,,,,,,,,,,,212.0,1089.0,546.0,1.0,1848.0,88.0,534.0,497.0,0.0,1119.0,,,,,,82.3,,,,
Lost Mountain 02,Cobb,4121.0,,,,,,3497.0,,,,,,,,,,,,,,,,,,,,,368.0,1442.0,666.0,0.0,2476.0,96.0,514.0,411.0,0.0,1021.0,,,,,,84.9,,,,
Lost Mountain 03,Cobb,5387.0,,,,,,4312.0,,,,,,,,,,,,,,,,,,,,,297.0,1770.0,788.0,0.0,2855.0,118.0,743.0,595.0,1.0,1457.0,,,,,,80.0,,,,
Macland 01,Cobb,4213.0,,,,,,2915.0,,,,,,,,,,,,,,,,,,,,,156.0,415.0,227.0,0.0,798.0,264.0,1068.0,785.0,0.0,2117.0,,,,,,69.2,,,,
McEachern 01,Cobb,3549.0,,,,,,2506.0,,,,,,,,,,,,,,,,,,,,,137.0,514.0,352.0,0.0,1003.0,129.0,766.0,608.0,0.0,1503.0,,,,,,70.6,,,,
Oregon 01,Cobb,1614.0,,,,,,1330.0,,,,,,,,,,,,,,,,,,,,,178.0,409.0,232.0,0.0,819.0,83.0,224.0,203.0,1.0,511.0,,,,,,82.4,,,,
Oregon 02,Cobb,5671.0,,,,,,2737.0,,,,,,,,,,,,,,,,,,,,,176.0,306.0,301.0,0.0,783.0,285.0,870.0,799.0,0.0,1954.0,,,,,,48.3,,,,
Oregon 03,Cobb,5713.0,,,,,,3069.0,,,,,,,,,,,,,,,,,,,,,209.0,362.0,314.0,2.0,887.0,439.0,965.0,774.0,4.0,2182.0,,,,,,53.7,,,,
Oregon 04,Cobb,4673.0,,,,,,3159.0,,,,,,,,,,,,,,,,,,,,,191.0,421.0,323.0,0.0,935.0,323.0,960.0,940.0,1.0,2224.0,,,,,,67.6,,,,
Oregon 05,Cobb,3846.0,,,,,,3020.0,,,,,,,,,,,,,,,,,,,,,306.0,635.0,374.0,0.0,1315.0,174.0,881.0,649.0,1.0,1705.0,,,,,,78.5,,,,
Vaughan 01,Cobb,3146.0,,,,,,2511.0,,,,,,,,,,,,,,,,,,,,,366.0,981.0,395.0,0.0,1742.0,94.0,367.0,308.0,0.0,769.0,,,,,,79.8,,,,
Tifton Northeast,Tift,3332.0,,,,,,1760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,1167.0,291.0,12.0,1760.0,52.8,,,,
Brighton,Tift,2219.0,,,,,,1634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.0,1094.0,189.0,0.0,1634.0,73.6,,,,
Brookfield,Tift,1501.0,,,,,,956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.0,547.0,80.0,0.0,956.0,63.7,,,,
Chula,Tift,1314.0,,,,,,978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.0,528.0,130.0,1.0,978.0,74.4,,,,
Docia,Tift,1056.0,,,,,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,457.0,100.0,1.0,800.0,75.8,,,,
Eldorado,Tift,1262.0,,,,,,815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,439.0,78.0,2.0,815.0,64.6,,,,
Omega,Tift,864.0,,,,,,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,163.0,41.0,1.0,490.0,56.7,,,,
Ty Ty,Tift,1221.0,,,,,,755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,378.0,87.0,1.0,755.0,61.8,,,,
Tifton Northwest,Tift,3334.0,,,,,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.0,1388.0,282.0,0.0,2013.0,60.4,,,,
Tifton South,Tift,2366.0,,,,,,739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,455.0,129.0,1.0,739.0,31.2,,,,
Mott-Litman Gym,Tift,2889.0,,,,,,808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,467.0,156.0,1.0,808.0,28.0,,,,
Tifton Lodge,Tift,3091.0,,,,,,1705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,1168.0,285.0,0.0,1705.0,55.2,,,,
